trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2022-01-28,signal bar close,2022-01-31,170.16000366210938,5.139690960491887,162.45046722137155,1,1,2022-02-11,170.1923572429875,ATR_STOP,10,True,False,0.00019013622579810985,2022-02-11,INTRABAR_STOP,TRAILING_STOP,True,True,0.038140515366127614,,0.038140515366127614,0.038140515366127614,-0.012458922956926521,-0.0038199879012942306,2022-02-09,7,0.004985150933932288,0.037950379140329504,20,True,10,0.01868824992561602,-0.0038199879012942306,0.03361542723084021,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,,ADX 25-40,pullback,AAPL,IN-SAMPLE,2022,6-10
2,Long,2022-03-21,signal bar close,2022-03-22,165.50999450683594,4.809001556985908,158.29649217135707,1,1,2022-04-01,173.18675253807055,ATR_STOP,9,True,False,0.04638244387662982,2022-04-01,INTRABAR_STOP,TRAILING_STOP,True,True,0.0851912668206467,-0.0036251034054730624,0.0851912668206467,0.0851912668206467,-0.0036251034054730624,-0.0036251034054730624,2022-03-30,6,0.5444506885227901,0.038808822944016885,20,True,11,0.07842433337638721,-0.0036251034054730624,0.052141895772077174,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,ADX 25-40,pullback,AAPL,IN-SAMPLE,2022,6-10
3,Long,2022-09-12,signal bar close,2022-09-13,159.89999389648438,3.8780554537933383,154.08291071579436,1,1,2022-09-13,154.08291071579436,ATR_STOP,1,True,False,-0.03637950845986815,2022-09-13,INTRABAR_STOP,INITIAL_STOP,True,True,,,0.0,0.004002497899172841,-0.04083801768950812,-0.03637950845986815,,,,,20,True,19,0.0,-0.03637950845986815,0.004002497899172841,,0.0,False,,,,,,,,,,,ADX 18-25,pullback,AAPL,IN-SAMPLE,2022,1-3
4,Long,2023-10-09,signal bar close,2023-10-10,178.10000610351562,3.525423234549826,172.8118712516909,1,1,2023-10-16,176.75,ATR_STOP,5,True,False,-0.007580045240037636,2023-10-16,OPEN,TRAILING_STOP,False,True,0.023806794436102452,-0.007580045240037636,0.023806794436102452,0.023806794436102452,-0.007580045240037636,-0.007580045240037636,2023-10-12,2,-0.3183983992629715,0.03138683967614009,20,True,16,0.007467639116714109,-0.0028074114703252606,0.023806794436102452,1.0,0.0,False,1.0,1.0,3.0,3.0,3.0,3.0,,,,,ADX 18-25,pullback,AAPL,IN-SAMPLE,2023,4-5
5,Long,2023-11-02,signal bar close,2023-11-03,174.24000549316406,3.3200990872138383,169.2598568623433,1,1,2023-11-29,188.9815558004984,ATR_STOP,18,True,False,0.08460485446846877,2023-11-29,INTRABAR_STOP,TRAILING_STOP,True,True,0.10726576327702442,-0.00510789348938212,0.10726576327702442,0.10726576327702442,-0.00510789348938212,-0.00510789348938212,2023-11-22,13,0.7887405252500594,0.022660908808555646,20,True,2,0.09940307345840393,-0.00510789348938212,0.04706150533589093,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,ADX 18-25,pullback,AAPL,IN-SAMPLE,2023,16+
6,Long,2024-02-06,signal bar close,2024-02-07,190.63999938964844,3.4999474485890754,185.39007821676483,1,1,2024-02-09,188.64999389648438,TREND_EXIT,3,True,False,-0.0104385517180825,2024-02-09,OPEN,,False,True,0.0021506696570605666,-0.017257623251500376,0.0021506696570605666,0.0021506696570605666,-0.017257623251500376,-0.017257623251500376,2024-02-07,0,-4.8536285820619325,0.012589221375143067,20,True,18,0.0,-0.017257623251500376,0.0021506696570605666,,-0.017257623251500376,False,,,,,,,,,,,ADX 18-25,pullback,AAPL,IN-SAMPLE,2024,1-3
7,Long,2024-02-09,signal bar close,2024-02-12,188.4199981689453,3.2399284624797158,183.56010547522573,1,1,2024-02-13,185.77000427246094,TREND_EXIT,2,True,False,-0.014064292125235411,2024-02-13,OPEN,,False,True,0.001326823067771432,-0.014064292125235411,0.001326823067771432,0.001326823067771432,-0.014064292125235411,-0.014064292125235411,2024-02-12,0,-10.599975585937148,0.015391115193006843,20,True,19,0.0,-0.014064292125235411,0.001326823067771432,,-0.008650912316382486,False,,,,,,,,,,,ADX 18-25,pullback,AAPL,IN-SAMPLE,2024,1-3
8,Long,2024-08-08,signal bar close,2024-08-09,212.10000610351562,6.809739219869607,201.88539727371122,1,1,2024-09-03,225.82636875911263,ATR_STOP,17,True,False,0.06471646516076879,2024-09-03,INTRABAR_STOP,TRAILING_STOP,True,True,0.0981612044615805,-0.0006129414383375664,0.0981612044615805,0.0981612044615805,-0.0006129414383375664,-0.0006129414383375664,2024-08-29,14,0.659287602630205,0.03344473930081171,20,True,3,0.06308340046672756,-0.0006129414383375664,0.04615743990763854,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,ADX 25-40,pullback,AAPL,IN-SAMPLE,2024,16+
9,Long,2025-01-28,signal bar close,2025-01-29,234.1199951171875,5.893630558983996,225.2795492787115,1,1,2025-02-03,229.99000549316406,TREND_AND_STOP_AT_OPEN,4,True,False,-0.017640482274724922,2025-02-03,OPEN,TRAILING_STOP,False,True,0.055826104548125643,-0.017640482274724922,0.055826104548125643,0.055826104548125643,-0.017640482274724922,-0.017640482274724922,2025-01-31,2,-0.31598984771573496,0.07346658682285057,20,True,17,0.06782848630619465,-0.0029044621987152075,0.055826104548125643,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,ADX 25-40,pullback,AAPL,IN-SAMPLE,2025,4-5
10,Long,2025-03-07,signal bar close,2025-03-10,235.5399932861328,6.026522647887325,226.50020931430183,1,1,2025-03-10,226.50020931430183,ATR_STOP,1,True,False,-0.038378976944478005,2025-03-10,INTRABAR_STOP,INITIAL_STOP,True,True,,,0.0,0.002632293426379606,-0.04805974521565948,-0.038378976944478005,,,,,20,True,19,0.0,-0.038378976944478005,0.002632293426379606,,0.0,False,,,,,,,,,,,ADX 18-25,pullback,AAPL,IN-SAMPLE,2025,1-3
