trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2022-02-01,signal bar close,2022-02-02,59.900001525878906,2.204434448569229,56.59334985302506,1,1,2022-02-04,57.63800048828125,TREND_EXIT,3,True,False,-0.03776295459058365,2022-02-04,OPEN,,False,True,0.009682771311897875,-0.03776295459058365,0.009682771311897875,0.009682771311897875,-0.03776295459058365,-0.03776295459058365,2022-02-02,0,-3.9000151272995325,0.04744572590248153,20,True,18,0.026110169218438006,-0.03776295459058365,0.009682771311897875,1.0,0.0,False,1.0,1.0,,,,,,,,,ADX 25-40,pullback,AVGO,IN-SAMPLE,2022,1-3
2,Long,2022-02-15,signal bar close,2022-02-16,59.40599822998047,2.1064490248618637,56.24632469268767,1,1,2022-02-18,58.09400177001953,TREND_EXIT,3,True,False,-0.02208525231546077,2022-02-18,OPEN,,False,True,0.011362540347266803,-0.025536113123506787,0.011362540347266803,0.011362540347266803,-0.025536113123506787,-0.025536113123506787,2022-02-16,0,-1.943689671541915,0.03344779266272757,20,True,18,0.022977505961307543,-0.025536113123506787,0.011362540347266803,1.0,0.0,False,1.0,1.0,1.0,1.0,,,,,,,ADX 18-25,pullback,AVGO,IN-SAMPLE,2022,1-3
3,Long,2022-02-25,signal bar close,2022-02-28,58.099998474121094,2.087170653447756,54.96924249394946,1,1,2022-03-02,57.45199966430664,TREND_EXIT,3,True,False,-0.011153163973026348,2022-03-02,OPEN,,False,True,0.01944924436820017,-0.027022370672239004,0.01944924436820017,0.01944924436820017,-0.027022370672239004,-0.027022370672239004,2022-02-28,0,-0.5734497321274832,0.030602408341226517,20,True,18,0.08504306405947104,-0.027022370672239004,0.01944924436820017,1.0,0.0,False,1.0,1.0,1.0,1.0,,,,,,,ADX 18-25,pullback,AVGO,IN-SAMPLE,2022,1-3
4,Long,2022-03-09,signal bar close,2022-03-10,58.555999755859375,2.259168313872861,55.16724728505008,1,1,2022-03-14,57.69599914550781,TREND_EXIT,3,True,False,-0.014686806030760446,2022-03-14,OPEN,,False,True,0.015147910398522368,-0.015694356207619165,0.015147910398522368,0.015147910398522368,-0.015694356207619165,-0.015694356207619165,2022-03-11,1,-0.9695598696037375,0.029834716429282815,20,True,18,0.10203904807420194,-0.015694356207619165,0.015147910398522368,1.0,0.0,False,1.0,1.0,2.0,2.0,,,,,,,ADX 18-25,pullback,AVGO,IN-SAMPLE,2022,1-3
5,Long,2022-03-15,signal bar close,2022-03-16,59.665000915527344,2.2121950814422666,56.346708293363946,1,1,2022-04-05,61.83932591414002,ATR_STOP,15,True,False,0.03644221847396012,2022-04-05,INTRABAR_STOP,TRAILING_STOP,True,True,0.08155530444627535,-0.02110119276339828,0.08155530444627535,0.08155530444627535,-0.02110119276339828,-0.02110119276339828,2022-03-29,9,0.44684056691820057,0.045113085972315226,20,True,5,0.025039796501743927,-0.02110119276339828,0.027754935130647196,1.0,0.0,False,1.0,1.0,1.0,1.0,3.0,3.0,7.0,7.0,7.0,7.0,ADX 18-25,pullback,AVGO,IN-SAMPLE,2022,11-15
6,Long,2023-08-21,signal bar close,2023-08-22,87.34100341796875,2.1963136246575474,84.04653298098243,1,1,2023-08-25,85.7020034790039,ATR_STOP,4,True,False,-0.01876552678381127,2023-08-25,OPEN,TRAILING_STOP,False,True,0.04173293757141017,-0.026803028661875117,0.04173293757141017,0.04173293757141017,-0.026803028661875117,-0.026803028661875117,2023-08-24,2,-0.4496574618477589,0.06049846435522144,20,True,17,0.057544488275640404,-0.026803028661875117,0.04173293757141017,2.0,-0.025795512912344165,False,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,ADX 25-40,pullback,AVGO,IN-SAMPLE,2023,4-5
7,Long,2024-04-25,signal bar close,2024-04-26,131.0,4.629181768550151,124.05622734717477,1,1,2024-05-01,127.83300018310547,ATR_STOP,4,True,False,-0.024175571121332284,2024-05-01,OPEN,TRAILING_STOP,False,True,0.0349846759825263,-0.024175571121332284,0.0349846759825263,0.0349846759825263,-0.024175571121332284,-0.024175571121332284,2024-04-26,0,-0.6910331578719549,0.05916024710385859,20,True,17,0.10335872737505958,-0.008358787944298673,0.0349846759825263,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,ADX 18-25,pullback,AVGO,IN-SAMPLE,2024,4-5
8,Long,2024-06-04,signal bar close,2024-06-05,134.60000610351562,3.832681095609448,128.85098446010144,1,1,2024-06-20,176.09144255053744,ATR_STOP,11,True,False,0.3082573147516232,2024-06-20,INTRABAR_STOP,TRAILING_STOP,True,True,0.375646316249612,-0.0040565024090973845,0.375646316249612,0.375646316249612,-0.0040565024090973845,-0.0040565024090973845,2024-06-18,9,0.8206051847631864,0.06738900149798877,20,True,9,0.2847101725784835,-0.0040565024090973845,0.058692373984060575,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 18-25,pullback,AVGO,IN-SAMPLE,2024,11-15
9,Long,2024-07-31,signal bar close,2024-08-01,157.5,7.671514532285732,145.9927282015714,1,1,2024-08-02,141.92999267578125,TREND_AND_STOP_AT_OPEN,2,True,False,-0.098857189360119,2024-08-02,OPEN,TRAILING_STOP,False,True,0.008952404203869113,-0.098857189360119,0.008952404203869113,0.008952404203869113,-0.098857189360119,-0.098857189360119,2024-08-01,0,-11.042529705863169,0.10780959356398812,20,True,19,0.09473014710441463,-0.098857189360119,0.008952404203869113,,-0.071936519562252,False,1.0,1.0,,,,,,,,,ADX 18-25,pullback,AVGO,IN-SAMPLE,2024,1-3
10,Long,2024-08-13,signal bar close,2024-08-14,158.02000427246094,8.562390861952597,145.17641797953203,1,1,2024-08-26,161.08836814807626,ATR_STOP,9,True,False,0.019417566084385163,2024-08-26,INTRABAR_STOP,TRAILING_STOP,True,True,0.0911276642649348,-0.02088345122474422,0.0911276642649348,0.0911276642649348,-0.02088345122474422,-0.02088345122474422,2024-08-22,6,0.2130809150109742,0.07171009818054963,20,True,11,0.033033800022576276,-0.02088345122474422,0.05473986623598548,2.0,-0.02088345122474422,False,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,ADX 25-40,pullback,AVGO,IN-SAMPLE,2024,6-10
