trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2022-12-20,signal bar close,2022-12-21,50.48928451538086,1.4028964563746686,48.38493983081886,1,1,2023-01-19,62.20271301269531,ATR_STOP,19,True,False,0.23199830636827734,2023-01-19,OPEN,TRAILING_STOP,False,True,0.28321298620229607,-0.009378062558143996,0.28321298620229607,0.28321298620229607,-0.009378062558143996,-0.009378062558143996,2023-01-18,17,0.8191654961844277,0.05121467983401873,20,True,2,0.24480201410407787,-0.009378062558143996,0.03146599404947148,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,ADX 18-25,pullback,GE,IN-SAMPLE,2022,16+
2,Long,2024-11-06,signal bar close,2024-11-07,181.02000427246094,4.392386783787754,174.4314240967793,1,1,2024-11-08,179.64999389648438,TREND_EXIT,2,True,False,-0.00756828164645551,2024-11-08,OPEN,,False,True,0.0,-0.023478068167555377,0.0,0.0,-0.023478068167555377,-0.023478068167555377,2024-11-07,0,,0.00756828164645551,20,True,19,0.03563140424267153,-0.023478068167555377,0.0,,-0.023478068167555377,False,,,,,,,,,,,ADX 25-40,pullback,GE,IN-SAMPLE,2024,1-3
3,Long,2024-11-08,signal bar close,2024-11-11,186.6300048828125,4.609914568245642,179.71513303044404,1,1,2024-11-12,180.64511975716874,ATR_STOP,2,True,False,-0.03206818287017543,2024-11-12,INTRABAR_STOP,TRAILING_STOP,True,True,0.004500864362180446,,0.004500864362180446,0.004500864362180446,-0.032363544911840236,-0.03206818287017543,2024-11-11,0,-7.124894306888197,0.03656904723235588,20,True,18,0.0,-0.03206818287017543,0.004500864362180446,,-0.01569955450845162,False,,,,,,,,,,,ADX 25-40,pullback,GE,IN-SAMPLE,2024,1-3
4,Long,2024-11-22,signal bar close,2024-11-25,182.24000549316406,4.0250751852452815,176.20239271529613,1,1,2024-12-04,179.27085855963776,ATR_STOP,7,True,False,-0.016292509021229584,2024-12-04,INTRABAR_STOP,TRAILING_STOP,True,True,0.014760684270930247,,0.014760684270930247,0.014760684270930247,-0.023266052268216764,-0.016292509021229584,2024-11-26,1,-1.1037773535550868,0.03105319329215983,20,True,13,0.0,-0.014760768000016022,0.014760684270930247,2.0,-0.014760768000016022,False,1.0,1.0,2.0,2.0,,,,,,,ADX 18-25,pullback,GE,IN-SAMPLE,2024,6-10
5,Long,2025-03-12,signal bar close,2025-03-13,194.5500030517578,5.7978290204908,185.8532595210216,1,1,2025-03-14,195.3699951171875,TREND_EXIT,2,True,False,0.00421481394277623,2025-03-14,OPEN,,False,True,0.005499830627836211,-0.014803417309874334,0.005499830627836211,0.005499830627836211,-0.014803417309874334,-0.014803417309874334,2025-03-13,0,0.7663534075838363,0.001285016685059981,20,True,19,0.10105373093661196,-0.014803417309874334,0.005499830627836211,,-0.014803417309874334,False,1.0,1.0,,,,,,,,,ADX 18-25,pullback,GE,IN-SAMPLE,2025,1-3
6,Long,2025-03-14,signal bar close,2025-03-17,197.0,5.63828085561352,188.54257871657973,1,1,2025-03-27,206.22899853545195,ATR_STOP,9,True,False,0.04684770830178664,2025-03-27,INTRABAR_STOP,TRAILING_STOP,True,True,0.08736044017191458,-0.0034010059337326037,0.08736044017191458,0.08736044017191458,-0.0034010059337326037,-0.0034010059337326037,2025-03-26,7,0.5362576952405016,0.04051273187012794,20,True,11,0.05005076451955115,-0.0034010059337326037,0.049847752914816024,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,ADX 18-25,pullback,GE,IN-SAMPLE,2025,6-10
7,Long,2025-04-23,signal bar close,2025-04-24,194.3300018310547,8.250414762032834,181.95437968800545,1,1,2025-05-23,228.83999633789062,ATR_STOP,22,True,False,0.1775844912348532,2025-05-23,OPEN,TRAILING_STOP,False,True,0.22111871978501862,-0.0014408417468152468,0.22111871978501862,0.22111871978501862,-0.0014408417468152468,-0.0014408417468152468,2025-05-21,19,0.8031183040834746,0.04353422855016542,20,True,0,,-0.0014408417468152468,0.03679305217472484,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,ADX 18-25,pullback,GE,IN-SAMPLE,2025,16+
8,Long,2026-01-30,signal bar close,2026-02-02,305.6000061035156,9.154593275481815,291.8681161902929,1,1,2026-03-03,334.0289234218277,ATR_STOP,21,True,False,0.09302656004752285,2026-03-03,INTRABAR_STOP,TRAILING_STOP,True,True,0.14031414930105668,-0.014986966617704711,0.14031414930105668,0.14031414930105668,-0.014986966617704711,-0.014986966617704711,2026-02-25,16,0.6629877350995157,0.047287589253533824,20,True,0,,-0.014986966617704711,0.022349432054501017,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,ADX 18-25,pullback,GE,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,16+
9,Long,2026-05-11,signal bar close,2026-05-12,299.7200012207031,10.754236667674038,283.58864621919207,1,1,2026-05-13,295.9700012207031,TREND_EXIT,2,True,False,-0.012511677514770336,2026-05-13,OPEN,,False,True,0.0039703804769770645,-0.021420036706215395,0.0039703804769770645,0.0039703804769770645,-0.021420036706215395,-0.021420036706215395,2026-05-12,0,-3.1512540390830184,0.0164820579917474,20,True,19,0.10933534258710087,-0.021420036706215395,0.0039703804769770645,,-0.021420036706215395,False,,,,,,,,,,,ADX 18-25,pullback,GE,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
10,Long,2026-05-20,signal bar close,2026-05-21,298.5,9.904044439431726,283.6439333408524,1,1,2026-06-03,312.0862902837603,ATR_STOP,9,True,False,0.04551521033085537,2026-06-03,INTRABAR_STOP,TRAILING_STOP,True,True,0.09346731623612858,-0.012562814070351758,0.09346731623612858,0.09346731623612858,-0.012562814070351758,-0.012562814070351758,2026-06-01,6,0.4869639159839496,0.04795210590527321,20,True,11,0.22177558528318686,-0.012562814070351758,0.05520941703962512,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,ADX 18-25,pullback,GE,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
