trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2021-12-21,signal bar close,2021-12-22,28.891000747680664,1.7342375314540133,26.289644450499644,1,1,2022-01-04,29.16935844506407,ATR_STOP,9,True,False,0.00963475442801176,2022-01-04,INTRABAR_STOP,TRAILING_STOP,True,True,0.08442072316311822,,0.08442072316311822,0.08442072316311822,-0.018760160702915196,-0.015298928086072694,2021-12-28,3,0.11412783576131456,0.07478596873510646,20,True,11,0.018171735313544657,-0.015298928086072694,0.07600979850738132,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,ADX 18-25,pullback,NVDA,IN-SAMPLE,2021,6-10
2,Long,2022-02-15,signal bar close,2022-02-16,26.259000778198242,1.547554326122308,23.93766928901478,1,1,2022-02-17,24.316121418896643,ATR_STOP,2,True,False,-0.07398908190423958,2022-02-17,INTRABAR_STOP,TRAILING_STOP,True,True,0.012300542467396758,,0.012300542467396758,0.012300542467396758,-0.07974408014829948,-0.07398908190423958,2022-02-16,0,-6.015107228022795,0.08628962437163634,20,True,18,0.0,-0.07398908190423958,0.012300542467396758,1.0,0.0,False,1.0,1.0,1.0,1.0,,,,,,,ADX 18-25,pullback,NVDA,IN-SAMPLE,2022,1-3
3,Long,2023-11-02,signal bar close,2023-11-03,44.02000045776367,1.6384401493925125,41.5623402336749,1,1,2023-11-22,48.43954327897642,ATR_STOP,14,True,False,0.10039851829291124,2023-11-22,INTRABAR_STOP,TRAILING_STOP,True,True,0.14829622467162795,-0.006746953246734577,0.14829622467162795,0.14829622467162795,-0.006746953246734577,-0.006746953246734577,2023-11-20,11,0.6770133124779373,0.04789770637871671,20,True,6,0.11133577750106838,-0.006746953246734577,0.04993180427119559,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,ADX 18-25,pullback,NVDA,IN-SAMPLE,2023,11-15
4,Long,2024-04-25,signal bar close,2024-04-26,83.81800079345703,4.071224374394035,77.71116423186598,1,1,2024-05-01,82.86193085657544,ATR_STOP,4,True,False,-0.011406498936159526,2024-05-01,INTRABAR_STOP,TRAILING_STOP,True,True,0.059664981308811926,,0.059664981308811926,0.059664981308811926,-0.0305781993817148,-0.011406498936159526,2024-04-30,2,-0.19117577322486984,0.07107148024497145,20,True,16,0.2684626057452295,-0.005142090622292872,0.059664981308811926,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 25-40,pullback,NVDA,IN-SAMPLE,2024,4-5
5,Long,2024-07-31,signal bar close,2024-08-01,117.52999877929688,6.665987376826691,107.53101771405684,1,1,2024-08-01,107.53101771405684,ATR_STOP,1,True,False,-0.08507599054788184,2024-08-01,INTRABAR_STOP,INITIAL_STOP,True,True,,,0.0,0.02237730715671349,-0.09121076603458178,-0.08507599054788184,,,,,20,True,19,0.11682120199219836,-0.08507599054788184,0.02237730715671349,,0.0,False,,1.0,,1.0,,1.0,,,,,ADX 25-40,pullback,NVDA,IN-SAMPLE,2024,1-3
6,Long,2024-08-13,signal bar close,2024-08-14,118.52999877929688,7.521685048602553,107.24747120639304,1,1,2024-08-29,121.36000061035156,ATR_STOP,12,True,False,0.023875827724626486,2024-08-29,OPEN,TRAILING_STOP,False,True,0.10739893578538151,-0.03762759748928357,0.10739893578538151,0.10739893578538151,-0.03762759748928357,-0.03762759748928357,2024-08-26,8,0.22230972355571813,0.08352310806075502,20,True,9,0.04977644129453451,-0.03762759748928357,0.05458534790631586,2.0,-0.03762759748928357,False,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,ADX 25-40,pullback,NVDA,IN-SAMPLE,2024,11-15
7,Long,2024-09-11,signal bar close,2024-09-12,116.83999633789062,6.711867587457849,106.77219495670386,1,1,2024-09-18,115.88999938964844,TREND_EXIT,5,True,False,-0.008130751266842595,2024-09-18,OPEN,,False,True,0.03380695567820524,-0.021225571767112483,0.03380695567820524,0.03380695567820524,-0.021225571767112483,-0.021225571767112483,2024-09-12,0,-0.24050527779655562,0.04193770694504784,20,True,16,0.15131811441898146,-0.021225571767112483,0.03380695567820524,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,ADX 18-25,pullback,NVDA,IN-SAMPLE,2024,4-5
8,Long,2025-09-18,signal bar close,2025-09-19,175.77000427246094,4.966017023307653,168.32097873749944,1,1,2025-09-23,176.7843121485332,ATR_STOP,3,True,False,0.005770653987696273,2025-09-23,INTRABAR_STOP,TRAILING_STOP,True,True,0.04995163319042195,-0.006030594144781687,0.04995163319042195,0.04995163319042195,-0.006030594144781687,-0.006030594144781687,2025-09-22,1,0.1155248311040764,0.04418097920272568,20,True,17,0.11293161723974876,-0.006030594144781687,0.04995163319042195,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,ADX 18-25,pullback,NVDA,BOUNDARY / CENSORED,2025,1-3
9,Long,2026-04-08,signal bar close,2026-04-09,181.83999633789062,5.476776477345531,173.62483162187232,1,1,2026-04-28,208.22658390518316,ATR_STOP,14,True,False,0.14510882148425486,2026-04-28,INTRABAR_STOP,TRAILING_STOP,True,True,0.19242194345487396,-0.006709201744791837,0.19242194345487396,0.19242194345487396,-0.006709201744791837,-0.006709201744791837,2026-04-27,12,0.7541178458073583,0.0473131219706191,20,True,6,0.16981965191767845,-0.006709201744791837,0.0448746360891179,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,ADX 18-25,pullback,NVDA,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,11-15
10,Long,2026-06-08,signal bar close,2026-06-09,210.6199951171875,8.2951679701854,198.1772431619094,1,1,2026-06-11,201.49000549316406,TREND_EXIT,3,True,False,-0.043348161787505335,2026-06-11,OPEN,,False,True,0.0037033462984503718,-0.05355616295129417,0.0037033462984503718,0.0037033462984503718,-0.05355616295129417,-0.05355616295129417,2026-06-09,0,-11.705133221174574,0.04705150808595571,20,True,18,0.016000429465879984,-0.05355616295129417,0.0037033462984503718,,-0.05355616295129417,False,,,,,,,,,,,ADX 18-25,pullback,NVDA,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
11,Long,2026-07-08,signal bar close,2026-07-09,204.4600067138672,7.127483155002516,193.76878198136342,1,1,2026-07-10,202.0,TREND_EXIT,2,True,False,-0.012031725682714378,2026-07-10,OPEN,,False,True,0.0006357704184434265,-0.026900126280916203,0.0006357704184434265,0.0006357704184434265,-0.026900126280916203,-0.026900126280916203,2026-07-09,0,-18.924639042143497,0.012667496101157805,20,True,19,0.08686292636041171,-0.026900126280916203,0.0006357704184434265,,-0.026900126280916203,False,,,,,,,,,,,ADX 18-25,pullback,NVDA,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
