trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2022-01-31,signal bar close,2022-02-01,86.30999755859375,4.239613245206173,79.95057769078448,1,1,2022-02-02,86.14167022705078,TREND_EXIT,2,True,False,-0.001950264584687278,2022-02-02,OPEN,,False,True,0.004132389931992275,-0.02825085937870153,0.004132389931992275,0.004132389931992275,-0.02825085937870153,-0.02825085937870153,2022-02-01,0,-0.4719459239769834,0.006082654516679553,20,True,19,0.15660607819939565,-0.02825085937870153,0.004132389931992275,,-0.02825085937870153,False,,,,,,,,,,,ADX 18-25,pullback,PANW,IN-SAMPLE,2022,1-3
2,Long,2022-02-04,signal bar close,2022-02-07,85.45166778564453,4.021422055140027,79.41953470293448,1,1,2022-02-08,85.05500030517578,TREND_EXIT,2,True,False,-0.004642009813825898,2022-02-08,OPEN,,False,True,0.017651279815998233,-0.006221875248039743,0.017651279815998233,0.017651279815998233,-0.006221875248039743,-0.006221875248039743,2022-02-07,0,-0.26298431967627717,0.02229328962982413,20,True,19,0.1682237500157362,-0.006221875248039743,0.017651279815998233,,-0.006221875248039743,False,1.0,1.0,1.0,1.0,,,,,,,ADX 18-25,pullback,PANW,IN-SAMPLE,2022,1-3
3,Long,2022-02-09,signal bar close,2022-02-10,86.92832946777344,3.7740564514528727,81.26724479059413,1,1,2022-02-14,84.3133316040039,TREND_EXIT,3,True,False,-0.03008222842633801,2022-02-14,OPEN,,False,True,0.030849219799769623,-0.03008222842633801,0.030849219799769623,0.030849219799769623,-0.03008222842633801,-0.03008222842633801,2022-02-10,0,-0.9751374142227953,0.06093144822610763,20,True,18,0.1483789967763367,-0.03008222842633801,0.030849219799769623,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,ADX 18-25,pullback,PANW,IN-SAMPLE,2022,1-3
4,Long,2023-05-08,signal bar close,2023-05-09,96.31999969482422,2.468187694456649,92.61771815313925,1,1,2023-05-15,97.15847191412922,ATR_STOP,5,True,False,0.008705068749601086,2023-05-15,INTRABAR_STOP,TRAILING_STOP,True,True,0.04609637100782549,,0.04609637100782549,0.04609637100782549,-0.010226335272761511,-0.0012977574791948054,2023-05-10,1,0.18884499059857188,0.0373913022582244,20,True,15,0.19487122822400726,-0.0012977574791948054,0.04609637100782549,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,ADX 25-40,pullback,PANW,IN-SAMPLE,2023,4-5
5,Long,2023-08-25,signal bar close,2023-08-28,115.38500213623047,4.5612953150879365,108.54305916359857,1,1,2023-09-13,121.6050033569336,ATR_STOP,12,True,False,0.05390649655974711,2023-09-13,OPEN,TRAILING_STOP,False,True,0.10165962222447189,-0.00788667197002757,0.10165962222447189,0.10165962222447189,-0.00788667197002757,-0.00788667197002757,2023-09-11,9,0.5302645768318676,0.04775312566472478,20,True,9,0.07604975831710448,-0.00788667197002757,0.037396496356755016,1.0,0.0,False,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,ADX 25-40,pullback,PANW,IN-SAMPLE,2023,11-15
6,Long,2023-09-28,signal bar close,2023-09-29,119.0,3.029171292323955,114.45624306151407,1,1,2023-10-04,116.67500305175781,TREND_EXIT,4,True,False,-0.0195377894810268,2023-10-04,OPEN,,False,True,0.0014285560415572274,-0.03323530950466125,0.0014285560415572274,0.0014285560415572274,-0.03323530950466125,-0.03323530950466125,2023-09-29,0,-13.676599946145078,0.02096634552258403,20,True,17,0.11722686511127889,-0.03323530950466125,0.0014285560415572274,,-0.03323530950466125,False,,,,,,,,,,,ADX 18-25,pullback,PANW,IN-SAMPLE,2023,4-5
7,Long,2023-11-09,signal bar close,2023-11-10,123.0,3.75854889619256,117.36217665571115,1,1,2023-11-16,119.99500274658203,ATR_STOP,5,True,False,-0.02443087197900784,2023-11-16,OPEN,TRAILING_STOP,False,True,0.07621951219512191,-0.02443087197900784,0.07621951219512191,0.07621951219512191,-0.02443087197900784,-0.02443087197900784,2023-11-15,3,-0.320533040364583,0.10065038417412975,20,True,16,0.21508131569963163,-0.005691032099529925,0.06369924157615592,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,ADX 18-25,pullback,PANW,IN-SAMPLE,2023,4-5
8,Long,2025-01-22,signal bar close,2025-01-23,187.02000427246094,5.813225440160776,178.30016611221978,1,1,2025-01-29,188.5702874080715,ATR_STOP,5,True,False,0.008289397391693099,2025-01-29,INTRABAR_STOP,TRAILING_STOP,True,True,0.05732007793714744,-0.01850073058936763,0.05732007793714744,0.05732007793714744,-0.01850073058936763,-0.01850073058936763,2025-01-28,3,0.14461594767513367,0.04903068054545434,20,True,15,0.11426582520046646,-0.01850073058936763,0.02892732477665194,1.0,0.0,False,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,ADX 25-40,pullback,PANW,IN-SAMPLE,2025,4-5
9,Long,2025-03-19,signal bar close,2025-03-20,185.58999633789062,6.490248947264549,175.8546229169938,1,1,2025-03-21,181.72000122070312,TREND_EXIT,2,True,False,-0.02085239071906475,2025-03-21,OPEN,,False,True,0.017565654560872668,-0.02085239071906475,0.017565654560872668,0.017565654560872668,-0.02085239071906475,-0.02085239071906475,2025-03-20,0,-1.1871115105219738,0.03841804527993742,20,True,19,0.02915029780085643,-0.02085239071906475,0.017565654560872668,,-0.009483240161455853,False,1.0,1.0,1.0,1.0,,,,,,,ADX 18-25,pullback,PANW,IN-SAMPLE,2025,1-3
10,Long,2025-05-22,signal bar close,2025-05-23,183.61000061035156,5.922434593874394,174.72634871953997,1,1,2025-06-23,196.016920729912,ATR_STOP,20,True,False,0.06757213702041098,2025-06-23,INTRABAR_STOP,TRAILING_STOP,True,True,,-0.003921361681333946,0.105005167012727,0.11034254364951912,-0.003921361681333946,-0.003921361681333946,,,,,20,True,0,,-0.0021240639853603582,0.03393059041898305,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,ADX 18-25,pullback,PANW,IN-SAMPLE,2025,16+
