trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2023-03-01,signal bar close,2023-03-02,87.63999938964844,2.8212755356334527,83.40808608619825,1,1,2023-03-10,87.44988590431286,ATR_STOP,7,True,False,-0.0021692547542170315,2023-03-10,INTRABAR_STOP,TRAILING_STOP,True,True,0.042104090222553125,-0.005933325498491793,0.042104090222553125,0.042104090222553125,-0.005933325498491793,-0.005933325498491793,2023-03-06,2,-0.051521235650760284,0.04427334497677016,20,True,13,0.09333638021615465,-0.005933325498491793,0.042104090222553125,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,ADX 18-25,pullback,TSM,IN-SAMPLE,2023,6-10
2,Long,2024-04-25,signal bar close,2024-04-26,136.80999755859375,5.066921155611329,129.20961582517677,1,1,2024-05-29,154.80732237393525,ATR_STOP,23,True,False,0.1315497780608723,2024-05-29,INTRABAR_STOP,TRAILING_STOP,True,True,0.1752065028028169,-0.026313799495426005,0.1752065028028169,0.1752065028028169,-0.026313799495426005,-0.026313799495426005,2024-05-23,19,0.7508270295704875,0.0436567247419446,20,True,0,,-0.006578421990680372,0.02112418274410599,1.0,0.0,False,1.0,1.0,1.0,1.0,3.0,3.0,6.0,6.0,7.0,7.0,ADX 18-25,pullback,TSM,IN-SAMPLE,2024,16+
3,Long,2024-08-08,signal bar close,2024-08-09,166.32000732421875,8.708939931713656,153.25659742664826,1,1,2024-08-27,165.71387634321167,ATR_STOP,13,True,False,-0.0036443660071846518,2024-08-27,INTRABAR_STOP,TRAILING_STOP,True,True,0.05489411509119124,-0.018518528712247018,0.05489411509119124,0.05489411509119124,-0.018518528712247018,-0.018518528712247018,2024-08-19,6,-0.06638901093733919,0.058538481098375894,20,True,7,0.05471374725824374,-0.018518528712247018,0.03685659784798978,1.0,0.0,False,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,ADX 25-40,pullback,TSM,IN-SAMPLE,2024,11-15
4,Long,2024-09-11,signal bar close,2024-09-12,170.60000610351562,6.646058209672404,160.630918789007,1,1,2024-09-27,180.79519457278164,ATR_STOP,12,True,False,0.059760774352375146,2024-09-27,INTRABAR_STOP,TRAILING_STOP,True,True,0.10978895109871334,-0.024853489692089115,0.10978895109871334,0.10978895109871334,-0.024853489692089115,-0.024853489692089115,2024-09-26,10,0.5443241214559296,0.05002817674633819,20,True,8,0.10199292657660575,-0.02245018577977509,0.024443130244761413,1.0,0.0,False,1.0,1.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,ADX 18-25,pullback,TSM,IN-SAMPLE,2024,11-15
5,Long,2024-11-14,signal bar close,2024-11-15,188.17999267578125,6.467176018980602,178.47922864731035,1,1,2024-11-18,184.35000610351562,TREND_EXIT,2,True,False,-0.020352783087117965,2024-11-18,OPEN,,False,True,0.003294773090170011,-0.020352783087117965,0.003294773090170011,0.003294773090170011,-0.020352783087117965,-0.020352783087117965,2024-11-15,0,-6.177294317426806,0.023647556177287976,20,True,19,0.09273043302268702,-0.020352783087117965,0.003294773090170011,,-0.017908360337720475,False,,,,,,,,,,,ADX 18-25,pullback,TSM,IN-SAMPLE,2024,1-3
6,Long,2025-11-24,signal bar close,2025-11-25,282.7300109863281,9.88131587214346,267.9080371781129,1,1,2025-12-11,300.67949755154206,ATR_STOP,12,True,False,0.06348631509826497,2025-12-11,INTRABAR_STOP,TRAILING_STOP,True,True,0.11052947612806174,-0.03413158857949872,0.11052947612806174,0.11052947612806174,-0.03413158857949872,-0.03413158857949872,2025-12-10,10,0.5743835700868464,0.047043161029796776,20,True,8,0.0762210835623347,-0.03413158857949872,0.035652340326733256,1.0,0.0,False,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,ADX 18-25,pullback,TSM,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,11-15
7,Long,2026-03-17,signal bar close,2026-03-18,345.7799987792969,12.519058127178749,327.00141158852875,1,1,2026-03-19,329.2200012207031,TREND_AND_STOP_AT_OPEN,2,True,False,-0.04789171616940058,2026-03-19,OPEN,TRAILING_STOP,False,True,0.006275705464154013,-0.04789171616940058,0.006275705464154013,0.006275705464154013,-0.04789171616940058,-0.04789171616940058,2026-03-18,0,-7.631288058840815,0.05416742163355459,20,True,19,0.10521142058894206,-0.04789171616940058,0.006275705464154013,,-0.01862456609445695,False,1.0,1.0,,,,,,,,,ADX 18-25,pullback,TSM,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
8,Long,2026-03-24,signal bar close,2026-03-25,346.0,12.450614259434847,327.3240786108477,1,1,2026-03-26,332.33665532349363,ATR_STOP,2,True,False,-0.03948943548123229,2026-03-26,INTRABAR_STOP,TRAILING_STOP,True,True,0.012861306956737817,,0.012861306956737817,0.012861306956737817,-0.05962429156882221,-0.03948943548123229,2026-03-25,0,-3.0704061114523404,0.05235074243797011,20,True,18,0.12112717821418895,-0.03948943548123229,0.012861306956737817,1.0,0.0,False,1.0,1.0,1.0,1.0,,,,,,,ADX 18-25,pullback,TSM,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
9,Long,2026-04-01,signal bar close,2026-04-02,326.8399963378906,13.132367251253903,307.14144546100977,1,1,2026-04-06,339.75,TREND_EXIT,2,True,False,0.03949946091898404,2026-04-06,OPEN,,False,True,0.046597757792725014,-0.00012241018654435276,0.046597757792725014,0.046597757792725014,-0.00012241018654435276,-0.00012241018654435276,2026-04-02,0,0.8476687031741862,0.007098296873740972,20,True,19,0.26820464032647195,-0.00012241018654435276,0.046597757792725014,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 25-40,pullback,TSM,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
10,Long,2026-04-06,signal bar close,2026-04-07,339.44000244140625,12.734696727683533,320.337957349881,1,1,2026-04-16,363.50136756189886,ATR_STOP,8,True,False,0.07088547297735204,2026-04-16,INTRABAR_STOP,TRAILING_STOP,True,True,0.12585435102946474,-0.011165474068060344,0.12585435102946474,0.12585435102946474,-0.011165474068060344,-0.011165474068060344,2026-04-14,5,0.5632341861645808,0.0549688780521127,20,True,12,0.22112890943532948,-0.011165474068060344,0.1026985184445961,1.0,0.0,False,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,ADX 25-40,pullback,TSM,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
