trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket
1,Long,2021-11-23,signal bar close,2021-11-24,48.57666778564453,0.7365696871148653,47.47181325497223,1,1,2021-11-29,48.33333206176758,TREND_EXIT,3,True,False,-0.005009312803231469,2021-11-29,OPEN,,False,True,0.01475324251877752,-0.008989262044959312,0.01475324251877752,0.01475324251877752,-0.008989262044959312,-0.008989262044959312,2021-11-26,1,-0.3395397857017367,0.01976255532200899,20,True,18,0.005489598700558096,-0.008989262044959312,0.01475324251877752,1.0,0.0,False,1.0,1.0,2.0,2.0,,,,,,,ADX 25-40,pullback,WMT,IN-SAMPLE,2021,1-3
2,Long,2022-12-21,signal bar close,2022-12-22,48.25666809082031,0.8514325681946675,46.97951923852831,1,1,2022-12-23,47.68333435058594,TREND_EXIT,2,True,False,-0.011880922635506996,2022-12-23,OPEN,,False,True,0.0014505704101344108,-0.0196173245062764,0.0014505704101344108,0.0014505704101344108,-0.0196173245062764,-0.0196173245062764,2022-12-22,0,-8.190517711171362,0.013331493045641407,20,True,19,0.021344175220684436,-0.0196173245062764,0.0014505704101344108,,-0.0196173245062764,False,,,,,,,,,,,ADX 18-25,pullback,WMT,IN-SAMPLE,2022,1-3
3,Long,2023-06-02,signal bar close,2023-06-05,49.790000915527344,0.6785359771492409,48.77219694980348,1,1,2023-06-16,51.79080779416558,ATR_STOP,10,True,False,0.040184913473545913,2023-06-16,INTRABAR_STOP,TRAILING_STOP,True,True,0.05931574491558855,-0.0057575188762004625,0.05931574491558855,0.05931574491558855,-0.0057575188762004625,-0.0057575188762004625,2023-06-15,8,0.6774746491126855,0.01913083144204264,20,True,10,0.06072164356063947,-0.0057575188762004625,0.01258620227318863,1.0,0.0,False,1.0,1.0,1.0,1.0,4.0,4.0,6.0,6.0,7.0,7.0,ADX 18-25,pullback,WMT,IN-SAMPLE,2023,6-10
4,Long,2023-08-18,signal bar close,2023-08-21,52.543331146240234,0.8140409438415436,51.32226973047792,1,1,2023-09-06,53.304912413113804,ATR_STOP,12,True,False,0.014494346861144258,2023-09-06,INTRABAR_STOP,TRAILING_STOP,True,True,0.03400375739105188,-0.008818042272500604,0.03400375739105188,0.03400375739105188,-0.008818042272500604,-0.008818042272500604,2023-08-31,8,0.42625721312076115,0.019509410529907623,20,True,8,0.052147467979156925,-0.008818042272500604,0.007676246680411003,3.0,-0.008818042272500604,False,1.0,1.0,4.0,4.0,8.0,8.0,9.0,9.0,,,ADX 25-40,pullback,WMT,IN-SAMPLE,2023,11-15
5,Long,2023-10-13,signal bar close,2023-10-16,53.51333236694336,0.7567002853163428,52.37828193896885,1,1,2023-10-20,53.05960983180792,ATR_STOP,5,True,False,-0.008478682135215299,2023-10-20,INTRABAR_STOP,TRAILING_STOP,True,True,0.011336736811332626,,0.011336736811332626,0.011336736811332626,-0.0113990398910081,-0.008478682135215299,2023-10-18,2,-0.7478944140909835,0.019815418946547925,20,True,15,0.037809914159329994,-0.0013703826129070062,0.011336736811332626,1.0,0.0,False,1.0,1.0,3.0,3.0,,,,,,,ADX 25-40,pullback,WMT,IN-SAMPLE,2023,4-5
6,Long,2023-10-23,signal bar close,2023-10-24,53.79999923706055,0.7416694433814611,52.68749507198836,1,1,2023-10-27,53.6690753367983,ATR_STOP,4,True,False,-0.0024335297791613364,2023-10-27,INTRABAR_STOP,TRAILING_STOP,True,True,0.01815370493259505,,0.01815370493259505,0.01815370493259505,-0.005266409455854659,-0.0024335297791613364,2023-10-25,1,-0.1340514119953511,0.020587234711756386,20,True,16,0.05291204988432896,-6.197110515682169e-05,0.01815370493259505,1.0,0.0,False,1.0,1.0,1.0,1.0,,,,,,,ADX 18-25,pullback,WMT,IN-SAMPLE,2023,4-5
7,Long,2024-08-09,signal bar close,2024-08-12,68.33999633789062,1.092207578204701,66.70168497058357,1,1,2024-08-13,67.5626402075829,ATR_STOP,2,True,False,-0.011374834240029386,2024-08-13,INTRABAR_STOP,TRAILING_STOP,True,True,0.012876864646897745,,0.012876864646897745,0.012876864646897745,-0.017559218796399878,-0.011374834240029386,2024-08-12,0,-0.8833543375614945,0.02425169888692713,20,True,18,0.13857187193691067,-0.011374834240029386,0.012876864646897745,1.0,0.0,False,1.0,1.0,1.0,1.0,,,,,,,ADX 25-40,pullback,WMT,IN-SAMPLE,2024,1-3
8,Long,2025-04-10,signal bar close,2025-04-11,90.68000030517578,3.411482782379747,85.56277613160616,1,1,2025-04-16,91.13022135656367,ATR_STOP,4,True,False,0.004964943205477468,2025-04-16,INTRABAR_STOP,TRAILING_STOP,True,True,0.05899865963956907,-0.00738859910333578,0.05899865963956907,0.05899865963956907,-0.00738859910333578,-0.00738859910333578,2025-04-15,2,0.08415349155063842,0.054033716434091605,20,True,16,0.09991175042019296,-0.00738859910333578,0.05899865963956907,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,ADX 18-25,pullback,WMT,IN-SAMPLE,2025,4-5
9,Long,2025-09-03,signal bar close,2025-09-04,99.91000366210938,1.6250502769912931,97.47242824662243,1,1,2025-09-18,103.60181988718254,ATR_STOP,11,True,False,0.03695141717298611,2025-09-18,INTRABAR_STOP,TRAILING_STOP,True,True,0.06205581744557098,-0.0036032488955667352,0.06205581744557098,0.06205581744557098,-0.0036032488955667352,-0.0036032488955667352,2025-09-17,9,0.5954545229445429,0.02510440027258487,20,True,9,0.040336288975888035,-0.0036032488955667352,0.024522038418975045,1.0,0.0,False,1.0,1.0,1.0,1.0,3.0,3.0,7.0,7.0,7.0,7.0,ADX 18-25,pullback,WMT,IN-SAMPLE,2025,11-15
10,Long,2025-11-11,signal bar close,2025-11-12,103.3499984741211,1.7284195259053268,100.7573691852631,1,1,2025-11-14,100.19999694824219,TREND_AND_STOP_AT_OPEN,3,True,False,-0.030478970221442858,2025-11-14,OPEN,TRAILING_STOP,False,True,0.005612015864711495,-0.030478970221442858,0.005612015864711495,0.005612015864711495,-0.030478970221442858,-0.030478970221442858,2025-11-13,1,-5.431019967904124,0.03609098608615435,20,True,18,0.125012078952091,-0.030478970221442858,0.005612015864711495,1.0,0.0,False,2.0,2.0,,,,,,,,,ADX 18-25,pullback,WMT,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
