signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol
2024-04-23,Long,8,1,FLAT,,FILLED,1,2024-04-24,True,False,meanrev,AMD
2022-01-26,Long,8,1,FLAT,,FILLED,1,2022-01-27,True,False,meanrev,AVGO
2022-01-31,Long,8,1,FLAT,,FILLED,1,2022-02-01,True,False,meanrev,MRVL
2025-03-05,Long,8,1,FLAT,,FILLED,1,2025-03-06,True,False,meanrev,TSM
2023-08-21,Long,8,1,FLAT,,FILLED,1,2023-08-22,True,False,meanrev,AAPL
2024-01-10,Long,8,1,FLAT,,FILLED,2,2024-01-11,True,False,meanrev,AAPL
2025-01-27,Long,8,1,FLAT,,FILLED,3,2025-01-28,True,False,meanrev,AAPL
2026-01-26,Long,8,1,FLAT,,FILLED,4,2026-01-27,True,False,meanrev,AAPL
2024-08-08,Long,8,1,FLAT,,FILLED,1,2024-08-09,True,False,meanrev,GOOGL
2026-03-31,Long,8,1,FLAT,,FILLED,2,2026-04-01,True,False,meanrev,GOOGL
2024-05-03,Long,8,1,FLAT,,FILLED,1,2024-05-06,True,False,meanrev,META
2025-03-05,Long,8,1,FLAT,,FILLED,1,2025-03-06,True,False,meanrev,AMZN
2023-12-19,Long,8,1,FLAT,,FILLED,1,2023-12-20,True,False,meanrev,ORCL
2025-11-19,Long,8,1,FLAT,,FILLED,2,2025-11-20,True,False,meanrev,ORCL
2024-04-23,Long,8,1,FLAT,,FILLED,1,2024-04-24,True,False,meanrev,CRM
2024-06-05,Long,8,1,FLAT,,FILLED,1,2024-06-06,True,False,meanrev,NOW
2025-02-26,Long,8,1,FLAT,,FILLED,2,2025-02-27,True,False,meanrev,NOW
2023-08-21,Long,8,1,FLAT,,FILLED,1,2023-08-22,True,False,meanrev,TSLA
2024-08-08,Long,8,1,FLAT,,FILLED,1,2024-08-09,True,False,meanrev,HOOD
2025-03-14,Long,8,1,FLAT,,FILLED,1,2025-03-17,True,False,meanrev,SHOP
