trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket,initial_risk_pct,realized_R,mfe_R
1,Long,2024-04-23,signal bar close,2024-04-24,156.55999755859375,7.2422781980846915,142.07544116242437,8,1,2024-05-01,148.11000061035156,ATR_STOP,6,True,False,-0.05397289908030123,2024-05-01,OPEN,TRAILING_STOP,False,True,0.03659936009768128,-0.0626596685716112,0.03659936009768128,0.03659936009768128,-0.0626596685716112,-0.0626596685716112,2024-04-30,4,-1.4746951568620632,0.0905722591779825,20,True,15,0.08405725515666385,-0.0626596685716112,0.013221815000629578,3.0,-0.0626596685716112,False,1.0,1.0,3.0,3.0,4.0,4.0,5.0,5.0,,,ADX 25-40,meanrev,AMD,IN-SAMPLE,2024,6-10,,,
1,Long,2022-01-26,signal bar close,2022-01-27,56.97200012207031,2.0627241077702214,52.84655190652987,8,1,2022-02-11,57.37522453100519,ATR_STOP,12,True,False,0.007077589132747919,2022-02-11,INTRABAR_STOP,TRAILING_STOP,True,True,0.07884575879746647,-0.06552344486740691,0.07884575879746647,0.07884575879746647,-0.06552344486740691,-0.06552344486740691,2022-02-10,10,0.08976499485442635,0.07176816966471855,20,True,8,0.06375061366461354,-0.06552344486740691,0.029224898405529887,3.0,-0.06552344486740691,False,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,ADX 40+,meanrev,AVGO,IN-SAMPLE,2022,11-15,,,
1,Long,2022-01-31,signal bar close,2022-02-01,72.2300033569336,4.5226591308554385,63.18468509522272,8,1,2022-02-11,69.68032315168864,ATR_STOP,9,True,False,-0.03529946125913064,2022-02-11,INTRABAR_STOP,TRAILING_STOP,True,True,0.08251417426939023,,0.08251417426939023,0.08251417426939023,-0.06562377506395412,-0.05385583328606547,2022-02-10,7,-0.4277987578702034,0.11781363552852087,20,True,11,0.028104647444987307,-0.05385583328606547,0.04014943599204468,1.0,0.0,False,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,ADX 25-40,meanrev,MRVL,IN-SAMPLE,2022,6-10,,,
1,Long,2025-03-05,signal bar close,2025-03-06,178.5800018310547,7.583648580177764,163.41270467069916,8,1,2025-03-27,170.9031864321328,ATR_STOP,16,True,False,-0.0429881023642531,2025-03-27,INTRABAR_STOP,TRAILING_STOP,True,True,0.02435877925929164,,0.02435877925929164,0.02435877925929164,-0.06176502780939486,-0.05974912117561548,2025-03-24,12,-1.7647888634589648,0.06734688162354474,20,True,4,0.0,-0.05974912117561548,0.01663120836740095,13.0,-0.05974912117561548,False,1.0,1.0,1.0,1.0,13.0,13.0,,,,,ADX 18-25,meanrev,TSM,IN-SAMPLE,2025,16+,,,
1,Long,2023-08-21,signal bar close,2023-08-22,177.05999755859375,3.108891963714491,170.84221363116478,8,1,2023-09-06,183.7871958537939,ATR_STOP,11,True,False,0.037993891268263136,2023-09-06,INTRABAR_STOP,TRAILING_STOP,True,True,0.07296960548454634,-0.0070032206679809805,0.07296960548454634,0.07296960548454634,-0.0070032206679809805,-0.0070032206679809805,2023-09-05,9,0.5206810563928507,0.034975714216283205,20,True,9,0.01829891301162956,-0.0059302104723588656,0.025358666864762514,1.0,0.0,False,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,ADX 40+,meanrev,AAPL,IN-SAMPLE,2023,11-15,,,
2,Long,2024-01-10,signal bar close,2024-01-11,186.5399932861328,3.013172674531955,180.5136479370689,8,1,2024-01-16,181.17738746124837,ATR_STOP,3,True,False,-0.02874775392887874,2024-01-16,INTRABAR_STOP,TRAILING_STOP,True,True,0.00273405051989406,,0.00273405051989406,0.00273405051989406,-0.03007398312567966,-0.02874775392887874,2024-01-11,0,-10.514712043430956,0.0314818044487728,20,True,17,0.05275014447752313,-0.02874775392887874,0.00273405051989406,,-0.015653469894074346,False,,,,,,,,,,,ADX 25-40,meanrev,AAPL,IN-SAMPLE,2024,1-3,,,
3,Long,2025-01-27,signal bar close,2025-01-28,230.85000610351562,5.552371230363174,219.74526364278927,8,1,2025-02-03,229.99000549316406,ATR_STOP,5,True,False,-0.0037253653351255744,2025-02-03,OPEN,TRAILING_STOP,False,True,0.07078187526910273,-0.0037253653351255744,0.07078187526910273,0.07078187526910273,-0.0037253653351255744,-0.0037253653351255744,2025-01-31,3,-0.05263162809634895,0.07450724060422831,20,True,16,0.08295427069600048,-0.0001733096983499438,0.04305820628031509,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 25-40,meanrev,AAPL,IN-SAMPLE,2025,4-5,,,
4,Long,2026-01-26,signal bar close,2026-01-27,259.1700134277344,5.132150756499786,248.9057119147348,8,1,2026-02-12,269.3605441601511,ATR_STOP,13,True,False,0.039319868057414054,2026-02-12,INTRABAR_STOP,TRAILING_STOP,True,True,0.08388312346342053,-0.026970792876476746,0.08388312346342053,0.08388312346342053,-0.026970792876476746,-0.026970792876476746,2026-02-06,8,0.46874587442562904,0.044563255406006475,20,True,7,0.06065516998974263,-0.01836635999153602,0.010726544875038213,4.0,-0.01836635999153602,False,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,ADX 25-40,meanrev,AAPL,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,11-15,,,
1,Long,2024-08-08,signal bar close,2024-08-09,160.00999450683594,4.773002563376469,150.463989380083,8,1,2024-08-29,161.11470731739527,ATR_STOP,15,True,False,0.006904023801538983,2024-08-29,INTRABAR_STOP,TRAILING_STOP,True,True,0.05393416148416774,-0.01437402582293379,0.05393416148416774,0.05393416148416774,-0.01437402582293379,-0.01437402582293379,2024-08-20,7,0.12800836448649794,0.04703013768262876,20,True,5,0.022811132307847926,-0.005937110060969308,0.0305605871978174,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,7.0,ADX 25-40,meanrev,GOOGL,IN-SAMPLE,2024,11-15,,,
2,Long,2026-03-31,signal bar close,2026-04-01,290.8399963378906,8.130594628444877,274.5788070810009,8,1,2026-05-12,383.073147580376,ATR_STOP,29,True,False,0.3171267789982062,2026-05-12,INTRABAR_STOP,TRAILING_STOP,True,True,0.38220329068140435,-0.0047792055713152815,0.38220329068140435,0.38220329068140435,-0.0047792055713152815,-0.0047792055713152815,2026-05-08,26,0.8297332512046726,0.06507651168319817,20,True,0,,-0.0047792055713152815,0.033626732576129914,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,ADX 25-40,meanrev,GOOGL,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,16+,,,
