trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,observed_through,exit_timing,exit_stop_source,intrabar_exit_uncertain,excursion_data_valid,in_trade_mfe,in_trade_mae,in_trade_mfe_lower,in_trade_mfe_upper,in_trade_mae_lower,in_trade_mae_upper,mfe_bar,bars_to_mfe,realized_to_in_trade_mfe,in_trade_mfe_minus_realized,post_exit_horizon,post_exit_window_complete,post_exit_observed_bars,post_exit_mfe_from_entry,early_mae_known,early_mfe_upper,first_positive_close_bar,mae_before_positive_close,flat_first10,first_known_0.005,first_possible_0.005,first_known_0.010,first_possible_0.010,first_known_0.020,first_possible_0.020,first_known_0.030,first_possible_0.030,first_known_0.040,first_possible_0.040,regime,module,symbol,partition,year,holding_bucket,initial_risk_pct,realized_R,mfe_R,category
1,Long,2024-04-23,signal bar close,2024-04-24,156.55999755859375,7.2422781980846915,142.07544116242437,8,1,2024-05-01,148.11000061035156,ATR_STOP,6,True,False,-0.05397289908030123,2024-05-01,OPEN,TRAILING_STOP,False,True,0.03659936009768128,-0.0626596685716112,0.03659936009768128,0.03659936009768128,-0.0626596685716112,-0.0626596685716112,2024-04-30,4,-1.4746951568620632,0.0905722591779825,20,True,15,0.08405725515666385,-0.0626596685716112,0.013221815000629578,3.0,-0.0626596685716112,False,1.0,1.0,3.0,3.0,4.0,4.0,5.0,5.0,,,ADX 25-40,meanrev,AMD,IN-SAMPLE,2024,6-10,,,,GIVEBACK_LOSER
1,Long,2022-01-31,signal bar close,2022-02-01,72.2300033569336,4.5226591308554385,63.18468509522272,8,1,2022-02-11,69.68032315168864,ATR_STOP,9,True,False,-0.03529946125913064,2022-02-11,INTRABAR_STOP,TRAILING_STOP,True,True,0.08251417426939023,,0.08251417426939023,0.08251417426939023,-0.06562377506395412,-0.05385583328606547,2022-02-10,7,-0.4277987578702034,0.11781363552852087,20,True,11,0.028104647444987307,-0.05385583328606547,0.04014943599204468,1.0,0.0,False,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,ADX 25-40,meanrev,MRVL,IN-SAMPLE,2022,6-10,,,,GIVEBACK_LOSER
1,Long,2025-03-05,signal bar close,2025-03-06,178.5800018310547,7.583648580177764,163.41270467069916,8,1,2025-03-27,170.9031864321328,ATR_STOP,16,True,False,-0.0429881023642531,2025-03-27,INTRABAR_STOP,TRAILING_STOP,True,True,0.02435877925929164,,0.02435877925929164,0.02435877925929164,-0.06176502780939486,-0.05974912117561548,2025-03-24,12,-1.7647888634589648,0.06734688162354474,20,True,4,0.0,-0.05974912117561548,0.01663120836740095,13.0,-0.05974912117561548,False,1.0,1.0,1.0,1.0,13.0,13.0,,,,,ADX 18-25,meanrev,TSM,IN-SAMPLE,2025,16+,,,,GIVEBACK_LOSER
2,Long,2024-01-10,signal bar close,2024-01-11,186.5399932861328,3.013172674531955,180.5136479370689,8,1,2024-01-16,181.17738746124837,ATR_STOP,3,True,False,-0.02874775392887874,2024-01-16,INTRABAR_STOP,TRAILING_STOP,True,True,0.00273405051989406,,0.00273405051989406,0.00273405051989406,-0.03007398312567966,-0.02874775392887874,2024-01-11,0,-10.514712043430956,0.0314818044487728,20,True,17,0.05275014447752313,-0.02874775392887874,0.00273405051989406,,-0.015653469894074346,False,,,,,,,,,,,ADX 25-40,meanrev,AAPL,IN-SAMPLE,2024,1-3,,,,IMMEDIATE_FAILURE
3,Long,2025-01-27,signal bar close,2025-01-28,230.85000610351562,5.552371230363174,219.74526364278927,8,1,2025-02-03,229.99000549316406,ATR_STOP,5,True,False,-0.0037253653351255744,2025-02-03,OPEN,TRAILING_STOP,False,True,0.07078187526910273,-0.0037253653351255744,0.07078187526910273,0.07078187526910273,-0.0037253653351255744,-0.0037253653351255744,2025-01-31,3,-0.05263162809634895,0.07450724060422831,20,True,16,0.08295427069600048,-0.0001733096983499438,0.04305820628031509,1.0,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADX 25-40,meanrev,AAPL,IN-SAMPLE,2025,4-5,,,,GIVEBACK_LOSER
1,Long,2025-03-05,signal bar close,2025-03-06,204.39999389648438,6.573198643960128,191.25359660856412,8,1,2025-03-10,192.12549285387874,ATR_STOP,3,True,False,-0.06005137675699679,2025-03-10,INTRABAR_STOP,TRAILING_STOP,True,True,0.0067025949945496155,,0.0067025949945496155,0.0067025949945496155,-0.06629152738542132,-0.06005137675699679,2025-03-06,0,-8.959421956097465,0.0667539717515464,20,True,17,0.00885524888175615,-0.06005137675699679,0.0067025949945496155,,-0.058072384890573425,False,1.0,1.0,,,,,,,,,ADX 25-40,meanrev,AMZN,IN-SAMPLE,2025,1-3,,,,SMALL_PROFIT_GIVEBACK
1,Long,2023-12-19,signal bar close,2023-12-20,105.94999694824219,2.998145110742102,99.95370672675799,8,1,2024-01-03,102.17719326181272,ATR_STOP,9,True,False,-0.03560928546578934,2024-01-03,INTRABAR_STOP,TRAILING_STOP,True,True,0.009155273701206168,,0.009155273701206168,0.009155273701206168,-0.039735716901712514,-0.03560928546578934,2023-12-29,6,-3.8894834417782587,0.04476455916699551,20,True,11,0.04030207074519199,-0.017932930167166905,0.0050967525349825404,3.0,-0.017932930167166905,False,3.0,3.0,,,,,,,,,ADX 25-40,meanrev,ORCL,IN-SAMPLE,2023,6-10,,,,SMALL_PROFIT_GIVEBACK
2,Long,2025-11-19,signal bar close,2025-11-20,231.16000366210938,11.430874872188165,208.29825391773304,8,1,2025-11-21,207.0800018310547,ATR_STOP,2,True,False,-0.10417027794415878,2025-11-21,OPEN,TRAILING_STOP,False,True,0.012285846569036751,-0.10417027794415878,0.012285846569036751,0.012285846569036751,-0.10417027794415878,-0.10417027794415878,2025-11-20,0,-8.478884817485236,0.11645612451319554,20,True,19,0.0,-0.10417027794415878,0.012285846569036751,,-0.09024052725333487,False,1.0,1.0,1.0,1.0,,,,,,,ADX 25-40,meanrev,ORCL,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3,,,,SMALL_PROFIT_GIVEBACK
2,Long,2025-02-26,signal bar close,2025-02-27,189.6320037841797,6.207306708613423,177.21739036695283,8,1,2025-03-04,178.42749975321064,ATR_STOP,4,True,False,-0.059085511977824745,2025-03-04,INTRABAR_STOP,TRAILING_STOP,True,True,0.005473729982556019,,0.005473729982556019,0.005473729982556019,-0.07511392070775957,-0.059085511977824745,2025-02-27,0,-10.79437826968478,0.06455924196038076,20,True,16,0.0,-0.04796663073356233,0.005473729982556019,,-0.04796663073356233,False,1.0,1.0,,,,,,,,,ADX 25-40,meanrev,NOW,IN-SAMPLE,2025,4-5,,,,SMALL_PROFIT_GIVEBACK
2,Long,2026-01-29,signal bar close,2026-01-30,140.47000122070312,6.134079516175319,128.2018421883525,8,1,2026-02-03,128.29263742500163,ATR_STOP,3,True,False,-0.086690138035727,2026-02-03,INTRABAR_STOP,TRAILING_STOP,True,True,0.007332517764263136,,0.007332517764263136,0.007332517764263136,-0.16352246758091216,-0.086690138035727,2026-01-30,0,-11.822697308451557,0.09402265579999014,20,True,17,0.0,-0.086690138035727,0.007332517764263136,,-0.07147439636700259,False,1.0,1.0,,,,,,,,,ADX 25-40,meanrev,SHOP,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3,,,,SMALL_PROFIT_GIVEBACK
