module,threshold,total_losses,definitely_reached,possibly_reached,interpretation
meanrev,0.005,28,23,23,"Retrospective excursion ceiling, not executable rescue rate"
meanrev,0.01,28,16,16,"Retrospective excursion ceiling, not executable rescue rate"
meanrev,0.02,28,11,11,"Retrospective excursion ceiling, not executable rescue rate"
meanrev,0.03,28,9,9,"Retrospective excursion ceiling, not executable rescue rate"
meanrev,0.04,28,5,5,"Retrospective excursion ceiling, not executable rescue rate"
pullback,0.005,208,144,149,"Retrospective excursion ceiling, not executable rescue rate"
pullback,0.01,208,113,115,"Retrospective excursion ceiling, not executable rescue rate"
pullback,0.02,208,60,61,"Retrospective excursion ceiling, not executable rescue rate"
pullback,0.03,208,32,32,"Retrospective excursion ceiling, not executable rescue rate"
pullback,0.04,208,20,20,"Retrospective excursion ceiling, not executable rescue rate"
breakout,0.005,324,276,277,"Retrospective excursion ceiling, not executable rescue rate"
breakout,0.01,324,236,236,"Retrospective excursion ceiling, not executable rescue rate"
breakout,0.02,324,169,169,"Retrospective excursion ceiling, not executable rescue rate"
breakout,0.03,324,118,118,"Retrospective excursion ceiling, not executable rescue rate"
breakout,0.04,324,79,79,"Retrospective excursion ceiling, not executable rescue rate"
squeeze,0.005,128,105,106,"Retrospective excursion ceiling, not executable rescue rate"
squeeze,0.01,128,96,96,"Retrospective excursion ceiling, not executable rescue rate"
squeeze,0.02,128,73,75,"Retrospective excursion ceiling, not executable rescue rate"
squeeze,0.03,128,50,51,"Retrospective excursion ceiling, not executable rescue rate"
squeeze,0.04,128,32,33,"Retrospective excursion ceiling, not executable rescue rate"
