module,category,count,total_losses,fraction
meanrev,GIVEBACK_LOSER,11,28,0.39285714285714285
meanrev,SMALL_PROFIT_GIVEBACK,12,28,0.42857142857142855
meanrev,DEAD_TRADE,0,28,0.0
meanrev,IMMEDIATE_FAILURE,5,28,0.17857142857142858
meanrev,NEVER_WORKED,0,28,0.0
meanrev,STOP_TIMING_OTHER,0,28,0.0
meanrev,UNCERTAIN_PATH,0,28,0.0
pullback,GIVEBACK_LOSER,60,208,0.28846153846153844
pullback,SMALL_PROFIT_GIVEBACK,84,208,0.40384615384615385
pullback,DEAD_TRADE,0,208,0.0
pullback,IMMEDIATE_FAILURE,49,208,0.23557692307692307
pullback,NEVER_WORKED,10,208,0.04807692307692308
pullback,STOP_TIMING_OTHER,0,208,0.0
pullback,UNCERTAIN_PATH,5,208,0.02403846153846154
breakout,GIVEBACK_LOSER,169,324,0.5216049382716049
breakout,SMALL_PROFIT_GIVEBACK,107,324,0.33024691358024694
breakout,DEAD_TRADE,0,324,0.0
breakout,IMMEDIATE_FAILURE,44,324,0.13580246913580246
breakout,NEVER_WORKED,3,324,0.009259259259259259
breakout,STOP_TIMING_OTHER,0,324,0.0
breakout,UNCERTAIN_PATH,1,324,0.0030864197530864196
squeeze,GIVEBACK_LOSER,73,128,0.5703125
squeeze,SMALL_PROFIT_GIVEBACK,30,128,0.234375
squeeze,DEAD_TRADE,0,128,0.0
squeeze,IMMEDIATE_FAILURE,18,128,0.140625
squeeze,NEVER_WORKED,4,128,0.03125
squeeze,STOP_TIMING_OTHER,0,128,0.0
squeeze,UNCERTAIN_PATH,3,128,0.0234375
