module,outcome,feature,total,observed,not_observed,mean,q25,median,q75,q90
meanrev,winner,in_trade_mfe_lower,27,27,0,0.13141435067206222,0.073041418657938,0.12286773293400421,0.16469114199427026,0.22589019108677996
meanrev,winner,in_trade_mfe_upper,27,27,0,0.13157963271760048,0.073041418657938,0.12286773293400421,0.16469114199427026,0.22589019108677996
meanrev,winner,in_trade_mae_lower,27,27,0,-0.018552498495819723,-0.026030906727112446,-0.013749989596280154,-0.005745637909563839,-0.002295725228513108
meanrev,winner,in_trade_mae_upper,27,27,0,-0.018552498495819723,-0.026030906727112446,-0.013749989596280154,-0.005745637909563839,-0.002295725228513108
meanrev,winner,mae_before_positive_close,27,27,0,-0.011878572336304228,-0.01899942598148896,0.0,0.0,0.0
meanrev,winner,first_positive_close_bar,27,27,0,2.037037037037037,1.0,1.0,2.0,3.400000000000002
meanrev,winner,bars_held,27,27,0,16.77777777777778,11.5,16.0,21.5,24.800000000000015
meanrev,winner,first_known_0.010,27,27,0,2.2962962962962963,1.0,1.0,2.5,4.0
meanrev,winner,first_known_0.020,27,27,0,3.259259259259259,1.0,2.0,5.0,5.400000000000002
meanrev,winner,first_known_0.030,27,26,1,3.8461538461538463,2.0,3.0,5.0,6.0
meanrev,loser,in_trade_mfe_lower,28,28,0,0.023962626668449487,0.007175037071834756,0.013652650815852985,0.03569442153612734,0.06429614592200168
meanrev,loser,in_trade_mfe_upper,28,28,0,0.023962626668449487,0.007175037071834756,0.013652650815852985,0.03569442153612734,0.06429614592200168
meanrev,loser,in_trade_mae_lower,28,28,0,-0.05326661403605358,-0.06754392418022465,-0.055221930018929555,-0.031249738631048962,-0.019245626402028235
meanrev,loser,in_trade_mae_upper,28,28,0,-0.04610829000817487,-0.06033641898553249,-0.049706819114258616,-0.026537027835693255,-0.018316733852378763
meanrev,loser,mae_before_positive_close,28,28,0,-0.030648224198505082,-0.055402928570642385,-0.026094522990278757,0.0,0.0
