module,adverse_threshold,winners,definitely_touched,possibly_touched,fraction_definite,fraction_possible
meanrev,-0.01,27,17,17,0.6296296296296297,0.6296296296296297
meanrev,-0.02,27,10,10,0.37037037037037035,0.37037037037037035
meanrev,-0.03,27,5,5,0.18518518518518517,0.18518518518518517
pullback,-0.01,155,66,72,0.4258064516129032,0.4645161290322581
pullback,-0.02,155,23,27,0.14838709677419354,0.17419354838709677
pullback,-0.03,155,7,8,0.04516129032258064,0.05161290322580645
breakout,-0.01,223,123,127,0.5515695067264574,0.5695067264573991
breakout,-0.02,223,81,83,0.3632286995515695,0.3721973094170404
breakout,-0.03,223,50,52,0.2242152466367713,0.23318385650224216
squeeze,-0.01,66,43,45,0.6515151515151515,0.6818181818181818
squeeze,-0.02,66,29,31,0.4393939393939394,0.4696969696969697
squeeze,-0.03,66,14,14,0.21212121212121213,0.21212121212121213
