trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-06-22,signal bar close,2023-06-23,129.11000061035156,3.396421799053551,120.61894611271768,2,1,2023-06-26,129.11000061035156,ATR_STOP,2,True,False,0.0,breakout,AMZN,breakeven_1,IN-SAMPLE,2023,1-3
2,Long,2023-07-13,signal bar close,2023-07-14,134.05999755859375,3.078214418864734,126.36446151143191,2,1,2023-07-17,134.05999755859375,ATR_STOP,2,True,False,0.0,breakout,AMZN,breakeven_1,IN-SAMPLE,2023,1-3
3,Long,2023-08-04,signal bar close,2023-08-07,140.99000549316406,4.056308295847553,130.84923475354518,2,1,2023-08-08,140.6199951171875,ATR_STOP,2,True,False,-0.002624373087172449,breakout,AMZN,breakeven_1,IN-SAMPLE,2023,1-3
4,Long,2023-12-13,signal bar close,2023-12-14,149.92999267578125,3.2215110525274433,141.87621504446264,2,1,2024-01-02,149.92999267578125,ATR_STOP,12,True,False,0.0,breakout,AMZN,breakeven_1,IN-SAMPLE,2023,11-15
5,Long,2024-01-11,signal bar close,2024-01-12,155.38999938964844,3.119550805376982,147.591122376206,2,1,2024-01-23,154.85000610351562,ATR_STOP,7,True,False,-0.0034750839066467476,breakout,AMZN,breakeven_1,IN-SAMPLE,2024,6-10
6,Long,2024-02-02,signal bar close,2024-02-05,170.1999969482422,3.8796673179924586,160.50082865326104,2,1,2024-02-13,167.72999572753906,ATR_STOP,7,True,False,-0.014512345857763176,breakout,AMZN,breakeven_1,IN-SAMPLE,2024,6-10
7,Long,2024-02-29,signal bar close,2024-03-01,176.75,3.489189698518892,168.02702575370276,2,1,2024-03-05,176.75,ATR_STOP,3,True,False,0.0,breakout,AMZN,breakeven_1,IN-SAMPLE,2024,1-3
8,Long,2024-04-11,signal bar close,2024-04-12,187.72000122070312,3.507585147529751,178.95103835187874,2,1,2024-04-18,179.6553844974335,ATR_STOP,5,True,False,-0.042960881476811985,breakout,AMZN,breakeven_1,IN-SAMPLE,2024,4-5
9,Long,2024-06-27,signal bar close,2024-06-28,197.72999572753906,4.134662726859446,187.39333891039044,2,1,2024-07-03,197.72999572753906,ATR_STOP,4,True,False,0.0,breakout,AMZN,breakeven_1,IN-SAMPLE,2024,4-5
10,Long,2024-11-07,signal bar close,2024-11-08,209.72000122070312,4.992047636979306,197.23988212825486,2,1,2024-11-15,206.75999450683594,ATR_STOP,6,True,False,-0.014114088769016209,breakout,AMZN,breakeven_1,IN-SAMPLE,2024,6-10
11,Long,2024-12-04,signal bar close,2024-12-05,218.02999877929688,5.094593791013902,205.29351430176212,2,1,2024-12-18,220.37767506543227,ATR_STOP,10,True,False,0.010767675545931832,breakout,AMZN,breakeven_1,IN-SAMPLE,2024,6-10
12,Long,2025-06-27,signal bar close,2025-06-30,223.52000427246094,5.20200117514797,210.515001334591,2,1,2025-07-16,223.52000427246094,ATR_STOP,12,True,False,0.0,breakout,AMZN,breakeven_1,IN-SAMPLE,2025,11-15
13,Long,2025-11-03,signal bar close,2025-11-04,250.3800048828125,7.390931229662513,231.90267680865622,2,1,2025-11-05,249.02999877929688,ATR_STOP,2,True,False,-0.0053918287290851685,breakout,AMZN,breakeven_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
14,Long,2026-08-03,signal bar close,2026-08-04,276.05999755859375,9.947753365833963,251.19061414400883,2,1,2026-08-05,276.05999755859375,ATR_STOP,2,True,False,0.0,breakout,AMZN,breakeven_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
15,Long,2026-08-28,signal bar close,2026-08-31,263.8299865722656,7.03706148830455,246.23733285150425,2,1,2026-09-02,254.25999450683594,TREND_EXIT,3,True,False,-0.036273329615655214,breakout,AMZN,breakeven_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
