signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-01-04,Long,2,1,FLAT,,FILLED,1,2023-01-05,True,False,breakout,MA,breakeven_1
2023-07-24,Long,2,1,FLAT,,FILLED,2,2023-07-25,True,False,breakout,MA,breakeven_1
2023-12-12,Long,2,1,FLAT,,FILLED,3,2023-12-13,True,False,breakout,MA,breakeven_1
2024-01-30,Long,2,1,FLAT,,FILLED,4,2024-01-31,True,False,breakout,MA,breakeven_1
2024-03-14,Long,2,1,FLAT,,FILLED,5,2024-03-15,True,False,breakout,MA,breakeven_1
2024-06-24,Long,2,1,FLAT,,FILLED,6,2024-06-25,True,False,breakout,MA,breakeven_1
2024-08-30,Long,2,1,FLAT,,FILLED,7,2024-09-03,True,False,breakout,MA,breakeven_1
2024-09-09,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,MA,breakeven_1
2024-09-12,Long,2,1,FLAT,,FILLED,8,2024-09-13,True,False,breakout,MA,breakeven_1
2024-09-13,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,MA,breakeven_1
2025-02-28,Long,2,1,FLAT,,FILLED,9,2025-03-03,True,False,breakout,MA,breakeven_1
2026-08-24,Long,2,1,FLAT,,FILLED,10,2026-08-25,True,False,breakout,MA,breakeven_1
