trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-03-15,signal bar close,2023-03-16,198.25999450683594,6.987952057110212,180.7901143640604,2,1,2023-03-17,198.25999450683594,ATR_STOP,2,True,False,0.0,breakout,META,breakeven_1,IN-SAMPLE,2023,1-3
2,Long,2023-06-15,signal bar close,2023-06-16,284.75,7.283925986422338,266.54018503394417,2,1,2023-06-20,278.7300109863281,ATR_STOP,2,True,False,-0.021141313480849466,breakout,META,breakeven_1,IN-SAMPLE,2023,1-3
3,Long,2023-06-23,signal bar close,2023-06-26,288.70001220703125,7.55805743887402,269.8048686098462,2,1,2023-07-07,288.70001220703125,ATR_STOP,9,True,False,0.0,breakout,META,breakeven_1,IN-SAMPLE,2023,6-10
4,Long,2023-07-11,signal bar close,2023-07-12,301.75,8.016927153012867,281.7076821174678,2,1,2023-07-21,301.75,ATR_STOP,8,True,False,0.0,breakout,META,breakeven_1,IN-SAMPLE,2023,6-10
5,Long,2023-07-28,signal bar close,2023-07-31,323.69000244140625,10.350216779848115,297.81446049178595,2,1,2023-08-11,301.9535596394979,ATR_STOP,10,True,False,-0.0671520363247643,breakout,META,breakeven_1,IN-SAMPLE,2023,6-10
6,Long,2024-01-10,signal bar close,2024-01-11,372.1300048828125,7.805693599986129,352.6157708828472,2,1,2024-01-16,372.1300048828125,ATR_STOP,3,True,False,0.0,breakout,META,breakeven_1,IN-SAMPLE,2024,1-3
7,Long,2024-01-19,signal bar close,2024-01-22,387.95001220703125,8.130038985425395,367.62491474346774,2,1,2024-01-25,387.95001220703125,ATR_STOP,4,True,False,0.0,breakout,META,breakeven_1,IN-SAMPLE,2024,4-5
8,Long,2024-03-07,signal bar close,2024-03-08,514.1900024414062,12.7979912952942,482.19502420317076,2,1,2024-03-11,497.010009765625,ATR_STOP,2,True,False,-0.0334117594550839,breakout,META,breakeven_1,IN-SAMPLE,2024,1-3
9,Long,2024-10-04,signal bar close,2024-10-07,598.219970703125,13.161829753757377,565.3153963187316,2,1,2024-10-21,573.4407090101668,ATR_STOP,11,True,False,-0.04142165575621559,breakout,META,breakeven_1,IN-SAMPLE,2024,11-15
10,Long,2024-10-29,signal bar close,2024-10-30,600.97998046875,12.41046564697163,569.9538163513209,2,1,2024-10-31,570.279287075808,ATR_STOP,2,True,False,-0.05108438615375532,breakout,META,breakeven_1,IN-SAMPLE,2024,1-3
11,Long,2025-01-06,signal bar close,2025-01-07,631.7000122070312,15.816692768982445,592.1582802845751,2,1,2025-01-14,592.1582802845751,ATR_STOP,5,True,False,-0.06259574348321661,breakout,META,breakeven_1,IN-SAMPLE,2025,4-5
12,Long,2025-01-28,signal bar close,2025-01-29,675.0,19.18331790780495,627.0417052304877,2,1,2025-02-19,697.3678884732806,ATR_STOP,15,True,False,0.03313761255300829,breakout,META,breakeven_1,IN-SAMPLE,2025,11-15
13,Long,2025-06-02,signal bar close,2025-06-03,671.4500122070312,19.278332838815324,623.254180109993,2,1,2025-07-11,710.5065489370185,ATR_STOP,27,True,False,0.05816745255780065,breakout,META,breakeven_1,IN-SAMPLE,2025,16+
14,Long,2025-08-12,signal bar close,2025-08-13,791.1500244140625,19.169268898938697,743.2268521667157,2,1,2025-08-19,749.9347329374071,ATR_STOP,5,True,False,-0.05209541832117115,breakout,META,breakeven_1,IN-SAMPLE,2025,4-5
