signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-01-20,Long,2,1,FLAT,,FILLED,1,2023-01-23,True,False,breakout,NFLX,breakeven_1
2023-01-23,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,NFLX,breakeven_1
2023-01-24,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,NFLX,breakeven_1
2023-03-24,Long,2,1,FLAT,,FILLED,2,2023-03-27,True,False,breakout,NFLX,breakeven_1
2023-03-30,Long,2,1,FLAT,,FILLED,3,2023-03-31,True,False,breakout,NFLX,breakeven_1
2023-05-30,Long,2,1,FLAT,,FILLED,4,2023-05-31,True,False,breakout,NFLX,breakeven_1
2023-06-09,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,NFLX,breakeven_1
2023-06-14,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,NFLX,breakeven_1
2023-12-18,Long,2,1,FLAT,,FILLED,5,2023-12-19,True,False,breakout,NFLX,breakeven_1
2024-02-27,Long,2,1,FLAT,,FILLED,6,2024-02-28,True,False,breakout,NFLX,breakeven_1
2024-05-20,Long,2,1,FLAT,,FILLED,7,2024-05-21,True,False,breakout,NFLX,breakeven_1
2024-05-29,Long,2,1,FLAT,,FILLED,8,2024-05-30,True,False,breakout,NFLX,breakeven_1
2024-06-14,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,NFLX,breakeven_1
2024-06-17,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,NFLX,breakeven_1
2024-06-18,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,NFLX,breakeven_1
2024-09-24,Long,2,1,FLAT,,FILLED,9,2024-09-25,True,False,breakout,NFLX,breakeven_1
2024-11-19,Long,2,1,FLAT,,FILLED,10,2024-11-20,True,False,breakout,NFLX,breakeven_1
2024-11-20,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,NFLX,breakeven_1
2024-11-21,Long,2,1,FLAT,,FILLED,11,2024-11-22,True,False,breakout,NFLX,breakeven_1
2024-12-11,Long,2,1,FLAT,,FILLED,12,2024-12-12,True,False,breakout,NFLX,breakeven_1
2025-01-22,Long,2,1,FLAT,,FILLED,13,2025-01-23,True,False,breakout,NFLX,breakeven_1
2025-06-27,Long,2,1,FLAT,,FILLED,14,2025-06-30,True,False,breakout,NFLX,breakeven_1
