signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2022-03-04,Long,2,1,FLAT,,FILLED,1,2022-03-07,True,False,breakout,XOM,breakeven_1
2022-10-19,Long,2,1,FLAT,,FILLED,2,2022-10-20,True,False,breakout,XOM,breakeven_1
2022-10-21,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,XOM,breakeven_1
2023-04-24,Long,2,1,FLAT,,FILLED,3,2023-04-25,True,False,breakout,XOM,breakeven_1
2023-09-12,Long,2,1,FLAT,,FILLED,4,2023-09-13,True,False,breakout,XOM,breakeven_1
2023-09-14,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,XOM,breakeven_1
2023-09-27,Long,2,1,FLAT,,FILLED,5,2023-09-28,True,False,breakout,XOM,breakeven_1
2024-03-28,Long,2,1,FLAT,,FILLED,6,2024-04-01,True,False,breakout,XOM,breakeven_1
2024-04-02,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,XOM,breakeven_1
2026-01-13,Long,2,1,FLAT,,FILLED,7,2026-01-14,True,False,breakout,XOM,breakeven_1
2026-01-14,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,XOM,breakeven_1
2026-01-21,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,XOM,breakeven_1
2026-02-04,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,XOM,breakeven_1
2026-02-11,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,XOM,breakeven_1
2026-03-02,Long,2,1,FLAT,,FILLED,8,2026-03-03,True,False,breakout,XOM,breakeven_1
2026-03-17,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,XOM,breakeven_1
2026-08-10,Long,2,1,FLAT,,FILLED,9,2026-08-11,True,False,breakout,XOM,breakeven_1
