trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2022-02-28,signal bar close,2022-03-01,98.56500244140625,4.603908864704796,87.05523027964426,2,1,2022-03-07,88.77875202198055,ATR_STOP,5,True,False,-0.09928727415436644,breakout,PANW,breakeven_2,IN-SAMPLE,2022,4-5
2,Long,2023-03-31,signal bar close,2023-04-03,99.00499725341797,2.2709959062181038,93.32750748787271,2,1,2023-04-19,98.9749984741211,ATR_STOP,12,True,False,-0.0003030026779364814,breakout,PANW,breakeven_2,IN-SAMPLE,2023,11-15
3,Long,2023-05-09,signal bar close,2023-05-10,98.56500244140625,2.489745476500203,92.34063875015575,2,1,2023-05-11,98.56500244140625,ATR_STOP,2,True,False,0.0,breakout,PANW,breakeven_2,IN-SAMPLE,2023,1-3
4,Long,2023-05-25,signal bar close,2023-05-26,104.18499755859375,2.8623154235130635,97.02920899981109,2,1,2023-07-12,121.64083378539523,ATR_STOP,31,True,False,0.16754654351250808,breakout,PANW,breakeven_2,IN-SAMPLE,2023,16+
5,Long,2024-01-10,signal bar close,2024-01-11,160.26499938964844,4.127148470814815,149.9471282126114,2,1,2024-02-13,178.38738132439653,ATR_STOP,23,True,False,0.1130776027439877,breakout,PANW,breakeven_2,IN-SAMPLE,2024,16+
6,Long,2024-05-15,signal bar close,2024-05-16,157.25999450683594,3.958119090645874,147.36469678022127,2,1,2024-05-21,150.5800018310547,ATR_STOP,4,True,False,-0.04247738082866892,breakout,PANW,breakeven_2,IN-SAMPLE,2024,4-5
7,Long,2024-06-27,signal bar close,2024-06-28,170.0,4.951966235871044,157.6200844103224,2,1,2024-07-18,161.57257874476792,ATR_STOP,14,True,False,-0.04957306620724755,breakout,PANW,breakeven_2,IN-SAMPLE,2024,11-15
8,Long,2024-08-13,signal bar close,2024-08-14,167.9949951171875,5.574876036438973,154.05780502609008,2,1,2024-08-16,167.9949951171875,ATR_STOP,3,True,False,0.0,breakout,PANW,breakeven_2,IN-SAMPLE,2024,1-3
9,Long,2024-11-06,signal bar close,2024-11-07,189.2949981689453,4.940677945334318,176.9433033056095,2,1,2024-11-19,192.49554322050955,ATR_STOP,9,True,False,0.016907710623752292,breakout,PANW,breakeven_2,IN-SAMPLE,2024,6-10
10,Long,2025-02-13,signal bar close,2025-02-14,192.0,5.703012938408889,177.74246765397777,2,1,2025-02-21,192.18344785893765,ATR_STOP,5,True,False,0.0009554575986336911,breakout,PANW,breakeven_2,IN-SAMPLE,2025,4-5
11,Long,2025-09-19,signal bar close,2025-09-22,206.88999938964844,4.591436453723707,195.41140825533915,2,1,2025-09-25,198.16558910749686,ATR_STOP,4,True,False,-0.042169318516553145,breakout,PANW,breakeven_2,BOUNDARY / CENSORED,2025,4-5
12,Long,2025-10-06,signal bar close,2025-10-07,213.22999572753906,4.7692552847935605,201.30685751555515,2,1,2025-10-10,213.22999572753906,ATR_STOP,4,True,False,0.0,breakout,PANW,breakeven_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,4-5
13,Long,2026-06-01,signal bar close,2026-06-02,287.4599914550781,12.37049541359407,256.53375292109297,2,1,2026-06-03,285.0,ATR_STOP,2,True,False,-0.008557682906153441,breakout,PANW,breakeven_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
14,Long,2026-06-18,signal bar close,2026-06-22,287.989990234375,12.374503860524369,257.05373058306407,2,1,2026-06-23,285.7200012207031,ATR_STOP,2,True,False,-0.007882180251558402,breakout,PANW,breakeven_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
15,Long,2026-08-04,signal bar close,2026-08-05,373.8699951171875,15.79470139763447,334.3832416231013,2,1,2026-08-17,373.8699951171875,ATR_STOP,9,True,False,0.0,breakout,PANW,breakeven_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
