trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2021-11-19,signal bar close,2021-11-22,161.67999267578125,2.887555456084522,154.46110403556995,2,1,2021-11-26,158.22642797477334,ATR_STOP,4,True,False,-0.021360495159926107,breakout,AAPL,breakeven_3,IN-SAMPLE,2021,4-5
2,Long,2021-12-07,signal bar close,2021-12-08,172.1300048828125,4.241847101937706,161.52538712796823,2,1,2021-12-16,172.1300048828125,ATR_STOP,7,True,False,0.0,breakout,AAPL,breakeven_3,IN-SAMPLE,2021,6-10
3,Long,2022-01-31,signal bar close,2022-02-01,174.00999450683594,5.1647134271113275,161.09821093905762,2,1,2022-02-14,167.3699951171875,TREND_EXIT,10,True,False,-0.038158724207002837,breakout,AAPL,breakeven_3,IN-SAMPLE,2022,6-10
4,Long,2022-08-17,signal bar close,2022-08-18,173.75,3.53191329892339,164.92021675269152,2,1,2022-08-24,166.54943735777525,ATR_STOP,5,True,False,-0.04144208714949493,breakout,AAPL,breakeven_3,IN-SAMPLE,2022,4-5
5,Long,2023-03-31,signal bar close,2023-04-03,164.27000427246094,3.2782663937169576,156.07433828816855,2,1,2023-06-06,177.5555314525466,ATR_STOP,45,True,False,0.08087616019081656,breakout,AAPL,breakeven_3,IN-SAMPLE,2023,16+
6,Long,2023-06-15,signal bar close,2023-06-16,186.72999572753906,2.808004328740411,179.70998490568803,2,1,2023-07-10,187.69628948855154,ATR_STOP,15,True,False,0.0051748180962978285,breakout,AAPL,breakeven_3,IN-SAMPLE,2023,11-15
7,Long,2023-07-19,signal bar close,2023-07-20,195.08999633789062,2.86963773026231,187.91590201223485,2,1,2023-08-04,185.52000427246094,ATR_STOP,12,True,False,-0.04905424288826532,breakout,AAPL,breakeven_3,IN-SAMPLE,2023,11-15
8,Long,2023-11-06,signal bar close,2023-11-07,179.17999267578125,3.3726355360973272,170.74840383553794,2,1,2023-12-27,192.49000549316406,ATR_STOP,35,True,False,0.0742829186373879,breakout,AAPL,breakeven_3,IN-SAMPLE,2023,16+
9,Long,2024-01-19,signal bar close,2024-01-22,192.3000030517578,3.3391261108782633,183.95218777456216,2,1,2024-01-30,188.55600898388124,ATR_STOP,7,True,False,-0.019469547625898254,breakout,AAPL,breakeven_3,IN-SAMPLE,2024,6-10
10,Long,2024-06-05,signal bar close,2024-06-06,195.69000244140625,3.030991001601436,188.11252493740267,2,1,2024-06-21,208.79357787027476,ATR_STOP,11,True,False,0.06696088336343098,breakout,AAPL,breakeven_3,IN-SAMPLE,2024,11-15
11,Long,2025-09-03,signal bar close,2025-09-04,238.4499969482422,4.678610556897758,226.75347055599778,2,1,2025-09-10,230.31894565475645,ATR_STOP,5,True,False,-0.0340996074546005,breakout,AAPL,breakeven_3,IN-SAMPLE,2025,4-5
12,Long,2025-09-19,signal bar close,2025-09-22,248.3000030517578,4.822631602478455,236.24342404556168,2,1,2025-10-10,248.48489546422465,ATR_STOP,15,True,False,0.0007446331461715694,breakout,AAPL,breakeven_3,BOUNDARY / CENSORED,2025,11-15
13,Long,2025-10-20,signal bar close,2025-10-21,261.8800048828125,5.36921439006233,248.4569689076567,2,1,2025-12-11,276.2158028747568,ATR_STOP,37,True,False,0.054741857815220785,breakout,AAPL,breakeven_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,16+
14,Long,2026-05-08,signal bar close,2026-05-11,291.9800109863281,6.697685053183258,275.23579835337,2,1,2026-06-08,302.1447874972511,ATR_STOP,20,True,False,0.03481326162221077,breakout,AAPL,breakeven_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,16+
15,Long,2026-07-02,signal bar close,2026-07-06,307.3599853515625,8.736032800874748,285.5199033493756,2,1,2026-07-31,304.80999755859375,ATR_STOP,20,True,False,-0.008296420856644837,breakout,AAPL,breakeven_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,16+
