signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-11-03,Long,2,1,FLAT,,FILLED,1,2021-11-04,True,False,breakout,AMD,breakeven_3
2021-11-04,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,AMD,breakeven_3
2023-11-03,Long,2,1,FLAT,,FILLED,2,2023-11-06,True,False,breakout,AMD,breakeven_3
2023-12-08,Long,2,1,FLAT,,FILLED,3,2023-12-11,True,False,breakout,AMD,breakeven_3
2023-12-28,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,AMD,breakeven_3
2024-02-22,Long,2,1,FLAT,,FILLED,4,2024-02-23,True,False,breakout,AMD,breakeven_3
2024-02-29,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,AMD,breakeven_3
2024-10-04,Long,2,1,FLAT,,FILLED,5,2024-10-07,True,False,breakout,AMD,breakeven_3
2024-10-08,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,AMD,breakeven_3
2025-07-15,Long,2,1,FLAT,,FILLED,6,2025-07-16,True,False,breakout,AMD,breakeven_3
2025-07-16,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,AMD,breakeven_3
2025-07-25,Long,2,1,FLAT,,FILLED,7,2025-07-28,True,False,breakout,AMD,breakeven_3
2025-07-28,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,AMD,breakeven_3
2025-07-29,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,AMD,breakeven_3
2025-08-13,Long,2,1,FLAT,,FILLED,8,2025-08-14,True,False,breakout,AMD,breakeven_3
2026-05-06,Long,2,1,FLAT,,FILLED,9,2026-05-07,True,False,breakout,AMD,breakeven_3
2026-05-08,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,AMD,breakeven_3
2026-06-15,Long,2,1,FLAT,,FILLED,10,2026-06-16,True,False,breakout,AMD,breakeven_3
2026-06-30,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,AMD,breakeven_3
