signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-11-08,Long,2,1,FLAT,,FILLED,1,2021-11-09,True,False,breakout,CAT,early_3
2022-04-18,Long,2,1,FLAT,,FILLED,2,2022-04-19,True,False,breakout,CAT,early_3
2022-04-20,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2022-12-21,Long,2,1,FLAT,,FILLED,3,2022-12-22,True,False,breakout,CAT,early_3
2022-12-27,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2023-01-06,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2023-01-12,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2023-01-13,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2023-07-11,Long,2,1,FLAT,,FILLED,4,2023-07-12,True,False,breakout,CAT,early_3
2023-09-01,Long,2,1,FLAT,,FILLED,5,2023-09-05,True,False,breakout,CAT,early_3
2024-01-25,Long,2,1,FLAT,,FILLED,6,2024-01-26,True,False,breakout,CAT,early_3
2024-02-29,Long,2,1,FLAT,,FILLED,7,2024-03-01,True,False,breakout,CAT,early_3
2024-03-15,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2024-03-18,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2024-03-19,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2024-03-20,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2024-03-21,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2024-04-03,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2025-01-14,Long,2,1,FLAT,,FILLED,8,2025-01-15,True,False,breakout,CAT,early_3
2025-07-10,Long,2,1,FLAT,,FILLED,9,2025-07-11,True,False,breakout,CAT,early_3
2025-07-16,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2025-07-23,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2025-07-31,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2025-08-22,Long,2,1,FLAT,,FILLED,10,2025-08-25,True,False,breakout,CAT,early_3
2025-09-17,Long,2,1,FLAT,,FILLED,11,2025-09-18,True,False,breakout,CAT,early_3
2025-10-03,Long,2,1,FLAT,,FILLED,12,2025-10-06,True,False,breakout,CAT,early_3
2025-10-15,Long,2,1,Long,12,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2025-10-16,Long,2,1,Long,12,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2025-12-02,Long,2,1,FLAT,,FILLED,13,2025-12-03,True,False,breakout,CAT,early_3
2025-12-10,Long,2,1,Long,13,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2025-12-11,Long,2,1,Long,13,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2026-01-06,Long,2,1,FLAT,,FILLED,14,2026-01-07,True,False,breakout,CAT,early_3
2026-02-02,Long,2,1,FLAT,,FILLED,15,2026-02-03,True,False,breakout,CAT,early_3
2026-02-03,Long,2,1,Long,15,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2026-02-06,Long,2,1,FLAT,,FILLED,16,2026-02-09,True,False,breakout,CAT,early_3
2026-02-11,Long,2,1,Long,16,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2026-04-23,Long,2,1,FLAT,,FILLED,17,2026-04-24,True,False,breakout,CAT,early_3
2026-04-30,Long,2,1,FLAT,,FILLED,18,2026-05-01,True,False,breakout,CAT,early_3
2026-05-06,Long,2,1,Long,18,IGNORED_POSITION_OPEN,,,,,breakout,CAT,early_3
2026-06-04,Long,2,1,FLAT,,FILLED,19,2026-06-05,True,False,breakout,CAT,early_3
2026-06-22,Long,2,1,FLAT,,FILLED,20,2026-06-23,True,False,breakout,CAT,early_3
