trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-01-20,signal bar close,2023-01-23,34.172000885009766,1.2677760988773372,31.002560637816423,2,1,2023-02-10,35.03865645258337,ATR_STOP,15,True,False,0.025361569270992756,breakout,NFLX,early_3,IN-SAMPLE,2023,11-15
2,Long,2023-03-24,signal bar close,2023-03-27,32.755001068115234,1.2319928344556788,29.675018981976038,2,1,2023-04-19,32.337467145907915,ATR_STOP,17,True,False,-0.012747180845423922,breakout,NFLX,early_3,IN-SAMPLE,2023,16+
3,Long,2023-05-30,signal bar close,2023-05-31,39.18899917602539,1.2918186598229469,35.95945252646803,2,1,2023-06-23,41.82226241658126,ATR_STOP,17,True,False,0.06719393952185482,breakout,NFLX,early_3,IN-SAMPLE,2023,16+
4,Long,2023-12-18,signal bar close,2023-12-19,48.84000015258789,1.0763994507689125,46.14900152566561,2,1,2024-01-02,47.71651666388098,ATR_STOP,9,True,False,-0.023003347362753446,breakout,NFLX,early_3,IN-SAMPLE,2023,6-10
5,Long,2024-02-27,signal bar close,2024-02-28,59.57899856567383,1.4203441790149913,56.02813811813635,2,1,2024-04-19,56.78799819946289,ATR_STOP,37,True,False,-0.046845372252009576,breakout,NFLX,early_3,IN-SAMPLE,2024,16+
6,Long,2024-05-20,signal bar close,2024-05-21,63.67599868774414,1.6044024771154248,59.66499249495558,2,1,2024-07-11,66.38639806014207,ATR_STOP,35,True,False,0.04256547880291994,breakout,NFLX,early_3,IN-SAMPLE,2024,16+
7,Long,2024-09-24,signal bar close,2024-09-25,72.0999984741211,1.6984615668126217,67.85384455708954,2,1,2024-10-17,69.87766174417432,ATR_STOP,17,True,False,-0.030822978876267837,breakout,NFLX,early_3,IN-SAMPLE,2024,16+
8,Long,2024-11-19,signal bar close,2024-11-20,87.99800109863281,1.8893884011530622,83.27453009575015,2,1,2024-11-27,85.93411533349104,ATR_STOP,6,True,False,-0.023453780078805053,breakout,NFLX,early_3,IN-SAMPLE,2024,6-10
9,Long,2024-12-11,signal bar close,2024-12-12,93.33499908447266,2.0687540992977227,88.16311383622835,2,1,2024-12-17,92.15399932861328,RESEARCH_TIME_EXIT,4,True,False,-0.012653342984345173,breakout,NFLX,early_3,IN-SAMPLE,2024,4-5
10,Long,2025-01-22,signal bar close,2025-01-23,95.78099822998047,3.1996085499739877,87.7819768550455,2,1,2025-02-21,100.12855246358953,ATR_STOP,21,True,False,0.04539057134453861,breakout,NFLX,early_3,IN-SAMPLE,2025,16+
11,Long,2025-06-27,signal bar close,2025-06-30,133.10000610351562,2.668820465948843,126.42795493864352,2,1,2025-07-02,127.56345739437239,ATR_STOP,3,True,False,-0.04159690800342486,breakout,NFLX,early_3,IN-SAMPLE,2025,1-3
