signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-11-19,Long,2,1,FLAT,,FILLED,1,2021-11-22,True,False,breakout,NVDA,early_3
2023-02-07,Long,2,1,FLAT,,FILLED,2,2023-02-08,True,False,breakout,NVDA,early_3
2023-02-23,Long,2,1,FLAT,,FILLED,3,2023-02-24,True,False,breakout,NVDA,early_3
2023-03-16,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2023-03-17,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2023-05-01,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2023-05-17,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2023-05-18,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2023-05-25,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2023-05-30,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2023-06-14,Long,2,1,FLAT,,FILLED,4,2023-06-15,True,False,breakout,NVDA,early_3
2023-07-12,Long,2,1,FLAT,,FILLED,5,2023-07-13,True,False,breakout,NVDA,early_3
2023-07-13,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2023-08-21,Long,2,1,FLAT,,FILLED,6,2023-08-22,True,False,breakout,NVDA,early_3
2024-02-02,Long,2,1,FLAT,,FILLED,7,2024-02-05,True,False,breakout,NVDA,early_3
2024-02-05,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2024-02-07,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2024-02-12,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2024-03-04,Long,2,1,FLAT,,FILLED,8,2024-03-05,True,False,breakout,NVDA,early_3
2024-03-06,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2024-03-07,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2024-05-24,Long,2,1,FLAT,,FILLED,9,2024-05-28,True,False,breakout,NVDA,early_3
2024-05-28,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2024-06-05,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2025-05-29,Long,2,1,FLAT,,FILLED,10,2025-05-30,True,False,breakout,NVDA,early_3
2025-06-25,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2025-06-27,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2025-07-09,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2025-07-11,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2025-07-15,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2025-09-22,Long,2,1,FLAT,,FILLED,11,2025-09-23,True,False,breakout,NVDA,early_3
2025-10-09,Long,2,1,FLAT,,FILLED,12,2025-10-10,True,False,breakout,NVDA,early_3
2025-10-29,Long,2,1,FLAT,,FILLED,13,2025-10-30,True,False,breakout,NVDA,early_3
2026-04-27,Long,2,1,FLAT,,FILLED,14,2026-04-28,True,False,breakout,NVDA,early_3
2026-05-11,Long,2,1,FLAT,,FILLED,15,2026-05-12,True,False,breakout,NVDA,early_3
2026-05-13,Long,2,1,Long,15,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
2026-05-14,Long,2,1,Long,15,IGNORED_POSITION_OPEN,,,,,breakout,NVDA,early_3
