trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-01-27,signal bar close,2023-01-30,230.1999969482422,4.813147766685598,218.1671275315282,2,1,2023-02-17,224.17999267578125,ATR_STOP,15,True,False,-0.02615119179960057,breakout,V,early_3,IN-SAMPLE,2023,11-15
2,Long,2023-03-06,signal bar close,2023-03-07,226.75,3.595526982027519,217.76118254493122,2,1,2023-03-10,219.02999877929688,TREND_EXIT,4,True,False,-0.03404631188843721,breakout,V,early_3,IN-SAMPLE,2023,4-5
3,Long,2023-11-14,signal bar close,2023-11-15,246.80999755859375,3.3587051517520883,238.41323467921353,2,1,2023-12-15,254.50999450683594,ATR_STOP,22,True,False,0.03119807554154752,breakout,V,early_3,IN-SAMPLE,2023,16+
4,Long,2024-01-09,signal bar close,2024-01-10,264.9700012207031,2.7811225672584774,258.01719480255696,2,1,2024-01-26,265.94000244140625,ATR_STOP,12,True,False,0.0036607963778327868,breakout,V,early_3,IN-SAMPLE,2024,11-15
5,Long,2024-03-14,signal bar close,2024-03-15,283.54998779296875,3.61554077830687,274.51113584720156,2,1,2024-03-25,282.2311101413257,ATR_STOP,7,True,False,-0.004651305619543966,breakout,V,early_3,IN-SAMPLE,2024,6-10
6,Long,2024-05-10,signal bar close,2024-05-13,281.4599914550781,3.8012327560165775,271.95690956503665,2,1,2024-05-22,275.5299987792969,TREND_EXIT,8,True,False,-0.02106868775602766,breakout,V,early_3,IN-SAMPLE,2024,6-10
7,Long,2024-11-06,signal bar close,2024-11-07,307.5,5.345561835886427,294.13609541028393,2,1,2024-12-10,306.90912638151946,ATR_STOP,23,True,False,-0.0019215402227009681,breakout,V,early_3,IN-SAMPLE,2024,16+
8,Long,2024-12-17,signal bar close,2024-12-18,318.5,4.074222268356658,308.31444432910837,2,1,2025-01-08,310.2381778192479,ATR_STOP,14,True,False,-0.025939787066725617,breakout,V,early_3,IN-SAMPLE,2024,11-15
9,Long,2025-01-23,signal bar close,2025-01-24,328.0199890136719,4.5694948451155675,316.596251900883,2,1,2025-03-04,352.579738548975,ATR_STOP,27,True,False,0.07487272226656727,breakout,V,early_3,IN-SAMPLE,2025,16+
10,Long,2025-06-11,signal bar close,2025-06-12,372.2300109863281,5.9124231388414366,357.44895313922456,2,1,2025-06-13,359.61974084921576,ATR_STOP,2,True,False,-0.0338776287911281,breakout,V,early_3,IN-SAMPLE,2025,1-3
11,Long,2026-01-06,signal bar close,2026-01-07,357.1499938964844,5.6269950476588235,343.0825062773373,2,1,2026-01-12,342.7799987792969,RESEARCH_TIME_EXIT,4,True,False,-0.04023518231209178,breakout,V,early_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,4-5
12,Long,2026-07-28,signal bar close,2026-07-29,357.0,7.54680169076691,338.1329957730827,2,1,2026-09-08,369.4755406877883,ATR_STOP,29,True,False,0.034945492122656185,breakout,V,early_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,16+
