trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2021-11-08,signal bar close,2021-11-09,215.17999267578125,4.838704129016187,203.0832323532408,2,1,2021-11-17,204.45308865958057,ATR_STOP,7,True,False,-0.04985084292833519,breakout,CAT,lock25_1,IN-SAMPLE,2021,6-10
2,Long,2022-04-18,signal bar close,2022-04-19,230.25,5.393370513137657,216.76657371715586,2,1,2022-04-21,231.77999877929685,ATR_STOP,3,True,False,0.006644945838422789,breakout,CAT,lock25_1,IN-SAMPLE,2022,1-3
3,Long,2022-12-21,signal bar close,2022-12-22,240.14999389648438,5.493941963426356,226.41513898791848,2,1,2022-12-28,241.37499618530273,ATR_STOP,4,True,False,0.00510098821549998,breakout,CAT,lock25_1,IN-SAMPLE,2022,4-5
4,Long,2023-01-06,signal bar close,2023-01-09,249.00999450683594,5.30279548412626,235.75300579652028,2,1,2023-01-19,250.47999572753906,ATR_STOP,8,True,False,0.0059033824068566165,breakout,CAT,lock25_1,IN-SAMPLE,2023,6-10
5,Long,2023-07-11,signal bar close,2023-07-12,255.49000549316406,5.51211591471106,241.70971570638642,2,1,2023-07-21,257.9675025939941,ATR_STOP,8,True,False,0.009697041166239817,breakout,CAT,lock25_1,IN-SAMPLE,2023,6-10
6,Long,2023-09-01,signal bar close,2023-09-05,286.3399963378906,5.639564296874246,272.241085595705,2,1,2023-09-06,280.4200134277344,ATR_STOP,2,True,False,-0.020674662938706123,breakout,CAT,lock25_1,IN-SAMPLE,2023,1-3
7,Long,2024-01-25,signal bar close,2024-01-26,301.0,6.261585818352815,285.34603545411795,2,1,2024-01-31,302.18250274658203,ATR_STOP,4,True,False,0.003928580553428596,breakout,CAT,lock25_1,IN-SAMPLE,2024,4-5
8,Long,2024-02-29,signal bar close,2024-03-01,334.0,6.355087517953249,318.11228120511686,2,1,2024-03-04,334.9424972534179,ATR_STOP,2,True,False,0.002821848064125554,breakout,CAT,lock25_1,IN-SAMPLE,2024,1-3
9,Long,2024-03-15,signal bar close,2024-03-18,348.0799865722656,6.296008698226999,332.3399648266981,2,1,2024-03-20,349.5599899291993,ATR_STOP,3,True,False,0.004251905924003374,breakout,CAT,lock25_1,IN-SAMPLE,2024,1-3
10,Long,2024-03-20,signal bar close,2024-03-21,357.6700134277344,6.440909936895283,341.56773858549616,2,1,2024-03-22,359.5525131225586,ATR_STOP,2,True,False,0.005263230419523479,breakout,CAT,lock25_1,IN-SAMPLE,2024,1-3
11,Long,2024-04-03,signal bar close,2024-04-04,377.3699951171875,6.368410927033775,361.44896779960305,2,1,2024-04-09,375.0299987792969,ATR_STOP,4,True,False,-0.006200801251206922,breakout,CAT,lock25_1,IN-SAMPLE,2024,4-5
12,Long,2025-01-14,signal bar close,2025-01-15,379.1400146484375,8.05144338791727,359.01140617864434,2,1,2025-01-16,376.30999755859375,TREND_EXIT,2,True,False,-0.007464306009662192,breakout,CAT,lock25_1,IN-SAMPLE,2025,1-3
13,Long,2025-07-10,signal bar close,2025-07-11,405.45001220703125,7.391522913569472,386.97120492310756,2,1,2025-08-01,421.9950736652954,ATR_STOP,16,True,False,0.040806661635555574,breakout,CAT,lock25_1,IN-SAMPLE,2025,16+
14,Long,2025-08-22,signal bar close,2025-08-25,435.0,9.823983345533152,410.4400416361671,2,1,2025-08-29,415.57377766697863,ATR_STOP,5,True,False,-0.04465798237476182,breakout,CAT,lock25_1,IN-SAMPLE,2025,4-5
15,Long,2025-09-17,signal bar close,2025-09-18,450.9599914550781,8.64452529308813,429.3486782223578,2,1,2025-09-25,460.22243812146206,ATR_STOP,6,True,False,0.020539397822182615,breakout,CAT,lock25_1,BOUNDARY / CENSORED,2025,6-10
16,Long,2025-10-03,signal bar close,2025-10-06,500.4200134277344,10.303392730003058,474.6615316027267,2,1,2025-10-07,497.92999267578125,ATR_STOP,2,True,False,-0.004975861646494106,breakout,CAT,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
17,Long,2025-10-15,signal bar close,2025-10-16,538.0599975585938,13.575039226158625,504.1223994931972,2,1,2025-10-17,537.3800048828125,ATR_STOP,2,True,False,-0.001263785969718323,breakout,CAT,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
18,Long,2025-12-02,signal bar close,2025-12-03,581.4000244140625,15.79707674213537,541.9073325587241,2,1,2025-12-15,592.925018310547,ATR_STOP,9,True,False,0.01982283008690855,breakout,CAT,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,6-10
19,Long,2026-01-06,signal bar close,2026-01-07,623.0,15.253587530930671,584.8660311726733,2,1,2026-01-14,628.3975067138672,ATR_STOP,6,True,False,0.008663734693205694,breakout,CAT,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
20,Long,2026-02-02,signal bar close,2026-02-03,694.3599853515625,19.98647416385881,644.3937999419155,2,1,2026-02-04,698.2774963378906,ATR_STOP,2,True,False,0.005641901994603904,breakout,CAT,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
