trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2021-11-08,signal bar close,2021-11-09,367.3900146484375,14.448785715168748,331.26805036051564,2,1,2021-11-10,327.2200012207031,ATR_STOP,2,True,False,-0.10933888191320018,breakout,COIN,lock25_1,IN-SAMPLE,2021,1-3
2,Long,2021-12-27,signal bar close,2021-12-28,270.0,16.799804987574365,228.0004875310641,2,1,2021-12-29,256.6700134277344,TREND_EXIT,2,True,False,-0.049370320638020826,breakout,COIN,lock25_1,IN-SAMPLE,2021,1-3
3,Long,2023-12-01,signal bar close,2023-12-04,143.52999877929688,6.694111580640937,126.79471982769454,2,1,2023-12-05,140.0,ATR_STOP,2,True,False,-0.02459415320364411,breakout,COIN,lock25_1,IN-SAMPLE,2023,1-3
4,Long,2023-12-19,signal bar close,2023-12-20,164.72999572753906,8.152866303360275,144.3478299691384,2,1,2023-12-21,165.91749572753906,ATR_STOP,2,True,False,0.007208766046252535,breakout,COIN,lock25_1,IN-SAMPLE,2023,1-3
5,Long,2023-12-22,signal bar close,2023-12-26,174.8000030517578,8.429794264742075,153.72551738990262,2,1,2023-12-27,175.63000106811526,ATR_STOP,2,True,False,0.004748272321892788,breakout,COIN,lock25_1,IN-SAMPLE,2023,1-3
6,Long,2023-12-27,signal bar close,2023-12-28,179.30999755859375,8.935842356924649,156.97039166628213,2,1,2023-12-29,181.32999801635742,ATR_STOP,2,True,False,0.011265408985930092,breakout,COIN,lock25_1,IN-SAMPLE,2023,1-3
7,Long,2024-02-27,signal bar close,2024-02-28,209.41000366210938,13.4857061770757,175.69573821942012,2,1,2024-02-29,206.4600067138672,ATR_STOP,2,True,False,-0.014087182544545995,breakout,COIN,lock25_1,IN-SAMPLE,2024,1-3
8,Long,2024-03-04,signal bar close,2024-03-05,230.0,14.812956855768768,192.96760786057808,2,1,2024-03-06,229.1999969482422,ATR_STOP,2,True,False,-0.003478274138077442,breakout,COIN,lock25_1,IN-SAMPLE,2024,1-3
9,Long,2024-11-08,signal bar close,2024-11-11,300.30999755859375,16.477278853872246,259.1168004239131,2,1,2024-11-12,308.94749450683594,ATR_STOP,2,True,False,0.028761936060942794,breakout,COIN,lock25_1,IN-SAMPLE,2024,1-3
10,Long,2025-07-10,signal bar close,2025-07-11,390.19000244140625,18.559856990061398,343.79035996625277,2,1,2025-07-14,391.5175018310547,ATR_STOP,2,True,False,0.00340218709178175,breakout,COIN,lock25_1,IN-SAMPLE,2025,1-3
