trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2021-11-09,signal bar close,2021-11-10,115.76000213623047,1.7615540065908208,111.35611711975342,2,1,2021-11-17,114.87000274658203,ATR_STOP,6,True,False,-0.007688315249001598,breakout,CVX,lock25_1,IN-SAMPLE,2021,6-10
2,Long,2022-01-27,signal bar close,2022-01-28,130.0,2.9361091748534944,122.65972706286627,2,1,2022-01-31,130.19000244140625,ATR_STOP,2,True,False,0.0014615572415865863,breakout,CVX,lock25_1,IN-SAMPLE,2022,1-3
3,Long,2022-02-07,signal bar close,2022-02-08,138.17999267578125,3.307089998203748,129.91226768027187,2,1,2022-02-22,131.60462567132322,ATR_STOP,10,True,False,-0.047585521442935264,breakout,CVX,lock25_1,IN-SAMPLE,2022,6-10
4,Long,2022-02-25,signal bar close,2022-02-28,139.27000427246094,3.762728472878602,129.86318309026444,2,1,2022-03-09,161.54305900501657,ATR_STOP,8,True,False,0.15992714905775207,breakout,CVX,lock25_1,IN-SAMPLE,2022,6-10
5,Long,2022-05-06,signal bar close,2022-05-09,167.75,5.0971101148539875,155.00722471286502,2,1,2022-05-10,162.2100067138672,TREND_EXIT,2,True,False,-0.03302529529736398,breakout,CVX,lock25_1,IN-SAMPLE,2022,1-3
6,Long,2022-10-19,signal bar close,2022-10-20,169.3000030517578,5.147156133203394,156.43211271874932,2,1,2022-10-21,169.14999389648438,ATR_STOP,2,True,False,-0.0008860552425836721,breakout,CVX,lock25_1,IN-SAMPLE,2022,1-3
7,Long,2022-11-11,signal bar close,2022-11-14,186.30999755859375,4.848853334650915,174.18786422196646,2,1,2022-11-15,187.1199951171875,ATR_STOP,2,True,False,0.004347579674778279,breakout,CVX,lock25_1,IN-SAMPLE,2022,1-3
8,Long,2024-04-25,signal bar close,2024-04-26,165.22999572753906,2.6283262091228488,158.65918020473194,2,1,2024-04-29,165.66749572753906,ATR_STOP,2,True,False,0.0026478243134584467,breakout,CVX,lock25_1,IN-SAMPLE,2024,1-3
9,Long,2025-08-15,signal bar close,2025-08-18,156.1300048828125,2.8566808814395905,148.98830267921352,2,1,2025-08-26,156.79500198364258,ATR_STOP,7,True,False,0.004259252418068016,breakout,CVX,lock25_1,IN-SAMPLE,2025,6-10
10,Long,2026-01-14,signal bar close,2026-01-15,165.77000427246094,3.53226851358517,156.93933298849802,2,1,2026-01-21,166.24000167846677,ATR_STOP,4,True,False,0.0028352379434903874,breakout,CVX,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,4-5
11,Long,2026-03-02,signal bar close,2026-03-03,190.52000427246094,3.5448794815789513,181.65780556851357,2,1,2026-03-31,204.15475328566038,ATR_STOP,21,True,False,0.07156597054081781,breakout,CVX,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,16+
12,Long,2026-08-14,signal bar close,2026-08-17,200.72999572753906,4.393618648314269,189.7459491067534,2,1,2026-08-24,202.79249572753903,ATR_STOP,6,True,False,0.010274996482336984,breakout,CVX,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
13,Long,2026-09-01,signal bar close,2026-09-02,210.49000549316406,4.109539841786911,200.2161558886968,2,1,2026-09-04,209.50999450683594,ATR_STOP,3,True,False,-0.004655855198597347,breakout,CVX,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
14,Long,2026-09-15,signal bar close,2026-09-16,215.08999633789062,4.430491813710308,204.01376680361486,2,1,2026-09-21,204.0418194276341,ATR_STOP,4,True,False,-0.05136536844280126,breakout,CVX,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,4-5
