signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-11-18,Long,2,1,FLAT,,FILLED,1,2021-11-19,True,False,breakout,MRVL,lock25_1
2021-12-07,Long,2,1,FLAT,,FILLED,2,2021-12-08,True,False,breakout,MRVL,lock25_1
2022-03-16,Long,2,1,FLAT,,FILLED,3,2022-03-17,True,False,breakout,MRVL,lock25_1
2023-07-11,Long,2,1,FLAT,,FILLED,4,2023-07-12,True,False,breakout,MRVL,lock25_1
2023-07-13,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,MRVL,lock25_1
2023-11-03,Long,2,1,FLAT,,FILLED,5,2023-11-06,True,False,breakout,MRVL,lock25_1
2023-12-14,Long,2,1,FLAT,,FILLED,6,2023-12-15,True,False,breakout,MRVL,lock25_1
2024-01-11,Long,2,1,FLAT,,FILLED,7,2024-01-12,True,False,breakout,MRVL,lock25_1
2024-03-06,Long,2,1,FLAT,,FILLED,8,2024-03-07,True,False,breakout,MRVL,lock25_1
2024-03-07,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,MRVL,lock25_1
2024-08-30,Long,2,1,FLAT,,FILLED,9,2024-09-03,True,False,breakout,MRVL,lock25_1
2024-11-06,Long,2,1,FLAT,,FILLED,10,2024-11-07,True,False,breakout,MRVL,lock25_1
2024-11-07,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,MRVL,lock25_1
2024-12-02,Long,2,1,FLAT,,FILLED,11,2024-12-03,True,False,breakout,MRVL,lock25_1
2024-12-13,Long,2,1,FLAT,,FILLED,12,2024-12-16,True,False,breakout,MRVL,lock25_1
2024-12-16,Long,2,1,Long,12,IGNORED_POSITION_OPEN,,,,,breakout,MRVL,lock25_1
2025-01-17,Long,2,1,FLAT,,FILLED,13,2025-01-21,True,False,breakout,MRVL,lock25_1
2025-10-31,Long,2,1,FLAT,,FILLED,14,2025-11-03,True,False,breakout,MRVL,lock25_1
2026-04-08,Long,2,1,FLAT,,FILLED,15,2026-04-09,True,False,breakout,MRVL,lock25_1
2026-05-13,Long,2,1,FLAT,,FILLED,16,2026-05-14,True,False,breakout,MRVL,lock25_1
2026-05-14,Long,2,1,Long,16,IGNORED_POSITION_OPEN,,,,,breakout,MRVL,lock25_1
2026-06-03,Long,2,1,FLAT,,FILLED,17,2026-06-04,True,False,breakout,MRVL,lock25_1
