trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-02-01,signal bar close,2023-02-02,98.87999725341797,2.238204454443446,93.28448611730936,2,1,2023-02-03,98.23999786376953,ATR_STOP,2,True,False,-0.006472485916521498,breakout,MS,lock25_1,IN-SAMPLE,2023,1-3
2,Long,2023-02-14,signal bar close,2023-02-15,99.51000213623047,2.0119335364306172,94.48016829515393,2,1,2023-02-16,99.77999877929688,ATR_STOP,2,True,False,0.002713261353333829,breakout,MS,lock25_1,IN-SAMPLE,2023,1-3
3,Long,2024-09-20,signal bar close,2024-09-23,101.69000244140625,2.241302889323172,96.08674521809832,2,1,2024-09-25,101.98750114440918,ATR_STOP,3,True,False,0.0029255452439815866,breakout,MS,lock25_1,IN-SAMPLE,2024,1-3
4,Long,2024-11-06,signal bar close,2024-11-07,130.74000549316406,3.154900139600694,122.85275514416233,2,1,2024-11-19,131.932502746582,ATR_STOP,9,True,False,0.009121135102601041,breakout,MS,lock25_1,IN-SAMPLE,2024,6-10
5,Long,2025-01-06,signal bar close,2025-01-07,129.64999389648438,2.7367851784524397,122.80803095035327,2,1,2025-01-13,122.44999694824219,TREND_AND_STOP_AT_OPEN,4,True,False,-0.05553410942688386,breakout,MS,lock25_1,IN-SAMPLE,2025,4-5
6,Long,2025-06-23,signal bar close,2025-06-24,135.67999267578125,2.652864645695554,129.04783106154235,2,1,2025-07-16,139.17152550927887,ATR_STOP,16,True,False,0.02573358654168656,breakout,MS,lock25_1,IN-SAMPLE,2025,16+
7,Long,2025-08-12,signal bar close,2025-08-13,148.14999389648438,2.634575062824941,141.563556239422,2,1,2025-08-20,142.53490541890648,ATR_STOP,6,True,False,-0.037901375017951655,breakout,MS,lock25_1,IN-SAMPLE,2025,6-10
8,Long,2025-10-15,signal bar close,2025-10-16,163.08999633789062,4.011920240897925,153.0601957356458,2,1,2025-10-17,160.6999969482422,ATR_STOP,2,True,False,-0.014654481840178701,breakout,MS,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
9,Long,2025-11-12,signal bar close,2025-11-13,169.30999755859375,3.8076390398776447,159.79089995889964,2,1,2025-11-14,160.58584262976925,ATR_STOP,2,True,False,-0.05152770099004522,breakout,MS,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
10,Long,2026-01-05,signal bar close,2026-01-06,186.6999969482422,3.5117101781061177,177.9207215029769,2,1,2026-01-07,187.22999954223633,ATR_STOP,2,True,False,0.0028387927298203497,breakout,MS,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
11,Long,2026-03-23,signal bar close,2026-03-24,162.44000244140625,5.61686057422804,148.39785100583615,2,1,2026-03-25,166.8000030517578,TREND_EXIT,2,True,False,0.026840682989550224,breakout,MS,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
12,Long,2026-05-20,signal bar close,2026-05-21,197.80999755859375,4.729677933782037,185.98580272413867,2,1,2026-05-27,199.33749771118164,ATR_STOP,4,True,False,0.007722057385574965,breakout,MS,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,4-5
13,Long,2026-06-17,signal bar close,2026-06-18,229.08999633789062,5.571645216654745,215.16088329625376,2,1,2026-06-26,216.2992355161282,ATR_STOP,6,True,False,-0.055832908578413054,breakout,MS,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
