trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-05-05,signal bar close,2023-05-08,61.599998474121094,2.8096175007124513,54.575954722339965,2,1,2023-05-09,62.48249816894532,ATR_STOP,2,True,False,0.014326294102019688,breakout,SHOP,lock25_1,IN-SAMPLE,2023,1-3
2,Long,2023-06-12,signal bar close,2023-06-13,66.0,3.027314450116147,58.43171387470963,2,1,2023-06-20,65.0,ATR_STOP,5,True,False,-0.015151515151515138,breakout,SHOP,lock25_1,IN-SAMPLE,2023,4-5
3,Long,2023-07-13,signal bar close,2023-07-14,70.61000061035156,2.5268364994952095,64.29290936161354,2,1,2023-07-17,68.5999984741211,ATR_STOP,2,True,False,-0.028466252922476287,breakout,SHOP,lock25_1,IN-SAMPLE,2023,1-3
4,Long,2023-12-14,signal bar close,2023-12-15,77.70999908447266,2.5575280191858174,71.31617903650812,2,1,2023-12-20,78.0999984741211,ATR_STOP,4,True,False,0.0050186513221355256,breakout,SHOP,lock25_1,IN-SAMPLE,2023,4-5
5,Long,2024-01-09,signal bar close,2024-01-10,80.69000244140625,2.681058489483484,73.98735621769754,2,1,2024-01-12,81.11000061035156,ATR_STOP,3,True,False,0.005205083111136322,breakout,SHOP,lock25_1,IN-SAMPLE,2024,1-3
6,Long,2024-02-07,signal bar close,2024-02-08,85.02999877929688,3.021731879435132,77.47566908070904,2,1,2024-02-13,77.80000305175781,ATR_STOP,4,True,False,-0.08502876433416373,breakout,SHOP,lock25_1,IN-SAMPLE,2024,4-5
7,Long,2024-10-04,signal bar close,2024-10-07,81.8499984741211,2.4441832398384973,75.73954037452485,2,1,2024-10-10,82.36000061035156,ATR_STOP,4,True,False,0.006230936417081612,breakout,SHOP,lock25_1,IN-SAMPLE,2024,4-5
8,Long,2024-11-07,signal bar close,2024-11-08,85.5999984741211,2.1750597140464683,80.16234918900493,2,1,2024-11-19,104.30999755859375,ATR_STOP,8,True,False,0.21857475955597283,breakout,SHOP,lock25_1,IN-SAMPLE,2024,6-10
9,Long,2025-01-06,signal bar close,2025-01-07,114.9000015258789,3.7924301978507144,105.41892603125211,2,1,2025-01-08,105.41892603125211,ATR_STOP,2,True,False,-0.08251588658587938,breakout,SHOP,lock25_1,IN-SAMPLE,2025,1-3
10,Long,2025-02-13,signal bar close,2025-02-14,125.76000213623047,5.377369264157031,112.31657897583788,2,1,2025-02-18,126.46250343322755,ATR_STOP,2,True,False,0.005586047114058523,breakout,SHOP,lock25_1,IN-SAMPLE,2025,1-3
11,Long,2025-09-18,signal bar close,2025-09-19,151.9600067138672,4.705952069471246,140.19512654018908,2,1,2025-09-22,152.75250625610352,ATR_STOP,2,True,False,0.0052151849646109305,breakout,SHOP,lock25_1,BOUNDARY / CENSORED,2025,1-3
12,Long,2025-09-22,signal bar close,2025-09-23,157.10000610351562,4.796152655574457,145.1096244645795,2,1,2025-09-25,145.0,ATR_STOP,3,True,False,-0.0770210415876289,breakout,SHOP,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
13,Long,2025-10-03,signal bar close,2025-10-06,166.5500030517578,5.733809267560507,152.21547988285656,2,1,2025-10-07,165.0,ATR_STOP,2,True,False,-0.009306532713038274,breakout,SHOP,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
14,Long,2025-10-27,signal bar close,2025-10-28,173.4250030517578,6.2140526843662105,157.8898713408423,2,1,2025-10-30,175.61625289916992,ATR_STOP,3,True,False,0.012635143773116475,breakout,SHOP,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
