signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-11-19,Long,2,1,FLAT,,FILLED,1,2021-11-22,True,False,breakout,AAPL,lock25_2
2021-12-07,Long,2,1,FLAT,,FILLED,2,2021-12-08,True,False,breakout,AAPL,lock25_2
2021-12-08,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2021-12-10,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2022-01-31,Long,2,1,FLAT,,FILLED,3,2022-02-01,True,False,breakout,AAPL,lock25_2
2022-08-17,Long,2,1,FLAT,,FILLED,4,2022-08-18,True,False,breakout,AAPL,lock25_2
2023-03-31,Long,2,1,FLAT,,FILLED,5,2023-04-03,True,False,breakout,AAPL,lock25_2
2023-04-27,Long,2,1,FLAT,,FILLED,6,2023-04-28,True,False,breakout,AAPL,lock25_2
2023-04-28,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2023-05-05,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2023-05-18,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2023-06-01,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2023-06-02,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2023-06-15,Long,2,1,FLAT,,FILLED,7,2023-06-16,True,False,breakout,AAPL,lock25_2
2023-06-30,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2023-07-19,Long,2,1,FLAT,,FILLED,8,2023-07-20,True,False,breakout,AAPL,lock25_2
2023-11-06,Long,2,1,FLAT,,FILLED,9,2023-11-07,True,False,breakout,AAPL,lock25_2
2023-12-05,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2023-12-08,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2023-12-13,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2023-12-14,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2024-01-19,Long,2,1,FLAT,,FILLED,10,2024-01-22,True,False,breakout,AAPL,lock25_2
2024-01-22,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2024-06-05,Long,2,1,FLAT,,FILLED,11,2024-06-06,True,False,breakout,AAPL,lock25_2
2025-09-03,Long,2,1,FLAT,,FILLED,12,2025-09-04,True,False,breakout,AAPL,lock25_2
2025-09-19,Long,2,1,FLAT,,FILLED,13,2025-09-22,True,False,breakout,AAPL,lock25_2
2025-09-22,Long,2,1,Long,13,IGNORED_POSITION_OPEN,,,,,breakout,AAPL,lock25_2
2025-10-20,Long,2,1,FLAT,,FILLED,14,2025-10-21,True,False,breakout,AAPL,lock25_2
2025-12-01,Long,2,1,FLAT,,FILLED,15,2025-12-02,True,False,breakout,AAPL,lock25_2
2026-05-08,Long,2,1,FLAT,,FILLED,16,2026-05-11,True,False,breakout,AAPL,lock25_2
2026-07-02,Long,2,1,FLAT,,FILLED,17,2026-07-06,True,False,breakout,AAPL,lock25_2
2026-07-28,Long,2,1,FLAT,,FILLED,18,2026-07-29,True,False,breakout,AAPL,lock25_2
