trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-01-25,signal bar close,2023-01-26,681.9000244140625,20.739858858245544,630.0503772684486,2,1,2023-02-03,678.4500122070312,ATR_STOP,7,True,False,-0.005059410593210911,breakout,ASML,lock25_2,IN-SAMPLE,2023,6-10
2,Long,2023-05-26,signal bar close,2023-05-30,743.1300048828125,18.152169821991542,697.7495803278337,2,1,2023-06-06,704.7676498156046,ATR_STOP,6,True,False,-0.0516226700781075,breakout,ASML,lock25_2,IN-SAMPLE,2023,6-10
3,Long,2023-12-11,signal bar close,2023-12-12,714.9199829101562,12.77221845666992,682.9894367684815,2,1,2024-01-02,730.0,ATR_STOP,14,True,False,0.021093293585750628,breakout,ASML,lock25_2,IN-SAMPLE,2023,11-15
4,Long,2024-01-18,signal bar close,2024-01-19,748.5,15.445044982024612,709.8873875449385,2,1,2024-02-13,890.8499755859375,ATR_STOP,18,True,False,0.190180328104125,breakout,ASML,lock25_2,IN-SAMPLE,2024,16+
5,Long,2024-03-01,signal bar close,2024-03-04,992.5999755859375,23.125510186847805,934.786200118818,2,1,2024-03-08,1008.5349731445312,ATR_STOP,5,True,False,0.016053796041237245,breakout,ASML,lock25_2,IN-SAMPLE,2024,4-5
6,Long,2024-06-05,signal bar close,2024-06-06,1048.0,31.51144746163566,969.2213813459108,2,1,2024-06-13,1053.72998046875,ATR_STOP,6,True,False,0.005467538615219425,breakout,ASML,lock25_2,IN-SAMPLE,2024,6-10
7,Long,2025-10-01,signal bar close,2025-10-02,1039.0,22.05395920781956,983.8651019804511,2,1,2025-10-07,1001.9968566087643,ATR_STOP,4,True,False,-0.03561418998193999,breakout,ASML,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,4-5
8,Long,2025-12-01,signal bar close,2025-12-02,1089.6099853515625,31.934358245669458,1009.7740897373889,2,1,2025-12-04,1102.6374816894531,ATR_STOP,3,True,False,0.011956109537383908,breakout,ASML,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
9,Long,2026-01-15,signal bar close,2026-01-16,1355.7099609375,39.060871372519614,1258.057782506201,2,1,2026-01-23,1366.4824829101562,ATR_STOP,5,True,False,0.007946037340617274,breakout,ASML,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,4-5
10,Long,2026-01-26,signal bar close,2026-01-27,1417.6300048828125,39.4456841666915,1319.0157944660837,2,1,2026-01-28,1431.6199951171875,ATR_STOP,2,True,False,0.009868576558191178,breakout,ASML,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
11,Long,2026-04-14,signal bar close,2026-04-15,1473.530029296875,54.94491631109108,1336.1677385191474,2,1,2026-04-29,1386.7099609375,TREND_EXIT,11,True,False,-0.05891978217831295,breakout,ASML,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,11-15
12,Long,2026-06-11,signal bar close,2026-06-12,1847.6199951171875,85.90125355730753,1632.8668612239187,2,1,2026-06-16,1864.1399841308591,ATR_STOP,3,True,False,0.008941226581943296,breakout,ASML,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
13,Long,2026-06-30,signal bar close,2026-07-01,1916.280029296875,90.95325034214515,1688.8969034415122,2,1,2026-07-17,1722.8685703571614,ATR_STOP,12,True,False,-0.10093068652950499,breakout,ASML,lock25_2,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,11-15
