signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-11-02,Long,2,1,FLAT,,FILLED,1,2021-11-03,True,False,breakout,AVGO,lock25_3
2021-11-05,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2021-12-07,Long,2,1,FLAT,,FILLED,2,2021-12-08,True,False,breakout,AVGO,lock25_3
2021-12-10,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2021-12-20,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2021-12-21,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2022-03-16,Long,2,1,FLAT,,FILLED,3,2022-03-17,True,False,breakout,AVGO,lock25_3
2023-01-06,Long,2,1,FLAT,,FILLED,4,2023-01-09,True,False,breakout,AVGO,lock25_3
2023-01-26,Long,2,1,FLAT,,FILLED,5,2023-01-27,True,False,breakout,AVGO,lock25_3
2023-02-01,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2023-02-07,Long,2,1,FLAT,,FILLED,6,2023-02-08,True,False,breakout,AVGO,lock25_3
2023-03-03,Long,2,1,FLAT,,FILLED,7,2023-03-06,True,False,breakout,AVGO,lock25_3
2023-07-10,Long,2,1,FLAT,,FILLED,8,2023-07-11,True,False,breakout,AVGO,lock25_3
2023-07-12,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2023-07-17,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2023-12-12,Long,2,1,FLAT,,FILLED,9,2023-12-13,True,False,breakout,AVGO,lock25_3
2023-12-13,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2023-12-14,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2023-12-15,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2024-01-18,Long,2,1,FLAT,,FILLED,10,2024-01-19,True,False,breakout,AVGO,lock25_3
2024-02-22,Long,2,1,FLAT,,FILLED,11,2024-02-23,True,False,breakout,AVGO,lock25_3
2024-06-10,Long,2,1,FLAT,,FILLED,12,2024-06-11,True,False,breakout,AVGO,lock25_3
2024-06-11,Long,2,1,Long,12,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2024-06-12,Long,2,1,Long,12,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2025-05-28,Long,2,1,FLAT,,FILLED,13,2025-05-29,True,False,breakout,AVGO,lock25_3
2025-05-29,Long,2,1,Long,13,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2025-06-02,Long,2,1,Long,13,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2025-06-03,Long,2,1,Long,13,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2025-06-24,Long,2,1,FLAT,,FILLED,14,2025-06-25,True,False,breakout,AVGO,lock25_3
2025-08-12,Long,2,1,FLAT,,FILLED,15,2025-08-13,True,False,breakout,AVGO,lock25_3
2025-09-10,Long,2,1,FLAT,,FILLED,16,2025-09-11,True,False,breakout,AVGO,lock25_3
2025-12-10,Long,2,1,FLAT,,FILLED,17,2025-12-11,True,False,breakout,AVGO,lock25_3
2026-04-08,Long,2,1,FLAT,,FILLED,18,2026-04-09,True,False,breakout,AVGO,lock25_3
2026-05-14,Long,2,1,FLAT,,FILLED,19,2026-05-15,True,False,breakout,AVGO,lock25_3
2026-05-29,Long,2,1,Long,19,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2026-06-01,Long,2,1,Long,19,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
2026-06-02,Long,2,1,Long,19,IGNORED_POSITION_OPEN,,,,,breakout,AVGO,lock25_3
