signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-11-09,Long,2,1,FLAT,,FILLED,1,2021-11-10,True,False,breakout,DDOG,lock25_3
2023-07-11,Long,2,1,FLAT,,FILLED,2,2023-07-12,True,False,breakout,DDOG,lock25_3
2023-12-14,Long,2,1,FLAT,,FILLED,3,2023-12-15,True,False,breakout,DDOG,lock25_3
2023-12-15,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,DDOG,lock25_3
2024-01-16,Long,2,1,FLAT,,FILLED,4,2024-01-17,True,False,breakout,DDOG,lock25_3
2024-01-17,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,DDOG,lock25_3
2024-11-22,Long,2,1,FLAT,,FILLED,5,2024-11-25,True,False,breakout,DDOG,lock25_3
2024-11-25,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,DDOG,lock25_3
2025-07-03,Long,2,1,FLAT,,FILLED,6,2025-07-07,True,False,breakout,DDOG,lock25_3
2025-10-31,Long,2,1,FLAT,,FILLED,7,2025-11-03,True,False,breakout,DDOG,lock25_3
2026-01-26,Long,2,1,FLAT,,FILLED,8,2026-01-27,True,False,breakout,DDOG,lock25_3
2026-01-27,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,DDOG,lock25_3
2026-05-29,Long,2,1,FLAT,,FILLED,9,2026-06-01,True,False,breakout,DDOG,lock25_3
2026-06-26,Long,2,1,FLAT,,FILLED,10,2026-06-29,True,False,breakout,DDOG,lock25_3
2026-08-04,Long,2,1,FLAT,,FILLED,11,2026-08-05,True,False,breakout,DDOG,lock25_3
