trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-01-20,signal bar close,2023-01-23,34.172000885009766,1.2677760988773372,31.002560637816423,2,1,2023-02-10,35.11475086212158,ATR_STOP,15,True,False,0.027588375064258264,breakout,NFLX,lock25_3,IN-SAMPLE,2023,11-15
2,Long,2023-03-24,signal bar close,2023-03-27,32.755001068115234,1.2319928344556788,29.675018981976038,2,1,2023-04-06,33.31125068664551,ATR_STOP,9,True,False,0.01698212793135112,breakout,NFLX,lock25_3,IN-SAMPLE,2023,6-10
3,Long,2023-05-30,signal bar close,2023-05-31,39.18899917602539,1.2918186598229469,35.95945252646803,2,1,2023-06-06,39.73824977874756,ATR_STOP,5,True,False,0.014015428162763133,breakout,NFLX,lock25_3,IN-SAMPLE,2023,4-5
4,Long,2023-06-09,signal bar close,2023-06-12,41.882999420166016,1.3107991289918655,38.60600159768635,2,1,2023-06-21,42.62849998474121,ATR_STOP,7,True,False,0.017799598283217755,breakout,NFLX,lock25_3,IN-SAMPLE,2023,6-10
5,Long,2023-12-18,signal bar close,2023-12-19,48.84000015258789,1.0763994507689125,46.14900152566561,2,1,2024-01-02,47.71651666388098,ATR_STOP,9,True,False,-0.023003347362753446,breakout,NFLX,lock25_3,IN-SAMPLE,2023,6-10
6,Long,2024-02-27,signal bar close,2024-02-28,59.57899856567383,1.4203441790149913,56.02813811813635,2,1,2024-03-05,60.29474925994874,ATR_STOP,5,True,False,0.012013473061081026,breakout,NFLX,lock25_3,IN-SAMPLE,2024,4-5
7,Long,2024-05-20,signal bar close,2024-05-21,63.67599868774414,1.6044024771154248,59.66499249495558,2,1,2024-05-31,64.36324977874756,ATR_STOP,8,True,False,0.010792937765665478,breakout,NFLX,lock25_3,IN-SAMPLE,2024,6-10
8,Long,2024-06-14,signal bar close,2024-06-17,66.91100311279297,1.4878644810779367,63.191341910098124,2,1,2024-06-24,67.43025207519533,ATR_STOP,5,True,False,0.007760292601308727,breakout,NFLX,lock25_3,IN-SAMPLE,2024,4-5
9,Long,2024-09-24,signal bar close,2024-09-25,72.0999984741211,1.6984615668126217,67.85384455708954,2,1,2024-10-17,69.87766174417432,ATR_STOP,17,True,False,-0.030822978876267837,breakout,NFLX,lock25_3,IN-SAMPLE,2024,16+
10,Long,2024-11-19,signal bar close,2024-11-20,87.99800109863281,1.8893884011530622,83.27453009575015,2,1,2024-11-25,88.69850158691408,ATR_STOP,4,True,False,0.007960413640488273,breakout,NFLX,lock25_3,IN-SAMPLE,2024,4-5
11,Long,2024-12-11,signal bar close,2024-12-12,93.33499908447266,2.0687540992977227,88.16311383622835,2,1,2024-12-18,88.737052361047,ATR_STOP,5,True,False,-0.04926283568358192,breakout,NFLX,lock25_3,IN-SAMPLE,2024,4-5
12,Long,2025-01-22,signal bar close,2025-01-23,95.78099822998047,3.1996085499739877,87.7819768550455,2,1,2025-02-03,96.70049858093263,ATR_STOP,8,True,False,0.00960002889867928,breakout,NFLX,lock25_3,IN-SAMPLE,2025,6-10
13,Long,2025-06-27,signal bar close,2025-06-30,133.10000610351562,2.668820465948843,126.42795493864352,2,1,2025-07-02,127.56345739437239,ATR_STOP,3,True,False,-0.04159690800342486,breakout,NFLX,lock25_3,IN-SAMPLE,2025,1-3
