signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-11-07,Long,2,1,FLAT,,FILLED,1,2023-11-08,True,False,breakout,CRWD,lock25_4
2024-01-08,Long,2,1,FLAT,,FILLED,2,2024-01-09,True,False,breakout,CRWD,lock25_4
2024-01-09,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,CRWD,lock25_4
2024-01-10,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,CRWD,lock25_4
2024-01-22,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,CRWD,lock25_4
2024-02-07,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,CRWD,lock25_4
2024-06-10,Long,2,1,FLAT,,FILLED,3,2024-06-11,True,False,breakout,CRWD,lock25_4
2024-06-12,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,CRWD,lock25_4
2024-10-11,Long,2,1,FLAT,,FILLED,4,2024-10-14,True,False,breakout,CRWD,lock25_4
2024-11-22,Long,2,1,FLAT,,FILLED,5,2024-11-25,True,False,breakout,CRWD,lock25_4
2025-05-23,Long,2,1,FLAT,,FILLED,6,2025-05-27,True,False,breakout,CRWD,lock25_4
2025-05-27,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,CRWD,lock25_4
2025-10-08,Long,2,1,FLAT,,FILLED,7,2025-10-09,True,False,breakout,CRWD,lock25_4
2025-10-24,Long,2,1,FLAT,,FILLED,8,2025-10-27,True,False,breakout,CRWD,lock25_4
2026-05-29,Long,2,1,FLAT,,FILLED,9,2026-06-01,True,False,breakout,CRWD,lock25_4
2026-06-01,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,CRWD,lock25_4
2026-06-29,Long,2,1,FLAT,,FILLED,10,2026-06-30,True,False,breakout,CRWD,lock25_4
2026-06-30,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,CRWD,lock25_4
2026-08-31,Long,2,1,FLAT,,FILLED,11,2026-09-01,True,False,breakout,CRWD,lock25_4
2026-09-15,Long,2,1,Long,11,IGNORED_POSITION_OPEN,,,,,breakout,CRWD,lock25_4
2026-09-17,Long,2,1,Long,11,IGNORED_POSITION_OPEN,,,,,breakout,CRWD,lock25_4
