signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-01-27,Long,2,1,FLAT,,FILLED,1,2023-01-30,True,False,breakout,V,lock25_4
2023-03-06,Long,2,1,FLAT,,FILLED,2,2023-03-07,True,False,breakout,V,lock25_4
2023-11-14,Long,2,1,FLAT,,FILLED,3,2023-11-15,True,False,breakout,V,lock25_4
2023-11-15,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,V,lock25_4
2023-11-16,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,V,lock25_4
2023-11-17,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,V,lock25_4
2023-11-30,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,V,lock25_4
2024-01-09,Long,2,1,FLAT,,FILLED,4,2024-01-10,True,False,breakout,V,lock25_4
2024-03-14,Long,2,1,FLAT,,FILLED,5,2024-03-15,True,False,breakout,V,lock25_4
2024-03-20,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,V,lock25_4
2024-05-10,Long,2,1,FLAT,,FILLED,6,2024-05-13,True,False,breakout,V,lock25_4
2024-11-06,Long,2,1,FLAT,,FILLED,7,2024-11-07,True,False,breakout,V,lock25_4
2024-11-25,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,V,lock25_4
2024-12-17,Long,2,1,FLAT,,FILLED,8,2024-12-18,True,False,breakout,V,lock25_4
2025-01-23,Long,2,1,FLAT,,FILLED,9,2025-01-24,True,False,breakout,V,lock25_4
2025-02-18,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,V,lock25_4
2025-02-28,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,V,lock25_4
2025-06-11,Long,2,1,FLAT,,FILLED,10,2025-06-12,True,False,breakout,V,lock25_4
2026-01-06,Long,2,1,FLAT,,FILLED,11,2026-01-07,True,False,breakout,V,lock25_4
2026-07-28,Long,2,1,FLAT,,FILLED,12,2026-07-29,True,False,breakout,V,lock25_4
2026-08-24,Long,2,1,FLAT,,FILLED,13,2026-08-25,True,False,breakout,V,lock25_4
