signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-11-02,Long,2,1,FLAT,,FILLED,1,2021-11-03,True,False,breakout,GS,time_10
2023-12-13,Long,2,1,FLAT,,FILLED,2,2023-12-14,True,False,breakout,GS,time_10
2024-01-02,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,GS,time_10
2024-04-22,Long,2,1,FLAT,,FILLED,3,2024-04-23,True,False,breakout,GS,time_10
2024-04-23,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,GS,time_10
2024-11-11,Long,2,1,FLAT,,FILLED,4,2024-11-12,True,False,breakout,GS,time_10
2025-01-15,Long,2,1,FLAT,,FILLED,5,2025-01-16,True,False,breakout,GS,time_10
2025-01-23,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,GS,time_10
2025-05-13,Long,2,1,FLAT,,FILLED,6,2025-05-14,True,False,breakout,GS,time_10
2025-05-14,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,GS,time_10
2025-05-15,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,GS,time_10
2025-06-18,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,GS,time_10
2025-06-20,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,GS,time_10
2025-06-23,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,GS,time_10
2025-08-12,Long,2,1,FLAT,,FILLED,7,2025-08-13,True,False,breakout,GS,time_10
2025-09-10,Long,2,1,FLAT,,FILLED,8,2025-09-11,True,False,breakout,GS,time_10
2025-09-11,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,GS,time_10
2025-11-12,Long,2,1,FLAT,,FILLED,9,2025-11-13,True,False,breakout,GS,time_10
2026-01-02,Long,2,1,FLAT,,FILLED,10,2026-01-05,True,False,breakout,GS,time_10
2026-04-08,Long,2,1,FLAT,,FILLED,11,2026-04-09,True,False,breakout,GS,time_10
2026-06-04,Long,2,1,Long,11,IGNORED_POSITION_OPEN,,,,,breakout,GS,time_10
2026-07-14,Long,2,1,FLAT,,FILLED,12,2026-07-15,True,False,breakout,GS,time_10
2026-07-15,Long,2,1,Long,12,IGNORED_POSITION_OPEN,,,,,breakout,GS,time_10
