signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2024-03-11,Long,2,1,FLAT,,FILLED,1,2024-03-12,True,False,breakout,RTX,time_10
2024-04-04,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,RTX,time_10
2024-04-05,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,RTX,time_10
2024-05-09,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,RTX,time_10
2024-05-31,Long,2,1,FLAT,,FILLED,2,2024-06-03,True,False,breakout,RTX,time_10
2024-08-30,Long,2,1,FLAT,,FILLED,3,2024-09-03,True,False,breakout,RTX,time_10
2024-09-25,Long,2,1,FLAT,,FILLED,4,2024-09-26,True,False,breakout,RTX,time_10
2025-01-13,Long,2,1,FLAT,,FILLED,5,2025-01-14,True,False,breakout,RTX,time_10
2025-02-27,Long,2,1,FLAT,,FILLED,6,2025-02-28,True,False,breakout,RTX,time_10
2025-02-28,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,RTX,time_10
2025-03-03,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,RTX,time_10
2025-03-19,Long,2,1,FLAT,,FILLED,7,2025-03-20,True,False,breakout,RTX,time_10
2025-10-21,Long,2,1,FLAT,,FILLED,8,2025-10-22,True,False,breakout,RTX,time_10
2026-01-05,Long,2,1,FLAT,,FILLED,9,2026-01-06,True,False,breakout,RTX,time_10
2026-01-14,Long,2,1,FLAT,,FILLED,10,2026-01-15,True,False,breakout,RTX,time_10
2026-01-16,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,RTX,time_10
2026-07-06,Long,2,1,FLAT,,FILLED,11,2026-07-07,True,False,breakout,RTX,time_10
2026-07-23,Long,2,1,FLAT,,FILLED,12,2026-07-24,True,False,breakout,RTX,time_10
2026-07-27,Long,2,1,Long,12,IGNORED_POSITION_OPEN,,,,,breakout,RTX,time_10
2026-08-06,Long,2,1,Long,12,IGNORED_POSITION_OPEN,,,,,breakout,RTX,time_10
