trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-05-05,signal bar close,2023-05-08,61.599998474121094,2.8096175007124513,54.575954722339965,2,1,2023-05-23,59.681903222283296,ATR_STOP,12,True,False,-0.0311379107037415,breakout,SHOP,time_10,IN-SAMPLE,2023,11-15
2,Long,2023-06-12,signal bar close,2023-06-13,66.0,3.027314450116147,58.43171387470963,2,1,2023-07-10,61.165034128721736,ATR_STOP,18,True,False,-0.07325705865573129,breakout,SHOP,time_10,IN-SAMPLE,2023,16+
3,Long,2023-07-13,signal bar close,2023-07-14,70.61000061035156,2.5268364994952095,64.29290936161354,2,1,2023-07-20,65.12329942266793,ATR_STOP,5,True,False,-0.07770430732554445,breakout,SHOP,time_10,IN-SAMPLE,2023,4-5
4,Long,2023-12-14,signal bar close,2023-12-15,77.70999908447266,2.5575280191858174,71.31617903650812,2,1,2024-01-02,74.35177204821188,ATR_STOP,11,True,False,-0.043214863927746205,breakout,SHOP,time_10,IN-SAMPLE,2023,11-15
5,Long,2024-01-09,signal bar close,2024-01-10,80.69000244140625,2.681058489483484,73.98735621769754,2,1,2024-01-19,76.57589285728915,ATR_STOP,7,True,False,-0.0509866087450499,breakout,SHOP,time_10,IN-SAMPLE,2024,6-10
6,Long,2024-02-07,signal bar close,2024-02-08,85.02999877929688,3.021731879435132,77.47566908070904,2,1,2024-02-13,77.80000305175781,ATR_STOP,4,True,False,-0.08502876433416373,breakout,SHOP,time_10,IN-SAMPLE,2024,4-5
7,Long,2024-10-04,signal bar close,2024-10-07,81.8499984741211,2.4441832398384973,75.73954037452485,2,1,2024-10-24,79.00522536129856,ATR_STOP,14,True,False,-0.03475593360850193,breakout,SHOP,time_10,IN-SAMPLE,2024,11-15
8,Long,2024-11-07,signal bar close,2024-11-08,85.5999984741211,2.1750597140464683,80.16234918900493,2,1,2024-11-19,104.30999755859375,ATR_STOP,8,True,False,0.21857475955597283,breakout,SHOP,time_10,IN-SAMPLE,2024,6-10
9,Long,2025-01-06,signal bar close,2025-01-07,114.9000015258789,3.7924301978507144,105.41892603125211,2,1,2025-01-08,105.41892603125211,ATR_STOP,2,True,False,-0.08251588658587938,breakout,SHOP,time_10,IN-SAMPLE,2025,1-3
10,Long,2025-02-13,signal bar close,2025-02-14,125.76000213623047,5.377369264157031,112.31657897583788,2,1,2025-02-21,116.15694398442841,ATR_STOP,5,True,False,-0.07636019393033622,breakout,SHOP,time_10,IN-SAMPLE,2025,4-5
11,Long,2025-09-18,signal bar close,2025-09-19,151.9600067138672,4.705952069471246,140.19512654018908,2,1,2025-09-25,145.0,ATR_STOP,5,True,False,-0.04580156887576692,breakout,SHOP,time_10,BOUNDARY / CENSORED,2025,4-5
12,Long,2025-10-03,signal bar close,2025-10-06,166.5500030517578,5.733809267560507,152.21547988285656,2,1,2025-10-10,154.8525875253269,ATR_STOP,5,True,False,-0.07023365543137083,breakout,SHOP,time_10,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,4-5
13,Long,2025-10-27,signal bar close,2025-10-28,173.4250030517578,6.2140526843662105,157.8898713408423,2,1,2025-11-04,163.06500244140625,ATR_STOP,6,True,False,-0.05973764121693381,breakout,SHOP,time_10,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,6-10
