signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-12-27,Long,2,1,FLAT,,FILLED,1,2021-12-28,True,False,breakout,SMCI,time_10
2021-12-29,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,SMCI,time_10
2022-01-04,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,SMCI,time_10
2022-06-02,Long,2,1,FLAT,,FILLED,2,2022-06-03,True,False,breakout,SMCI,time_10
2022-08-10,Long,2,1,FLAT,,FILLED,3,2022-08-11,True,False,breakout,SMCI,time_10
2022-08-18,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,SMCI,time_10
2022-08-25,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,SMCI,time_10
2022-11-15,Long,2,1,FLAT,,FILLED,4,2022-11-16,True,False,breakout,SMCI,time_10
2023-02-24,Long,2,1,FLAT,,FILLED,5,2023-02-27,True,False,breakout,SMCI,time_10
2023-02-27,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,SMCI,time_10
2023-03-21,Long,2,1,FLAT,,FILLED,6,2023-03-22,True,False,breakout,SMCI,time_10
2023-03-22,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,SMCI,time_10
2023-05-16,Long,2,1,FLAT,,FILLED,7,2023-05-17,True,False,breakout,SMCI,time_10
2023-05-17,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,SMCI,time_10
2023-05-18,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,SMCI,time_10
2023-06-09,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,SMCI,time_10
2023-08-07,Long,2,1,FLAT,,FILLED,8,2023-08-08,True,False,breakout,SMCI,time_10
2024-01-08,Long,2,1,FLAT,,FILLED,9,2024-01-09,True,False,breakout,SMCI,time_10
2024-01-09,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,SMCI,time_10
2025-07-15,Long,2,1,FLAT,,FILLED,10,2025-07-16,True,False,breakout,SMCI,time_10
2025-10-02,Long,2,1,FLAT,,FILLED,11,2025-10-03,True,False,breakout,SMCI,time_10
2025-10-06,Long,2,1,Long,11,IGNORED_POSITION_OPEN,,,,,breakout,SMCI,time_10
