trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2021-11-09,signal bar close,2021-11-10,115.76000213623047,1.7615540065908208,111.35611711975342,2,1,2021-11-18,113.75703549827938,ATR_STOP,7,True,False,-0.01730275225456479,breakout,CVX,time_15,IN-SAMPLE,2021,6-10
2,Long,2022-01-27,signal bar close,2022-01-28,130.0,2.9361091748534944,122.65972706286627,2,1,2022-02-22,131.60462567132322,ATR_STOP,17,True,False,0.01234327439479399,breakout,CVX,time_15,IN-SAMPLE,2022,16+
3,Long,2022-02-25,signal bar close,2022-02-28,139.27000427246094,3.762728472878602,129.86318309026444,2,1,2022-03-09,161.54305900501657,ATR_STOP,8,True,False,0.15992714905775207,breakout,CVX,time_15,IN-SAMPLE,2022,6-10
4,Long,2022-05-06,signal bar close,2022-05-09,167.75,5.0971101148539875,155.00722471286502,2,1,2022-05-10,162.2100067138672,TREND_EXIT,2,True,False,-0.03302529529736398,breakout,CVX,time_15,IN-SAMPLE,2022,1-3
5,Long,2022-10-19,signal bar close,2022-10-20,169.3000030517578,5.147156133203394,156.43211271874932,2,1,2022-11-21,178.145072116775,ATR_STOP,23,True,False,0.05224494332887342,breakout,CVX,time_15,IN-SAMPLE,2022,16+
6,Long,2024-04-25,signal bar close,2024-04-26,165.22999572753906,2.6283262091228488,158.65918020473194,2,1,2024-05-01,160.4020030530537,ATR_STOP,4,True,False,-0.02921983174560283,breakout,CVX,time_15,IN-SAMPLE,2024,4-5
7,Long,2025-08-15,signal bar close,2025-08-18,156.1300048828125,2.8566808814395905,148.98830267921352,2,1,2025-09-05,155.37204176230858,ATR_STOP,14,True,False,-0.004854692223143275,breakout,CVX,time_15,IN-SAMPLE,2025,11-15
8,Long,2026-01-14,signal bar close,2026-01-15,165.77000427246094,3.53226851358517,156.93933298849802,2,1,2026-03-31,204.15475328566038,ATR_STOP,52,True,False,0.2315542500084029,breakout,CVX,time_15,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,16+
9,Long,2026-08-14,signal bar close,2026-08-17,200.72999572753906,4.393618648314269,189.7459491067534,2,1,2026-08-26,198.72999572753906,ATR_STOP,8,True,False,-0.009963632952569301,breakout,CVX,time_15,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
10,Long,2026-09-01,signal bar close,2026-09-02,210.49000549316406,4.109539841786911,200.2161558886968,2,1,2026-09-21,206.94294475698743,ATR_STOP,13,True,False,-0.0168514449313929,breakout,CVX,time_15,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,11-15
