signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-12-12,Long,2,1,FLAT,,FILLED,1,2023-12-13,True,False,breakout,JPM,time_15
2023-12-13,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2023-12-14,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2023-12-15,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2024-01-02,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2024-02-22,Long,2,1,FLAT,,FILLED,2,2024-02-23,True,False,breakout,JPM,time_15
2024-03-06,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2024-03-13,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2024-03-18,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2024-03-19,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2024-03-20,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2024-03-21,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2024-05-14,Long,2,1,FLAT,,FILLED,3,2024-05-15,True,False,breakout,JPM,time_15
2024-07-16,Long,2,1,FLAT,,FILLED,4,2024-07-17,True,False,breakout,JPM,time_15
2024-07-17,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2024-11-25,Long,2,1,FLAT,,FILLED,5,2024-11-26,True,False,breakout,JPM,time_15
2025-01-21,Long,2,1,FLAT,,FILLED,6,2025-01-22,True,False,breakout,JPM,time_15
2025-02-18,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2025-06-16,Long,2,1,FLAT,,FILLED,7,2025-06-17,True,False,breakout,JPM,time_15
2025-06-18,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2025-06-23,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2025-06-24,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,JPM,time_15
2025-08-22,Long,2,1,FLAT,,FILLED,8,2025-08-25,True,False,breakout,JPM,time_15
2025-09-18,Long,2,1,FLAT,,FILLED,9,2025-09-19,True,False,breakout,JPM,time_15
2026-04-20,Long,2,1,FLAT,,FILLED,10,2026-04-21,True,False,breakout,JPM,time_15
