trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2024-03-11,signal bar close,2024-03-12,90.87000274658203,1.2863254582218657,87.65418910102737,2,1,2024-05-16,104.38980516223425,ATR_STOP,47,True,False,0.14878179825036653,breakout,RTX,time_15,IN-SAMPLE,2024,16+
2,Long,2024-05-31,signal bar close,2024-06-03,107.23999786376953,1.3639174888332746,103.83020414168635,2,1,2024-06-13,105.48867931485405,ATR_STOP,9,True,False,-0.01633083349311737,breakout,RTX,time_15,IN-SAMPLE,2024,6-10
3,Long,2024-08-30,signal bar close,2024-09-03,123.12000274658203,1.6866573752021665,118.90335930857661,2,1,2024-09-05,119.25330490223804,ATR_STOP,3,True,False,-0.03140592720991742,breakout,RTX,time_15,IN-SAMPLE,2024,1-3
4,Long,2024-09-25,signal bar close,2024-09-26,120.23999786376953,1.82045007427995,115.68887267806966,2,1,2024-10-29,123.77154432339348,ATR_STOP,24,True,False,0.029370812727601336,breakout,RTX,time_15,IN-SAMPLE,2024,16+
5,Long,2025-01-13,signal bar close,2025-01-14,118.76000213623047,1.9281062401449307,113.93973653586814,2,1,2025-01-29,126.07803939875171,ATR_STOP,11,True,False,0.06162038675383874,breakout,RTX,time_15,IN-SAMPLE,2025,11-15
6,Long,2025-02-27,signal bar close,2025-02-28,131.2899932861328,2.6317804518092425,124.7105421566097,2,1,2025-03-04,128.82504107736642,ATR_STOP,3,True,False,-0.01877486735332745,breakout,RTX,time_15,IN-SAMPLE,2025,1-3
7,Long,2025-03-19,signal bar close,2025-03-20,134.1199951171875,2.6420763459460206,127.51480425232245,2,1,2025-04-03,130.191799073742,ATR_STOP,11,True,False,-0.029288668255715522,breakout,RTX,time_15,IN-SAMPLE,2025,11-15
8,Long,2025-10-21,signal bar close,2025-10-22,174.49000549316406,4.251515585249363,163.86121653004065,2,1,2025-11-14,173.1132663525577,ATR_STOP,18,True,False,-0.007890074487161947,breakout,RTX,time_15,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,16+
9,Long,2026-01-05,signal bar close,2026-01-06,188.6999969482422,3.235850709595283,180.61037017425397,2,1,2026-01-09,186.02999877929688,ATR_STOP,4,True,False,-0.014149434086518031,breakout,RTX,time_15,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,4-5
10,Long,2026-01-14,signal bar close,2026-01-15,198.9499969482422,4.39799692070168,187.955004646488,2,1,2026-02-10,194.23309506522534,ATR_STOP,18,True,False,-0.023708981931997553,breakout,RTX,time_15,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,16+
11,Long,2026-07-06,signal bar close,2026-07-07,203.5399932861328,4.672410308366884,191.8589675152156,2,1,2026-07-16,192.98639320938526,ATR_STOP,8,True,False,-0.05185025265236942,breakout,RTX,time_15,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
12,Long,2026-07-23,signal bar close,2026-07-24,210.8300018310547,5.532398022328863,196.99900677523254,2,1,2026-08-20,215.28394040804363,ATR_STOP,20,True,False,0.021125734185393874,breakout,RTX,time_15,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,16+
