signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-01-25,Long,2,1,FLAT,,FILLED,1,2023-01-26,True,False,breakout,ASML,time_5
2023-01-26,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2023-02-02,Long,2,1,FLAT,,FILLED,2,2023-02-03,True,False,breakout,ASML,time_5
2023-05-26,Long,2,1,FLAT,,FILLED,3,2023-05-30,True,False,breakout,ASML,time_5
2023-12-11,Long,2,1,FLAT,,FILLED,4,2023-12-12,True,False,breakout,ASML,time_5
2023-12-12,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2023-12-13,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2024-01-18,Long,2,1,FLAT,,FILLED,5,2024-01-19,True,False,breakout,ASML,time_5
2024-01-19,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2024-01-22,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2024-01-23,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2024-01-24,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2024-03-01,Long,2,1,FLAT,,FILLED,6,2024-03-04,True,False,breakout,ASML,time_5
2024-03-04,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2024-06-05,Long,2,1,FLAT,,FILLED,7,2024-06-06,True,False,breakout,ASML,time_5
2024-06-06,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2025-10-01,Long,2,1,FLAT,,FILLED,8,2025-10-02,True,False,breakout,ASML,time_5
2025-10-02,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2025-12-01,Long,2,1,FLAT,,FILLED,9,2025-12-02,True,False,breakout,ASML,time_5
2025-12-03,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2026-01-15,Long,2,1,FLAT,,FILLED,10,2026-01-16,True,False,breakout,ASML,time_5
2026-01-16,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2026-01-22,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2026-01-26,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2026-01-27,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,ASML,time_5
2026-04-14,Long,2,1,FLAT,,FILLED,11,2026-04-15,True,False,breakout,ASML,time_5
2026-06-11,Long,2,1,FLAT,,FILLED,12,2026-06-12,True,False,breakout,ASML,time_5
2026-06-30,Long,2,1,FLAT,,FILLED,13,2026-07-01,True,False,breakout,ASML,time_5
