signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-07-13,Long,2,1,FLAT,,FILLED,1,2023-07-14,True,False,breakout,GOOGL,time_5
2023-07-14,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,GOOGL,time_5
2024-04-09,Long,2,1,FLAT,,FILLED,2,2024-04-10,True,False,breakout,GOOGL,time_5
2024-09-19,Long,2,1,FLAT,,FILLED,3,2024-09-20,True,False,breakout,GOOGL,time_5
2025-01-31,Long,2,1,FLAT,,FILLED,4,2025-02-03,True,False,breakout,GOOGL,time_5
2025-02-04,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,GOOGL,time_5
2025-08-08,Long,2,1,FLAT,,FILLED,5,2025-08-11,True,False,breakout,GOOGL,time_5
2025-08-28,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,GOOGL,time_5
2025-08-29,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,GOOGL,time_5
2025-09-19,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,GOOGL,time_5
2025-10-30,Long,2,1,FLAT,,FILLED,6,2025-10-31,True,False,breakout,GOOGL,time_5
2025-11-24,Long,2,1,FLAT,,FILLED,7,2025-11-25,True,False,breakout,GOOGL,time_5
2025-11-25,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,GOOGL,time_5
2026-01-29,Long,2,1,FLAT,,FILLED,8,2026-01-30,True,False,breakout,GOOGL,time_5
2026-02-02,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,GOOGL,time_5
2026-04-08,Long,2,1,FLAT,,FILLED,9,2026-04-09,True,False,breakout,GOOGL,time_5
2026-04-24,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,GOOGL,time_5
2026-04-27,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,GOOGL,time_5
2026-04-30,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,GOOGL,time_5
