signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2024-03-14,Long,2,1,FLAT,,FILLED,1,2024-03-15,True,False,breakout,HOOD,time_5
2024-05-21,Long,2,1,FLAT,,FILLED,2,2024-05-22,True,False,breakout,HOOD,time_5
2024-05-30,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2024-06-06,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2024-07-15,Long,2,1,FLAT,,FILLED,3,2024-07-16,True,False,breakout,HOOD,time_5
2024-07-16,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2024-10-28,Long,2,1,FLAT,,FILLED,4,2024-10-29,True,False,breakout,HOOD,time_5
2024-11-08,Long,2,1,FLAT,,FILLED,5,2024-11-11,True,False,breakout,HOOD,time_5
2024-11-11,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2024-12-04,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2024-12-16,Long,2,1,FLAT,,FILLED,6,2024-12-17,True,False,breakout,HOOD,time_5
2025-01-21,Long,2,1,FLAT,,FILLED,7,2025-01-22,True,False,breakout,HOOD,time_5
2025-02-07,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2025-02-10,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2025-02-13,Long,2,1,Long,7,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2025-05-13,Long,2,1,FLAT,,FILLED,8,2025-05-14,True,False,breakout,HOOD,time_5
2025-06-03,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2025-06-24,Long,2,1,FLAT,,FILLED,9,2025-06-25,True,False,breakout,HOOD,time_5
2025-06-25,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2025-07-16,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2025-07-18,Long,2,1,Long,9,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2025-09-08,Long,2,1,FLAT,,FILLED,10,2025-09-09,True,False,breakout,HOOD,time_5
2025-09-09,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2025-09-30,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,HOOD,time_5
2026-07-02,Long,2,1,FLAT,,FILLED,11,2026-07-06,True,False,breakout,HOOD,time_5
2026-09-03,Long,2,1,FLAT,,FILLED,12,2026-09-04,True,False,breakout,HOOD,time_5
