signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2022-12-20,Long,1,1,FLAT,,FILLED,1,2022-12-21,True,False,pullback,GE,breakeven_1
2024-11-06,Long,1,1,FLAT,,FILLED,2,2024-11-07,True,False,pullback,GE,breakeven_1
2024-11-08,Long,1,1,FLAT,,FILLED,3,2024-11-11,True,False,pullback,GE,breakeven_1
2024-11-22,Long,1,1,FLAT,,FILLED,4,2024-11-25,True,False,pullback,GE,breakeven_1
2025-03-12,Long,1,1,FLAT,,FILLED,5,2025-03-13,True,False,pullback,GE,breakeven_1
2025-03-14,Long,1,1,FLAT,,FILLED,6,2025-03-17,True,False,pullback,GE,breakeven_1
2025-04-23,Long,1,1,FLAT,,FILLED,7,2025-04-24,True,False,pullback,GE,breakeven_1
2026-01-30,Long,1,1,FLAT,,FILLED,8,2026-02-02,True,False,pullback,GE,breakeven_1
2026-02-06,Long,1,1,FLAT,,FILLED,9,2026-02-09,True,False,pullback,GE,breakeven_1
2026-05-11,Long,1,1,FLAT,,FILLED,10,2026-05-12,True,False,pullback,GE,breakeven_1
2026-05-20,Long,1,1,FLAT,,FILLED,11,2026-05-21,True,False,pullback,GE,breakeven_1
