trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2024-04-22,signal bar close,2024-04-23,191.1300048828125,3.7213017767508934,185.54805221768615,1,1,2024-05-01,191.1300048828125,ATR_STOP,7,True,False,0.0,pullback,JPM,breakeven_1,IN-SAMPLE,2024,6-10
2,Long,2024-09-19,signal bar close,2024-09-20,209.92999267578125,4.78923043733606,202.74614701977717,1,1,2024-09-25,209.92999267578125,ATR_STOP,4,True,False,0.0,pullback,JPM,breakeven_1,IN-SAMPLE,2024,4-5
3,Long,2024-09-27,signal bar close,2024-09-30,206.30999755859375,4.032612716410862,200.26107848397746,1,1,2024-10-01,206.30999755859375,ATR_STOP,2,True,False,0.0,pullback,JPM,breakeven_1,IN-SAMPLE,2024,1-3
4,Long,2024-10-04,signal bar close,2024-10-07,211.02999877929688,4.210176951216325,204.7147333524724,1,1,2024-10-08,210.5800018310547,ATR_STOP,2,True,False,-0.002132383788301162,pullback,JPM,breakeven_1,IN-SAMPLE,2024,1-3
5,Long,2024-12-20,signal bar close,2024-12-23,236.07000732421875,4.764339205091658,228.92349851658128,1,1,2025-01-10,239.25743888602858,ATR_STOP,12,True,False,0.013502060672333505,pullback,JPM,breakeven_1,IN-SAMPLE,2024,11-15
6,Long,2025-04-23,signal bar close,2025-04-24,239.74000549316406,9.28568401545086,225.81147946998777,1,1,2025-04-30,239.74000549316406,ATR_STOP,5,True,False,0.0,pullback,JPM,breakeven_1,IN-SAMPLE,2025,4-5
7,Long,2025-10-13,signal bar close,2025-10-14,305.8399963378906,5.753503893430146,297.20974049774543,1,1,2025-10-14,297.20974049774543,ATR_STOP,1,True,False,-0.02821820541290654,pullback,JPM,breakeven_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
8,Long,2025-10-15,signal bar close,2025-10-16,305.3500061035156,6.590726553937378,295.46391627260954,1,1,2025-10-17,299.1600036621094,TREND_AND_STOP_AT_OPEN,2,True,False,-0.020271826814071803,pullback,JPM,breakeven_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
9,Long,2025-10-20,signal bar close,2025-10-21,301.6600036621094,6.784653891066457,291.4830228255097,1,1,2025-10-22,297.7699890136719,TREND_EXIT,2,True,False,-0.012895361006475148,pullback,JPM,breakeven_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
10,Long,2025-10-27,signal bar close,2025-10-28,304.8599853515625,6.552784382297845,295.0308087781157,1,1,2025-10-29,303.510009765625,ATR_STOP,2,True,False,-0.004428182283026438,pullback,JPM,breakeven_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
11,Long,2026-05-22,signal bar close,2026-05-26,308.489990234375,6.013252749187549,299.4701111105937,1,1,2026-05-27,301.07332025001557,ATR_STOP,2,True,False,-0.024041849716824215,pullback,JPM,breakeven_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
