signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-03-03,Long,1,1,FLAT,,FILLED,1,2023-03-06,True,False,pullback,V,breakeven_1
2023-03-21,Long,1,1,FLAT,,FILLED,2,2023-03-22,True,False,pullback,V,breakeven_1
2023-03-23,Long,1,1,FLAT,,FILLED,3,2023-03-24,True,False,pullback,V,breakeven_1
2024-05-07,Long,1,1,FLAT,,FILLED,4,2024-05-08,True,False,pullback,V,breakeven_1
2025-03-19,Long,1,1,FLAT,,FILLED,5,2025-03-20,True,False,pullback,V,breakeven_1
2025-03-24,Long,1,1,FLAT,,FILLED,6,2025-03-25,True,False,pullback,V,breakeven_1
2025-04-15,Long,1,1,FLAT,,FILLED,7,2025-04-16,True,False,pullback,V,breakeven_1
2025-04-24,Long,1,1,FLAT,,FILLED,8,2025-04-25,True,False,pullback,V,breakeven_1
2025-06-16,Long,1,1,FLAT,,FILLED,9,2025-06-17,True,False,pullback,V,breakeven_1
2025-06-30,Long,1,1,FLAT,,FILLED,10,2025-07-01,True,False,pullback,V,breakeven_1
