signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-08-29,Long,1,1,FLAT,,FILLED,1,2023-08-30,True,False,pullback,PLTR,breakeven_3
2023-08-30,Long,1,1,Long,1,IGNORED_POSITION_OPEN,,,,,pullback,PLTR,breakeven_3
2024-08-06,Long,1,1,FLAT,,FILLED,2,2024-08-07,True,False,pullback,PLTR,breakeven_3
2025-03-05,Long,1,1,FLAT,,FILLED,3,2025-03-06,True,False,pullback,PLTR,breakeven_3
2025-03-14,Long,1,1,FLAT,,FILLED,4,2025-03-17,True,False,pullback,PLTR,breakeven_3
2025-03-19,Long,1,1,FLAT,,FILLED,5,2025-03-20,True,False,pullback,PLTR,breakeven_3
2025-04-09,Long,1,1,FLAT,,FILLED,6,2025-04-10,True,False,pullback,PLTR,breakeven_3
2025-09-04,Long,1,1,FLAT,,FILLED,7,2025-09-05,True,False,pullback,PLTR,breakeven_3
2025-09-08,Long,1,1,FLAT,,FILLED,8,2025-09-09,True,False,pullback,PLTR,breakeven_3
2025-12-03,Long,1,1,FLAT,,FILLED,9,2025-12-04,True,False,pullback,PLTR,breakeven_3
2026-03-04,Long,1,1,FLAT,,FILLED,10,2026-03-05,True,False,pullback,PLTR,breakeven_3
2026-03-12,Long,1,1,FLAT,,FILLED,11,2026-03-13,True,False,pullback,PLTR,breakeven_3
2026-03-17,Long,1,1,FLAT,,FILLED,12,2026-03-18,True,False,pullback,PLTR,breakeven_3
2026-03-19,Long,1,1,FLAT,,FILLED,13,2026-03-20,True,False,pullback,PLTR,breakeven_3
