signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-03-01,Long,1,1,FLAT,,FILLED,1,2023-03-02,True,False,pullback,TSM,early_3
2024-04-25,Long,1,1,FLAT,,FILLED,2,2024-04-26,True,False,pullback,TSM,early_3
2024-08-08,Long,1,1,FLAT,,FILLED,3,2024-08-09,True,False,pullback,TSM,early_3
2024-09-11,Long,1,1,FLAT,,FILLED,4,2024-09-12,True,False,pullback,TSM,early_3
2024-11-14,Long,1,1,FLAT,,FILLED,5,2024-11-15,True,False,pullback,TSM,early_3
2025-11-24,Long,1,1,FLAT,,FILLED,6,2025-11-25,True,False,pullback,TSM,early_3
2026-03-17,Long,1,1,FLAT,,FILLED,7,2026-03-18,True,False,pullback,TSM,early_3
2026-03-24,Long,1,1,FLAT,,FILLED,8,2026-03-25,True,False,pullback,TSM,early_3
2026-04-01,Long,1,1,FLAT,,FILLED,9,2026-04-02,True,False,pullback,TSM,early_3
2026-04-06,Long,1,1,FLAT,,FILLED,10,2026-04-07,True,False,pullback,TSM,early_3
