signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2022-02-01,Long,1,1,FLAT,,FILLED,1,2022-02-02,True,False,pullback,AVGO,lock25_1
2022-02-15,Long,1,1,FLAT,,FILLED,2,2022-02-16,True,False,pullback,AVGO,lock25_1
2022-02-25,Long,1,1,FLAT,,FILLED,3,2022-02-28,True,False,pullback,AVGO,lock25_1
2022-03-09,Long,1,1,FLAT,,FILLED,4,2022-03-10,True,False,pullback,AVGO,lock25_1
2022-03-15,Long,1,1,FLAT,,FILLED,5,2022-03-16,True,False,pullback,AVGO,lock25_1
2023-08-21,Long,1,1,FLAT,,FILLED,6,2023-08-22,True,False,pullback,AVGO,lock25_1
2024-04-25,Long,1,1,FLAT,,FILLED,7,2024-04-26,True,False,pullback,AVGO,lock25_1
2024-06-04,Long,1,1,FLAT,,FILLED,8,2024-06-05,True,False,pullback,AVGO,lock25_1
2024-06-05,Long,1,1,Long,8,IGNORED_POSITION_OPEN,,,,,pullback,AVGO,lock25_1
2024-07-31,Long,1,1,FLAT,,FILLED,9,2024-08-01,True,False,pullback,AVGO,lock25_1
2024-08-13,Long,1,1,FLAT,,FILLED,10,2024-08-14,True,False,pullback,AVGO,lock25_1
2024-09-11,Long,1,1,FLAT,,FILLED,11,2024-09-12,True,False,pullback,AVGO,lock25_1
2025-04-24,Long,1,1,FLAT,,FILLED,12,2025-04-25,True,False,pullback,AVGO,lock25_1
2026-06-18,Long,1,1,FLAT,,FILLED,13,2026-06-22,True,False,pullback,AVGO,lock25_1
2026-07-09,Long,1,1,FLAT,,FILLED,14,2026-07-10,True,False,pullback,AVGO,lock25_1
