trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2022-12-20,signal bar close,2022-12-21,50.48928451538086,1.4028964563746686,48.38493983081886,1,1,2022-12-22,50.886458396911614,ATR_STOP,2,True,False,0.007866498512367759,pullback,GE,lock25_1,IN-SAMPLE,2022,1-3
2,Long,2024-11-06,signal bar close,2024-11-07,181.02000427246094,4.392386783787754,174.4314240967793,1,1,2024-11-08,179.64999389648438,TREND_EXIT,2,True,False,-0.00756828164645551,pullback,GE,lock25_1,IN-SAMPLE,2024,1-3
3,Long,2024-11-08,signal bar close,2024-11-11,186.6300048828125,4.609914568245642,179.71513303044404,1,1,2024-11-12,180.64511975716874,ATR_STOP,2,True,False,-0.03206818287017543,pullback,GE,lock25_1,IN-SAMPLE,2024,1-3
4,Long,2024-11-22,signal bar close,2024-11-25,182.24000549316406,4.0250751852452815,176.20239271529613,1,1,2024-11-27,182.91250228881836,ATR_STOP,3,True,False,0.003690171067732617,pullback,GE,lock25_1,IN-SAMPLE,2024,1-3
5,Long,2025-03-12,signal bar close,2025-03-13,194.5500030517578,5.7978290204908,185.8532595210216,1,1,2025-03-14,195.3699951171875,TREND_EXIT,2,True,False,0.00421481394277623,pullback,GE,lock25_1,IN-SAMPLE,2025,1-3
6,Long,2025-03-14,signal bar close,2025-03-17,197.0,5.63828085561352,188.54257871657973,1,1,2025-03-27,206.22899853545195,ATR_STOP,9,True,False,0.04684770830178664,pullback,GE,lock25_1,IN-SAMPLE,2025,6-10
7,Long,2025-04-23,signal bar close,2025-04-24,194.3300018310547,8.250414762032834,181.95437968800545,1,1,2025-05-23,228.83999633789062,ATR_STOP,22,True,False,0.1775844912348532,pullback,GE,lock25_1,IN-SAMPLE,2025,16+
8,Long,2026-01-30,signal bar close,2026-02-02,305.6000061035156,9.154593275481815,291.8681161902929,1,1,2026-02-03,306.61500549316406,ATR_STOP,2,True,False,0.003321333014975947,pullback,GE,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
9,Long,2026-02-06,signal bar close,2026-02-09,321.0400085449219,9.452583357081021,306.8611335093003,1,1,2026-02-10,316.94000244140625,ATR_STOP,2,True,False,-0.012771012940407167,pullback,GE,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
10,Long,2026-05-11,signal bar close,2026-05-12,299.7200012207031,10.754236667674038,283.58864621919207,1,1,2026-05-13,295.9700012207031,TREND_EXIT,2,True,False,-0.012511677514770336,pullback,GE,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
11,Long,2026-05-20,signal bar close,2026-05-21,298.5,9.904044439431726,283.6439333408524,1,1,2026-06-03,312.0862902837603,ATR_STOP,9,True,False,0.04551521033085537,pullback,GE,lock25_1,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
