signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2022-01-31,Long,1,1,FLAT,,FILLED,1,2022-02-01,True,False,pullback,PANW,lock25_4
2022-02-04,Long,1,1,FLAT,,FILLED,2,2022-02-07,True,False,pullback,PANW,lock25_4
2022-02-09,Long,1,1,FLAT,,FILLED,3,2022-02-10,True,False,pullback,PANW,lock25_4
2023-05-08,Long,1,1,FLAT,,FILLED,4,2023-05-09,True,False,pullback,PANW,lock25_4
2023-08-25,Long,1,1,FLAT,,FILLED,5,2023-08-28,True,False,pullback,PANW,lock25_4
2023-09-28,Long,1,1,FLAT,,FILLED,6,2023-09-29,True,False,pullback,PANW,lock25_4
2023-11-09,Long,1,1,FLAT,,FILLED,7,2023-11-10,True,False,pullback,PANW,lock25_4
2025-01-22,Long,1,1,FLAT,,FILLED,8,2025-01-23,True,False,pullback,PANW,lock25_4
2025-03-19,Long,1,1,FLAT,,FILLED,9,2025-03-20,True,False,pullback,PANW,lock25_4
2025-05-22,Long,1,1,FLAT,,FILLED,10,2025-05-23,True,False,pullback,PANW,lock25_4
