signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-01-09,Long,4,1,FLAT,,FILLED,1,2023-01-10,True,False,squeeze,ORCL,breakeven_3
2023-01-10,Long,4,1,Long,1,IGNORED_POSITION_OPEN,,,,,squeeze,ORCL,breakeven_3
2024-01-23,Long,4,1,FLAT,,FILLED,2,2024-01-24,True,False,squeeze,ORCL,breakeven_3
2024-01-24,Long,4,1,Long,2,IGNORED_POSITION_OPEN,,,,,squeeze,ORCL,breakeven_3
2024-01-25,Long,4,1,Long,2,IGNORED_POSITION_OPEN,,,,,squeeze,ORCL,breakeven_3
2024-03-13,Long,4,1,FLAT,,FILLED,3,2024-03-14,True,False,squeeze,ORCL,breakeven_3
2024-03-14,Long,4,1,Long,3,IGNORED_POSITION_OPEN,,,,,squeeze,ORCL,breakeven_3
2024-05-17,Long,4,1,FLAT,,FILLED,4,2024-05-20,True,False,squeeze,ORCL,breakeven_3
2024-05-20,Long,4,1,Long,4,IGNORED_POSITION_OPEN,,,,,squeeze,ORCL,breakeven_3
2024-11-11,Long,4,1,FLAT,,FILLED,5,2024-11-12,True,False,squeeze,ORCL,breakeven_3
2025-06-10,Long,4,1,FLAT,,FILLED,6,2025-06-11,True,False,squeeze,ORCL,breakeven_3
