signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2024-04-23,Long,8,1,FLAT,,FILLED,1,2024-04-24,True,False,meanrev,AMD,breakeven_1
2022-01-26,Long,8,1,FLAT,,FILLED,1,2022-01-27,True,False,meanrev,AVGO,breakeven_1
2022-01-31,Long,8,1,FLAT,,FILLED,1,2022-02-01,True,False,meanrev,MRVL,breakeven_1
2025-03-05,Long,8,1,FLAT,,FILLED,1,2025-03-06,True,False,meanrev,TSM,breakeven_1
2023-08-21,Long,8,1,FLAT,,FILLED,1,2023-08-22,True,False,meanrev,AAPL,breakeven_1
2024-01-10,Long,8,1,FLAT,,FILLED,2,2024-01-11,True,False,meanrev,AAPL,breakeven_1
2025-01-27,Long,8,1,FLAT,,FILLED,3,2025-01-28,True,False,meanrev,AAPL,breakeven_1
2026-01-26,Long,8,1,FLAT,,FILLED,4,2026-01-27,True,False,meanrev,AAPL,breakeven_1
2024-08-08,Long,8,1,FLAT,,FILLED,1,2024-08-09,True,False,meanrev,GOOGL,breakeven_1
2026-03-31,Long,8,1,FLAT,,FILLED,2,2026-04-01,True,False,meanrev,GOOGL,breakeven_1
2024-05-03,Long,8,1,FLAT,,FILLED,1,2024-05-06,True,False,meanrev,META,breakeven_1
2025-03-05,Long,8,1,FLAT,,FILLED,1,2025-03-06,True,False,meanrev,AMZN,breakeven_1
2023-12-19,Long,8,1,FLAT,,FILLED,1,2023-12-20,True,False,meanrev,ORCL,breakeven_1
2025-11-19,Long,8,1,FLAT,,FILLED,2,2025-11-20,True,False,meanrev,ORCL,breakeven_1
2024-04-23,Long,8,1,FLAT,,FILLED,1,2024-04-24,True,False,meanrev,CRM,breakeven_1
2024-06-05,Long,8,1,FLAT,,FILLED,1,2024-06-06,True,False,meanrev,NOW,breakeven_1
2025-02-26,Long,8,1,FLAT,,FILLED,2,2025-02-27,True,False,meanrev,NOW,breakeven_1
2023-08-21,Long,8,1,FLAT,,FILLED,1,2023-08-22,True,False,meanrev,TSLA,breakeven_1
2024-08-08,Long,8,1,FLAT,,FILLED,1,2024-08-09,True,False,meanrev,HOOD,breakeven_1
2025-03-14,Long,8,1,FLAT,,FILLED,1,2025-03-17,True,False,meanrev,SHOP,breakeven_1
2026-01-29,Long,8,1,FLAT,,FILLED,2,2026-01-30,True,False,meanrev,SHOP,breakeven_1
2024-05-01,Long,8,1,FLAT,,FILLED,1,2024-05-02,True,False,meanrev,UBER,breakeven_1
2024-08-06,Long,8,1,FLAT,,FILLED,2,2024-08-07,True,False,meanrev,UBER,breakeven_1
2023-08-22,Long,8,1,FLAT,,FILLED,1,2023-08-23,True,False,meanrev,ABNB,breakeven_1
2023-08-25,Long,8,1,FLAT,,FILLED,2,2023-08-28,True,False,meanrev,ABNB,breakeven_1
