module,scenario,survived,failed_checks,top5_removed_expectancy,symbol_agreement,year_agreement,discovery_expectancy
meanrev,breakeven_1,False,"sample,wr,expectancy,symbol,year,tail",-0.00308956683657965,,0.25,0.012428165391253607
meanrev,breakeven_2,False,"sample,wr,expectancy,symbol,year,tail",-0.0023370595648493364,,0.25,0.013461589632335767
meanrev,breakeven_3,False,"sample,wr,symbol,year,tail",-0.00043460175501214835,,0.5,0.015623835676333893
meanrev,breakeven_4,False,"sample,wr,symbol,tail",-0.00019528926465848807,,1.0,0.01583655788998159
meanrev,lock25_1,False,"sample,expectancy,pf,winner_size,symbol,year,tail",-0.0060563030496541236,,0.25,0.0067247753593358646
meanrev,lock25_2,False,"sample,expectancy,pf,winner_size,symbol,year,tail",-0.007434353158003182,,0.5,0.0058035562888176205
meanrev,lock25_3,False,"sample,expectancy,pf,winner_size,symbol,year,tail",-0.005586760368778132,,0.25,0.008168616903412154
meanrev,lock25_4,False,"sample,expectancy,pf,winner_size,symbol,year,tail",-0.00437573324550618,,0.5,0.009366613240293805
meanrev,time_5,False,"sample,wr,symbol,year,tail",-0.0014981804357083266,,0.5,0.014678432404603956
meanrev,time_10,False,"sample,wr,symbol,year,tail",-0.0012149815490383104,,0.5,0.014930164748310637
meanrev,time_15,False,"sample,wr,symbol,tail",-0.0009051751519144252,,0.75,0.015205548212420757
meanrev,early_3,False,"sample,wr,expectancy,pf,symbol,year,tail",-0.00414478130470664,,0.25,0.012325898298827676
pullback,breakeven_1,False,"wr,expectancy,pf,symbol,year",9.605072760970247e-06,0.3225806451612903,0.2,0.005371608196956985
pullback,breakeven_2,False,"wr,expectancy,pf,symbol,year",0.0007876463121741644,0.3870967741935484,0.2,0.006604369228234989
pullback,breakeven_3,False,"wr,expectancy,symbol,year",0.004188660359619402,0.45161290322580644,0.2,0.009944433203145366
pullback,breakeven_4,False,"wr,year",0.0062910242176172715,0.6129032258064516,0.4,0.012009120289494527
pullback,lock25_1,False,"expectancy,pf,winner_size,symbol,year",0.0008133905690988478,0.4838709677419355,0.4,0.006161091460263939
pullback,lock25_2,False,"expectancy,pf,winner_size,symbol,year",0.001574374232124438,0.41935483870967744,0.2,0.007376998081519487
pullback,lock25_3,False,"expectancy,symbol",0.004272250506989705,0.5161290322580645,0.6,0.01002652531920079
pullback,lock25_4,False,symbol,0.0055215096707728695,0.5806451612903226,0.6,0.011253396325926908
pullback,time_5,False,wr,0.006571290329758604,0.6451612903225806,0.8,0.012284363711454116
pullback,time_10,False,wr,0.006571290329758604,0.6451612903225806,0.8,0.012284363711454116
pullback,time_15,False,wr,0.006571290329758604,0.6451612903225806,0.8,0.012284363711454116
pullback,early_3,False,wr,0.006571290329758604,0.6451612903225806,0.8,0.012284363711454116
breakout,breakeven_1,False,"wr,expectancy,symbol,year,tail",-0.0012483561431485765,0.09090909090909091,0.2,0.0020716620494604463
breakout,breakeven_2,False,"wr,expectancy,symbol,year,tail",-0.00038340661673987747,0.4090909090909091,0.2,0.003593570697246074
breakout,breakeven_3,False,"wr,expectancy,symbol,year,tail",-0.0014429194167536804,0.4772727272727273,0.2,0.002684063032820858
breakout,breakeven_4,False,"wr,expectancy,symbol,year,tail",-0.001356859167638711,0.5454545454545454,0.0,0.002949144417005401
breakout,lock25_1,False,"expectancy,winner_size,symbol,year,tail",-0.0017474491812518216,0.4772727272727273,0.4,0.001142355153938692
breakout,lock25_2,False,"expectancy,winner_size,symbol,tail",-0.0005857964645669742,0.5,0.6,0.003223386838648499
breakout,lock25_3,False,"expectancy,winner_size,symbol,tail",-0.0008683176200572821,0.5454545454545454,0.6,0.003122980795339347
breakout,lock25_4,False,"expectancy,winner_size,symbol,tail",-0.00037629448550342414,0.5681818181818182,0.6,0.0037999502311902153
breakout,time_5,False,"wr,symbol,tail",-0.0008721271480746655,0.5909090909090909,0.6,0.004234364103604128
breakout,time_10,False,"wr,tail",-0.0008370840411142499,0.6136363636363636,0.6,0.004355952765861258
breakout,time_15,False,"wr,tail",-0.0008370840411142499,0.6136363636363636,0.6,0.004355952765861258
breakout,early_3,False,"wr,year,tail",-0.0006161223642451717,0.6136363636363636,0.2,0.004487306629253843
squeeze,breakeven_1,False,"wr,expectancy,pf,symbol,year,tail",-0.00856105990462246,0.5,0.0,-0.00047387261792036984
squeeze,breakeven_2,False,"wr,expectancy,pf,symbol,year,tail",-0.006676661181294137,0.5,0.0,0.0016031592906058964
squeeze,breakeven_3,False,"wr,expectancy,pf,year,tail",-0.005215718950415188,0.6,0.0,0.0032285255388937975
squeeze,breakeven_4,False,"wr,expectancy,pf,year,tail",-0.005898705404979962,0.6,0.25,0.0032040316232738644
squeeze,lock25_1,False,"expectancy,pf,winner_size,symbol,year,tail",-0.005652835623118142,0.5,0.0,0.0020193134963295604
squeeze,lock25_2,False,"expectancy,pf,winner_size,year,tail",-0.006169857801410687,0.6,0.0,0.0018266321622475577
squeeze,lock25_3,False,"expectancy,pf,winner_size,year,tail",-0.004759968716421202,0.8,0.25,0.0034436470610316574
squeeze,lock25_4,False,"expectancy,winner_size,year,tail",-0.0037941303392978153,0.6,0.25,0.0045516825832713215
squeeze,time_5,False,"wr,tail",-0.0029762888751625333,0.7,0.75,0.007779678574949806
squeeze,time_10,False,"wr,tail",-0.003076502670556313,0.6,0.75,0.007682697482633245
squeeze,time_15,False,"wr,tail",-0.003076502670556313,0.6,0.75,0.007682697482633245
squeeze,early_3,False,"wr,year,tail",-0.0021796238789424994,0.7,0.5,0.008481860927380016
