trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2024-03-14,signal bar close,2024-03-15,17.81999969482422,0.8323053190237585,15.739236397264822,2,1,2024-04-02,18.351894187638784,ATR_STOP,12,True,False,0.02984817631445047,breakout,HOOD,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,11-15
2,Long,2024-05-30,signal bar close,2024-05-31,21.90999984741211,1.1651983537659854,18.997003962997145,2,1,2024-06-20,21.334181171765202,ATR_STOP,14,True,False,-0.02628108989763045,breakout,HOOD,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,11-15
3,Long,2024-07-15,signal bar close,2024-07-16,24.059999465942383,1.0454468458564377,21.44638235130129,2,1,2024-07-24,22.16943707399244,ATR_STOP,7,True,False,-0.07857699226577652,breakout,HOOD,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,6-10
4,Long,2024-10-28,signal bar close,2024-10-29,28.25,0.99071085789872,25.7732228552532,2,1,2024-10-31,26.020000457763672,ATR_STOP,3,True,False,-0.07893803689332135,breakout,HOOD,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,1-3
5,Long,2024-11-08,signal bar close,2024-11-11,32.939998626708984,1.4840869019922645,29.229781371728322,2,1,2024-12-10,37.35376952404351,ATR_STOP,21,True,False,0.13399426476465215,breakout,HOOD,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,16+
6,Long,2024-12-16,signal bar close,2024-12-17,42.310001373291016,2.4321107156044897,36.22972458427979,2,1,2024-12-19,36.22972458427979,ATR_STOP,3,True,False,-0.1437077899233894,breakout,HOOD,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,1-3
7,Long,2025-01-21,signal bar close,2025-01-22,50.209999084472656,2.5627771372969206,43.80305624123035,2,1,2025-02-19,58.774241475406725,ATR_STOP,20,True,False,0.1705684633956217,breakout,HOOD,skip_bars_since_rsi_up_5,IN-SAMPLE,2025,16+
8,Long,2025-05-13,signal bar close,2025-05-14,62.375,3.759783950432508,52.975540123918734,2,1,2025-06-09,68.98307013904537,ATR_STOP,18,True,False,0.1059410042331923,breakout,HOOD,skip_bars_since_rsi_up_5,IN-SAMPLE,2025,16+
9,Long,2025-06-24,signal bar close,2025-06-25,84.94000244140625,3.909901265993822,75.16524927642169,2,1,2025-07-22,100.87886117480262,ATR_STOP,19,True,False,0.18764843742960102,breakout,HOOD,skip_bars_since_rsi_up_5,IN-SAMPLE,2025,16+
10,Long,2025-09-08,signal bar close,2025-09-09,116.52999877929688,6.392713611358661,100.54821475090023,2,1,2025-10-13,137.97202761416702,ATR_STOP,25,True,False,0.1840043684843804,breakout,HOOD,skip_bars_since_rsi_up_5,BOUNDARY / CENSORED,2025,16+
11,Long,2026-07-02,signal bar close,2026-07-06,111.41000366210938,6.845165125125015,94.29709084929684,2,1,2026-07-17,100.37000274658203,ATR_STOP,10,True,False,-0.09909344361041483,breakout,HOOD,skip_bars_since_rsi_up_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
12,Long,2026-09-03,signal bar close,2026-09-04,120.4749984741211,6.7256419693225356,103.66089355081476,2,1,2026-09-15,109.5326510328714,ATR_STOP,7,True,False,-0.09082670744835242,breakout,HOOD,skip_bars_since_rsi_up_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
