trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2023-11-03,signal bar close,2023-11-06,18.989999771118164,1.021408593378892,16.436478287670933,2,1,2023-11-24,19.295557583299317,ATR_STOP,14,True,False,0.01609045897124628,breakout,PLTR,skip_bars_since_rsi_up_5,IN-SAMPLE,2023,11-15
2,Long,2024-03-06,signal bar close,2024-03-07,27.010000228881836,1.3064837651198957,23.743790816082097,2,1,2024-03-14,24.256041306563162,ATR_STOP,6,True,False,-0.10196071451246647,breakout,PLTR,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,6-10
3,Long,2024-06-17,signal bar close,2024-06-18,25.149999618530273,0.9086063583588111,22.878483722633245,2,1,2024-06-21,24.16056784903524,ATR_STOP,3,True,False,-0.03934122403588547,breakout,PLTR,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,1-3
4,Long,2024-07-05,signal bar close,2024-07-08,27.93000030517578,0.9765340400174833,25.488665205132072,2,1,2024-07-24,26.972801303253526,ATR_STOP,13,True,False,-0.034271356658197916,breakout,PLTR,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,11-15
5,Long,2024-08-08,signal bar close,2024-08-09,29.280000686645508,1.7578502157010583,24.885375147392864,2,1,2024-08-28,29.791231355606996,ATR_STOP,14,True,False,0.01746006342119588,breakout,PLTR,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,11-15
6,Long,2024-10-25,signal bar close,2024-10-28,45.04999923706055,1.4534566321817033,41.41635765660629,2,1,2024-10-31,41.753370577515916,ATR_STOP,4,True,False,-0.07317710799943022,breakout,PLTR,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,4-5
7,Long,2024-11-08,signal bar close,2024-11-11,60.132999420166016,2.320452200941027,54.33186891781345,2,1,2024-11-18,59.065789660670994,ATR_STOP,6,True,False,-0.017747489228636892,breakout,PLTR,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,6-10
8,Long,2024-12-03,signal bar close,2024-12-04,71.12999725341797,3.0567355015221636,63.48815849961256,2,1,2024-12-10,71.60751567123378,ATR_STOP,5,True,False,0.006713319784261262,breakout,PLTR,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,4-5
9,Long,2025-05-13,signal bar close,2025-05-14,129.00999450683594,7.612175679534747,109.97955530799908,2,1,2025-06-05,119.55667324870765,ATR_STOP,16,True,False,-0.07327588295980725,breakout,PLTR,skip_bars_since_rsi_up_5,IN-SAMPLE,2025,16+
10,Long,2025-08-05,signal bar close,2025-08-06,171.1750030517578,6.2541251128862365,155.53969026954223,2,1,2025-08-15,174.01429678892524,ATR_STOP,8,True,False,0.0165870815630067,breakout,PLTR,skip_bars_since_rsi_up_5,IN-SAMPLE,2025,6-10
11,Long,2026-03-02,signal bar close,2026-03-03,142.10000610351562,7.4450389633179395,123.48740869522078,2,1,2026-03-04,148.42999267578125,TREND_EXIT,2,True,False,0.04454599789147373,breakout,PLTR,skip_bars_since_rsi_up_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
