trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2021-11-18,signal bar close,2021-11-19,122.02999877929688,2.5415921977270286,115.6760182849793,2,1,2021-11-23,121.27891054354487,ATR_STOP,3,True,False,-0.006154947498691943,breakout,TSM,skip_bars_since_rsi_up_5,IN-SAMPLE,2021,1-3
2,Long,2022-01-04,signal bar close,2022-01-05,130.7100067138672,3.4138888683768944,122.17528454292496,2,1,2022-01-18,133.99729358075737,ATR_STOP,9,True,False,0.02514946597842549,breakout,TSM,skip_bars_since_rsi_up_5,IN-SAMPLE,2022,6-10
3,Long,2023-05-26,signal bar close,2023-05-30,103.79000091552734,2.6943506707098726,97.05412423875266,2,1,2023-05-31,98.32275539882292,ATR_STOP,2,True,False,-0.0526760330328363,breakout,TSM,skip_bars_since_rsi_up_5,IN-SAMPLE,2023,1-3
4,Long,2023-06-12,signal bar close,2023-06-13,110.0,3.1515573079012666,102.12110673024684,2,1,2023-06-20,103.2477002421242,ATR_STOP,5,True,False,-0.06138454325341636,breakout,TSM,skip_bars_since_rsi_up_5,IN-SAMPLE,2023,4-5
5,Long,2023-07-12,signal bar close,2023-07-13,105.0,2.5179473001661696,98.70513174958458,2,1,2023-07-20,98.55000305175781,ATR_STOP,6,True,False,-0.06142854236421136,breakout,TSM,skip_bars_since_rsi_up_5,IN-SAMPLE,2023,6-10
6,Long,2023-12-08,signal bar close,2023-12-11,99.56999969482422,1.8976658782607447,94.82583499917236,2,1,2023-12-20,100.28279991622061,ATR_STOP,8,True,False,0.007158785011359692,breakout,TSM,skip_bars_since_rsi_up_5,IN-SAMPLE,2023,6-10
7,Long,2024-02-07,signal bar close,2024-02-08,127.0,2.901692757530079,119.74576810617481,2,1,2024-02-13,126.51774893951405,ATR_STOP,4,True,False,-0.0037972524447712486,breakout,TSM,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,4-5
8,Long,2024-03-01,signal bar close,2024-03-04,139.94000244140625,3.5752645011301083,131.00184118858098,2,1,2024-03-11,143.6199951171875,ATR_STOP,6,True,False,0.026296931624837372,breakout,TSM,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,6-10
9,Long,2024-06-05,signal bar close,2024-06-06,164.52000427246094,4.7261343038879104,152.70466851274116,2,1,2024-06-24,170.42999267578125,ATR_STOP,12,True,False,0.03592261275129083,breakout,TSM,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,11-15
10,Long,2024-10-17,signal bar close,2024-10-18,205.9499969482422,6.813289148698117,188.9167740764969,2,1,2024-10-31,190.4560078453151,ATR_STOP,10,True,False,-0.07523180059488377,breakout,TSM,skip_bars_since_rsi_up_5,IN-SAMPLE,2024,6-10
11,Long,2025-06-04,signal bar close,2025-06-05,204.8800048828125,5.347986270533049,191.5100392064799,2,1,2025-07-22,234.28293349094594,ATR_STOP,32,True,False,0.1435129241867763,breakout,TSM,skip_bars_since_rsi_up_5,IN-SAMPLE,2025,16+
12,Long,2025-09-22,signal bar close,2025-09-23,282.3999938964844,6.655115552427437,265.76220501541576,2,1,2025-10-10,286.6830423633149,ATR_STOP,14,True,False,0.015166602547450836,breakout,TSM,skip_bars_since_rsi_up_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,11-15
13,Long,2026-01-15,signal bar close,2026-01-16,346.510009765625,9.658839867352528,322.3629100972437,2,1,2026-01-21,325.92948236708344,ATR_STOP,3,True,False,-0.05939374568850686,breakout,TSM,skip_bars_since_rsi_up_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
14,Long,2026-02-06,signal bar close,2026-02-09,348.760009765625,12.062976842393848,318.6025676596404,2,1,2026-02-12,348.91163655545427,ATR_STOP,4,True,False,0.00043475967881523303,breakout,TSM,skip_bars_since_rsi_up_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,4-5
15,Long,2026-04-22,signal bar close,2026-04-23,384.25,12.235016784285346,353.66245803928666,2,1,2026-05-19,385.1024782443391,ATR_STOP,19,True,False,0.0022185510587875434,breakout,TSM,skip_bars_since_rsi_up_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,16+
16,Long,2026-05-27,signal bar close,2026-05-28,422.2200012207031,14.281422763283445,386.5164443124945,2,1,2026-06-09,412.2453744620278,ATR_STOP,9,True,False,-0.023624240277194675,breakout,TSM,skip_bars_since_rsi_up_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
17,Long,2026-06-18,signal bar close,2026-06-22,476.0899963378906,18.35928072001302,430.1917945378581,2,1,2026-06-26,425.0,ATR_STOP,5,True,False,-0.10731163589001569,breakout,TSM,skip_bars_since_rsi_up_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,4-5
