trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2022-04-20,signal bar close,2022-04-21,237.24000549316406,5.307293028646915,223.97177292154677,2,1,2022-04-22,224.46342079426833,ATR_STOP,2,True,False,-0.053855102019308765,breakout,CAT,skip_candle_range_atr_3,IN-SAMPLE,2022,1-3
2,Long,2022-12-21,signal bar close,2022-12-22,240.14999389648438,5.493941963426356,226.41513898791848,2,1,2023-01-19,247.70531594158118,ATR_STOP,18,True,False,0.03146084629239465,breakout,CAT,skip_candle_range_atr_3,IN-SAMPLE,2022,16+
3,Long,2023-07-11,signal bar close,2023-07-12,255.49000549316406,5.51211591471106,241.70971570638642,2,1,2023-08-04,277.5727719780902,ATR_STOP,18,True,False,0.0864329954602352,breakout,CAT,skip_candle_range_atr_3,IN-SAMPLE,2023,16+
4,Long,2023-09-01,signal bar close,2023-09-05,286.3399963378906,5.639564296874246,272.241085595705,2,1,2023-09-13,275.459483152706,ATR_STOP,7,True,False,-0.03799857974554577,breakout,CAT,skip_candle_range_atr_3,IN-SAMPLE,2023,6-10
5,Long,2024-01-25,signal bar close,2024-01-26,301.0,6.261585818352815,285.34603545411795,2,1,2024-02-09,316.58507455060874,ATR_STOP,11,True,False,0.051777656314314635,breakout,CAT,skip_candle_range_atr_3,IN-SAMPLE,2024,11-15
6,Long,2024-02-29,signal bar close,2024-03-01,334.0,6.355087517953249,318.11228120511686,2,1,2024-04-12,364.0765459314534,ATR_STOP,30,True,False,0.09004953871692623,breakout,CAT,skip_candle_range_atr_3,IN-SAMPLE,2024,16+
7,Long,2025-01-14,signal bar close,2025-01-15,379.1400146484375,8.05144338791727,359.01140617864434,2,1,2025-01-16,376.30999755859375,TREND_EXIT,2,True,False,-0.007464306009662192,breakout,CAT,skip_candle_range_atr_3,IN-SAMPLE,2025,1-3
8,Long,2025-07-16,signal bar close,2025-07-17,414.8599853515625,7.2318399060723255,396.78038558638167,2,1,2025-08-01,421.9950736652954,ATR_STOP,12,True,False,0.017198786495849827,breakout,CAT,skip_candle_range_atr_3,IN-SAMPLE,2025,11-15
9,Long,2025-08-22,signal bar close,2025-08-25,435.0,9.823983345533152,410.4400416361671,2,1,2025-08-29,415.57377766697863,ATR_STOP,5,True,False,-0.04465798237476182,breakout,CAT,skip_candle_range_atr_3,IN-SAMPLE,2025,4-5
10,Long,2025-10-15,signal bar close,2025-10-16,538.0599975585938,13.575039226158625,504.1223994931972,2,1,2025-10-22,512.6190132599362,ATR_STOP,5,True,False,-0.047282801944195985,breakout,CAT,skip_candle_range_atr_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,4-5
11,Long,2025-12-11,signal bar close,2025-12-12,626.0,16.435567013506923,584.9110824662326,2,1,2025-12-17,584.9110824662326,ATR_STOP,4,True,False,-0.06563724845649732,breakout,CAT,skip_candle_range_atr_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,4-5
12,Long,2026-02-02,signal bar close,2026-02-03,694.3599853515625,19.98647416385881,644.3937999419155,2,1,2026-02-05,668.3064720259592,ATR_STOP,3,True,False,-0.03752162260964975,breakout,CAT,skip_candle_range_atr_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,1-3
13,Long,2026-02-06,signal bar close,2026-02-09,724.5,24.19952577342872,664.0011855664281,2,1,2026-02-26,731.2230646132183,ATR_STOP,13,True,False,0.009279592288776062,breakout,CAT,skip_candle_range_atr_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,11-15
14,Long,2026-04-30,signal bar close,2026-05-01,896.8400268554688,27.327040217931064,828.5224263106411,2,1,2026-05-18,862.2423148341325,ATR_STOP,12,True,False,-0.03857735045863642,breakout,CAT,skip_candle_range_atr_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,11-15
15,Long,2026-06-04,signal bar close,2026-06-05,929.9299926757812,29.621199780850713,855.8769932236545,2,1,2026-06-10,859.3218274888031,ATR_STOP,4,True,False,-0.07592847390996615,breakout,CAT,skip_candle_range_atr_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,4-5
16,Long,2026-06-22,signal bar close,2026-06-23,985.25,33.94080001488664,900.3979999627834,2,1,2026-07-02,974.0205327119517,ATR_STOP,8,True,False,-0.011397581616897634,breakout,CAT,skip_candle_range_atr_3,ENTRY HOLDOUT / EXIT-USED HISTORY,2026,6-10
